BAS_DD,k_ratio,k_score,atr,natr,atr_percentile,technical_direction
2023-10-04,-0.2688709439858173,-0.21189778618559224,0.32738913396004726,0.0018408160470061697,0.9673268870867124,-0.21189778618559224
2023-10-05,-0.310724267512316,-0.23706303088601077,0.3290041958200435,0.0018462637251405358,0.9676438484328708,-0.23706303088601077
2023-10-06,-0.3310924663735176,-0.24873739032988396,0.35550389611861305,0.0019871654338659197,0.9774711568444029,-0.24873739032988396
2023-10-07,-0.34959294552456094,-0.2590358423877807,0.33153933211013936,0.001853003197575114,0.9676539360872954,-0.2590358423877807
2023-10-08,-0.3664174093315951,-0.26815920730315784,0.30928652267370155,0.0017284370329367473,0.9555018703241895,-0.26815920730315784
2023-10-09,-0.3921179820143364,-0.2816700790309153,0.28862319962558075,0.001612780507518891,0.9410160511142278,-0.2816700790309153
2023-10-10,-0.4152445824944527,-0.29340835331979115,0.2758643996523239,0.0015405394519032998,0.9301184169523216,-0.29340835331979115
2023-10-11,-0.4268485819026874,-0.2991547858102009,0.29473122824858794,0.0016409511065563606,0.9441501791556317,-0.2991547858102009
2023-10-12,-0.4497391369949069,-0.31022073248787996,0.3036789976594022,0.001686824405151376,0.9503894080996885,-0.31022073248787996
2023-10-13,-0.47721125087520866,-0.32304875189142623,0.3184162121123014,0.0017737088464366165,0.9600529512536988,-0.32304875189142623
2023-10-14,-0.5037317235250721,-0.3349877612106341,0.2971007683899929,0.0016547887289183074,0.9457334163811897,-0.3349877612106341
2023-10-15,-0.5293207846402743,-0.3461149485160373,0.277307856362137,0.0015443743392856816,0.929861435466293,-0.3461149485160373
2023-10-16,-0.5533551404239854,-0.3562322137569572,0.27678586662198507,0.0015437886475653136,0.9295610211706102,-0.3562322137569572
2023-10-17,-0.5777298686064923,-0.3661779371121142,0.26987259043469886,0.0015067421720434304,0.9252140077821012,-0.3661779371121142
2023-10-18,-0.6110432521864942,-0.37928420069243424,0.275595976832222,0.0015417094251075295,0.9292717086834734,-0.37928420069243424
2023-10-19,-0.6559464605976834,-0.396115741786079,0.2909105499156333,0.0016318536484861911,0.9426637622529952,-0.396115741786079
2023-10-20,-0.6949659109092727,-0.41001763306051087,0.2922740820645168,0.0016366563000588914,0.943139390168015,-0.41001763306051087
2023-10-21,-0.7335348819942057,-0.4231439987814779,0.27282593334562144,0.0015275808138052712,0.9266604448592316,-0.4231439987814779
