month,signal_month,return,core_return,growth_return,nav,drawdown,turnover,meta_switch_turnover,meta_switch_cost,w_stage10_core,w_unlevered_vix6_growth,w_option,gross_exposure,solver_success,used_grid_fallback,solver_status,solver_message,solver_iterations,risk_state,relative_momentum_6m,growth_cap,growth_lower_bound,growth_upper_bound,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_log_growth,historical_cdar,sharpe_slack,cdar_slack,option_return,option_reallocation_cost,option_trade_available
2008-07,2008-06,-0.09438338435324752,-0.0389025895178008,-0.09425838435324752,1.2909301076621351,-0.09438338435324767,0.29438570044191353,0.25,0.000125,0.0,1.0,0.0,1.0,True,False,0,Optimization terminated successfully,3,Normal,0.2364848597730722,1.0,0.5,1.0,0.24,0.13201059887845132,1.818035839841768,0.2312866008918763,-0.026114711634250776,0.7680358398417679,0.10388528836574923,,0.0,False
2008-08,2008-07,-0.0172745717713374,-0.0230864003571201,-0.0172745717713374,1.2686298428655451,-0.11002752357755319,0.41707726999406103,0.0,0.0,0.0,1.0,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal,0.20943910765323825,1.0,0.75,1.0,0.24,0.184570280970601,1.3003176824454639,0.2229669056912167,-0.07004374481820363,0.2503176824454638,0.05995625518179637,,0.0,False
2008-09,2008-08,0.08522271109206003,0.0548468032969543,0.08522271109206003,1.376745917446841,-0.03418165633951775,0.08099073719802788,0.0,0.0,0.0,1.0,0.0,1.0,True,False,0,Optimization terminated successfully,1,Normal,0.1548724703377844,1.0,0.75,1.0,0.24,0.18159458301527268,1.321625326124487,0.22351170370975462,-0.10208153362613598,0.271625326124487,0.027918466373864026,,0.0,False
2008-10,2008-09,-0.02990063305554599,-0.0125210003270255,-0.08053953124110746,1.335580342958542,-0.06306023623162516,1.052048655152642,0.75,0.000375,0.75,0.25,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Crisis,0.16012740308987294,0.25,0.25,0.25,0.17524206285328875,0.11199908405883534,1.5646740714525007,0.16897016543827972,-0.06298776929596461,0.5146740714525007,0.06701223070403539,,0.0,False
2008-11,2008-10,0.04725774331406113,0.022499916464695,0.12153122386215953,1.3986968559813824,-0.01878257737472222,0.05646331563849524,0.0,0.0,0.75,0.25,0.0,1.0,True,False,0,Optimization terminated successfully,1,Crisis,0.028427228175499808,0.25,0.0,0.25,0.16404356834141864,0.1160837845859648,1.4131480027681012,0.15730584581951831,-0.06298776929596461,0.3631480027681011,0.06701223070403539,,0.0,False
2008-12,2008-11,0.02608128409882611,0.0370310831589282,-0.006768113081480176,1.4351766660503675,0.0,0.04696570472643486,0.0,0.0,0.75,0.25,0.0,1.0,True,False,0,Optimization terminated successfully,1,Crisis,0.0657951319147494,0.25,0.0,0.25,0.16829977191629494,0.11591335537660198,1.4519446130214222,0.16158181893896373,-0.06298776929596461,0.40194461302142215,0.06701223070403539,,0.0,False
2009-01,2008-12,0.051579651135168755,0.0108763152904917,0.0932453858831539,1.50920257780258,0.0,0.26697115657738424,0.25,0.000125,0.49940868980986286,0.49940868980986286,0.0011826203802743,1.0,True,False,0,Optimization terminated successfully,3,Alert_NegativeMomentum,-0.04598632998977692,0.5,0.0,0.5,0.19862413024068903,0.14120561849189642,1.4066305035311877,0.18865461689384955,-0.07296625430937591,0.35663050353118764,0.057033745690624096,-0.2462592392284117,3.5478611408230763e-06,True
2009-02,2009-01,0.06972661339179127,0.0132368987065786,0.08872318495352882,1.6144341624749152,0.0,0.2812599894762014,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,3,Alert,0.09480636636989392,0.75,0.25,0.75,0.21896551993679242,0.17497149639117285,1.251435373492291,0.2036580076621093,-0.08914470171813234,0.2014353734922909,0.040855298281867666,,0.0,False
2009-03,2009-02,-0.04914176672202855,-0.002181969577721,-0.06479503243679774,1.5350980154744995,-0.049141766722028524,0.036146078363268566,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.1694125507487778,0.75,0.5,0.75,0.21893994372084122,0.17287515493997951,1.26646274762186,0.20399703412308026,-0.08914470171813234,0.2164627476218599,0.040855298281867666,,0.0,False
2009-04,2009-03,-0.03959520538768383,0.0055894091538036,-0.05414951224952369,1.4743154942615608,-0.08679119376323996,0.0433334731493488,0.0,0.0,0.24978405128403283,0.7493521538520985,0.0008637948638687,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.06535347173858286,0.75,0.5,0.75,0.21711727756762608,0.18110431406187422,1.1988520466356647,0.2007178912817151,-0.08914470171813234,0.14885204663566465,0.040855298281867666,-0.4766243107168544,2.591384591606249e-06,True
2009-05,2009-04,0.01456255596675873,0.0087274975598076,0.01650757543574244,1.4957852961594045,-0.0734925394130802,0.2703316011742629,0.0,0.0,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,1,Alert,0.07619342248132788,0.75,0.5,0.75,0.2163111517539556,0.18336248228310154,1.1796914453851204,0.19950025179944525,-0.09114804482220369,0.12969144538512034,0.03885195517779631,,0.0,False
2009-06,2009-05,-0.0019483013137328734,-0.0009557890461821,-0.0026908135812836464,1.4928710557018348,-0.07529765511572495,0.2601241874499919,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,All independent variables were fixed by bounds at values that satisfy the constraints.,0,Alert_NegativeMomentum,-0.011267054734145798,0.5,0.5,0.5,0.19181873828824966,0.13642783060120334,1.406008857891769,0.18251246180697434,-0.07296625430937591,0.35600885789176906,0.057033745690624096,,0.0,False
2009-07,2009-06,0.028589921665913443,0.0019117583506132,0.03764930943768019,1.5355521222416595,-0.048860487511197204,0.25594598694870296,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,3,Normal,0.030540910775874508,1.0,0.25,0.75,0.21451280041790244,0.17129485442068146,1.25230148414781,0.1998418368424012,-0.09114804482220369,0.2023014841478099,0.03885195517779631,,0.0,False
