month,average_vkospi_stress,maximum_vkospi_stress,maximum_crisis_score,maximum_pre_crash_score,last_source_date,signal_month
2010-01,0.00880302178168699,0.0842049064482571,0.1433270089207513,0.8684205737831819,2009-12-30,2009-12
2010-02,0.10237696871771022,0.5600563498768483,0.0923382987598781,0.1044575790458443,2010-01-28,2010-01
2010-03,0.030364447138880563,0.2261358894305656,0.0145522693941108,0.5214189973862404,2010-02-25,2010-02
2010-04,0.0012041310555837696,0.0183801707601059,0.0932438039626857,0.4292264129131281,2010-03-30,2010-03
2010-05,0.01754755009579849,0.1537222765848057,0.0984847697745164,0.6088916691528639,2010-04-29,2010-04
2010-06,0.1139534983885581,0.4497694023853775,0.1735639153815401,0.2457536784579035,2010-05-28,2010-05
2010-07,0.011221296632708386,0.1188057851780051,0.1568964534965598,0.8643181520967954,2010-06-29,2010-06
2010-08,0.017085474166076156,0.0988186647880293,0.0160138667573842,1.0,2010-07-29,2010-07
2010-09,0.01775073497568959,0.1254650628415353,0.0440999236713828,0.351878332091681,2010-08-30,2010-08
2010-10,0.022978883301370646,0.0797285838781659,0.1364924410707547,0.1256760076661838,2010-09-29,2010-09
2010-11,0.029593035960039846,0.212416049528725,0.0907954079799312,1.0,2010-10-28,2010-10
2010-12,0.09719971172774472,0.5589944276321919,0.5909958105437821,0.5109669385459072,2010-11-29,2010-11
2011-01,0.04224625432805983,0.2616102535915678,0.0435748425052353,0.9260757943759498,2010-12-30,2010-12
2011-02,0.0019371392981918142,0.0406799252620281,0.1346893530159288,0.615173277097346,2011-01-28,2011-01
2011-03,0.05127655346361505,0.3677467849855868,0.0181324775459725,0.6148461204683483,2011-02-25,2011-02
2011-04,0.06339963679100105,0.7884839594922028,0.275969385822271,0.7260577212887207,2011-03-30,2011-03
2011-05,0.01144475011933962,0.1116976997212815,0.0583846183263311,0.8331868047819111,2011-04-28,2011-04
2011-06,0.004868440791688259,0.044681109715521,0.1106275257296456,0.3743217103422809,2011-05-30,2011-05
2011-07,0.044963665226957966,0.256376171692488,0.0016527542523707,0.2189966548490628,2011-06-29,2011-06
2011-08,0.08795129535500933,0.3561653200674602,0.0937469946830067,0.94151070385863,2011-07-28,2011-07
2011-09,0.46877941725191186,1.0,1.0,0.2965025504050663,2011-08-30,2011-08
2011-10,0.29384437534732083,0.4646784374673933,0.9889182014279352,0.7264822134387354,2011-09-29,2011-09
2011-11,0.08279365584399465,0.3367588932806323,0.6081042505625023,1.0,2011-10-28,2011-10
2011-12,0.003835053180357591,0.0527945704825808,0.2637926778610603,0.9422346261288254,2011-11-29,2011-11
2012-01,0.01437678184825899,0.1291929797257123,0.2070662486791571,1.0,2011-12-29,2011-12
2012-02,0.016584289623327256,0.0942393047285613,0.506129326854429,1.0,2012-01-30,2012-01
