date,month,signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,state,vkospi_stress,crisis_score,pre_crash_score,source_gross_exposure,gross_exposure,w_KODEX200,w_BOND,w_GLD,w_USO
2008-05-30,2008-05,2008-05-29,-0.010602428102462253,-0.010602428102462253,1.5882933770673398,-0.04843306380793089,6.938893903907228e-17,2.0816681711721684e-19,0.0,RiskOn,0.0,0.0,0.0,0.9824603448273825,0.9999999999999999,0.14048348154994653,0.20198709807729032,0.1798097126975235,0.47771970767523964
2008-06-02,2008-06,2008-05-30,-0.005260145640315534,-0.005182534786326579,1.579938722584417,-0.053438444478809966,0.02359285078846346,7.077855236539038e-05,6.832301623564685e-06,RiskOn,0.0,0.0,0.0,0.9829762349678604,1.0,0.14872587493752276,0.21077199785072162,0.19062656169525732,0.44987556551649827
2008-06-03,2008-06,2008-06-02,-0.008151142064204437,-0.008151142064204437,1.5670604176038938,-0.06115400219037748,8.326672684688674e-17,2.4980018054066025e-19,0.0,RiskOn,0.0,0.0,0.0,0.9828864488581521,1.0,0.1481880955342033,0.21190844213950238,0.18883857901344375,0.4510648833128506
2008-06-04,2008-06,2008-06-03,0.0001003956605425111,0.00010039566054251161,1.5672177436696293,-0.061059746126279624,1.5265566588595902e-16,4.579669976578771e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.9827455948929495,1.0,0.14853428915389733,0.2137467737874544,0.191959704779958,0.44575923227869024
2008-06-05,2008-06,2008-06-04,0.04487494690865511,0.04487494690865511,1.6375465567111063,-0.018924852083297194,1.249000902703301e-16,3.7470027081099033e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.9827446580594842,1.0,0.1491428214018378,0.21384151385695227,0.18965787143296153,0.44735779330824843
2008-06-06,2008-06,2008-06-05,0.010821039056491503,0.010821039056491503,1.6552665119581005,-0.008308599590337251,5.551115123125783e-17,1.6653345369377348e-19,0.0,RiskOn,0.0,0.0,0.0,0.9834709575865771,1.0,0.14273748436890807,0.20469458749841898,0.1863903708896723,0.4661775572430007
2008-06-09,2008-06,2008-06-05,-0.00883212817458249,-0.00883212817458249,1.6406469859613926,-0.017067345148386592,5.551115123125783e-17,1.6653345369377348e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.9836425062809755,1.0,0.13790267826965077,0.20167816940457664,0.18781861137122066,0.47260054095455195
2008-06-10,2008-06,2008-06-09,-0.005891613184322964,-0.005891613184322964,1.6309809285480827,-0.0228584041370119,6.938893903907228e-17,2.0816681711721684e-19,5.551115123125783e-20,RiskOn,0.0,0.0,0.0,0.9834966266153489,1.0,0.1408816638302974,0.20304980222681643,0.18301640473011413,0.4730521292127722
2008-06-11,2008-06,2008-06-10,-0.00875259159349789,-0.00875259159349789,1.6167056185837174,-0.03141092545461932,9.71445146547012e-17,2.914335439641036e-19,5.551115123125783e-20,RiskOn,0.0169713814498567,0.0,0.0,0.983397901619242,1.0,0.13898411298053198,0.20453231906444774,0.1852233077604389,0.47126026019458134
2008-06-12,2008-06,2008-06-11,0.012846178742188574,0.012846178742188574,1.6374741079335442,-0.018968257075278494,1.1102230246251565e-16,3.3306690738754697e-19,1.1102230246251566e-19,RiskOn,0.0,0.0,0.0,0.9832511991637984,1.0000000000000002,0.1380714006631327,0.20639463422327153,0.18375517673348182,0.47177878838011406
