Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
UnleveredVIX6LogGrowth_NoOption,prelock_2007_2017,2007-04,2017-12,129.0,0.08171588650726402,0.07831502287344827,1.044978708217459,1.8880435175867798,-0.11002752357755297,0.7426858648660445,2.3265746176105595,0.6434108527131783,0.20746187956775852
UnleveredVIX6LogGrowth_PutCandidate,prelock_2007_2017,2007-04,2017-12,129.0,0.08035901120406752,0.07846836039822835,1.0269884943189425,1.8508851936650887,-0.11002752357755319,0.7303537205163603,2.2953930433099456,0.6356589147286822,0.20784938364090824
UnleveredVIX6GrowthSleeve,prelock_2007_2017,2007-04,2017-12,129.0,0.10525608363461703,0.11547154639603778,0.9267208085338217,1.7474725642870668,-0.11543592528367674,0.9118139208046075,2.9324210350564552,0.6201550387596899,0.09939066614206335
Stage10_SharpeCAGR_Core,prelock_2007_2017,2007-04,2017-12,129.0,0.06757311767869623,0.04386712167754233,1.5161565559191956,3.524686705425083,-0.06109086911838413,1.1061083047902063,2.0196425684447976,0.7441860465116279,0.02465015271814431
Stage11_MSELogGrowth,prelock_2007_2017,2007-04,2017-12,129.0,0.07455946978021544,0.06853987806736694,1.0862020606328264,1.9624880381660874,-0.10848670728942811,0.6872682528865097,2.1663438978209624,0.6356589147286822,0.0817625785622749
UnleveredVIX6LogGrowth_NoOption,locked_2018_2026,2018-01,2026-07,103.0,0.12784996106477364,0.0750116147110248,1.6485044889171099,3.84052265475491,-0.07720234736376896,1.6560372246501611,2.808604406972821,0.6990291262135923,0.2513776017898163
UnleveredVIX6LogGrowth_PutCandidate,locked_2018_2026,2018-01,2026-07,103.0,0.12650027190814495,0.0747819584643643,1.637171403880765,3.7996917117542757,-0.07720234736376907,1.6385547360637807,2.779886082754065,0.6893203883495146,0.25178319517168296
UnleveredVIX6GrowthSleeve,locked_2018_2026,2018-01,2026-07,103.0,0.1742270938769006,0.10564165431710906,1.581301612790536,4.1223522074518035,-0.08427763815442435,2.0672991993161847,3.969222998435806,0.6116504854368932,0.10935584814932077
Stage10_SharpeCAGR_Core,locked_2018_2026,2018-01,2026-07,103.0,0.06985416990716597,0.05894664282892987,1.1773216422132005,2.8260734400469785,-0.06878310909124796,1.0155715673523442,1.7852649438971526,0.6407766990291263,0.03793336306008302
Stage11_MSELogGrowth,locked_2018_2026,2018-01,2026-07,103.0,0.0896156905852088,0.08562264147143941,1.0478863903190239,2.0416117753086835,-0.13374718398394403,0.6700379620401347,2.0889573572622635,0.6019417475728155,0.06588403054899777
UnleveredVIX6LogGrowth_NoOption,full_2007_2026,2007-04,2026-07,232.0,0.10196019751706653,0.07693617667807916,1.3050287975008488,2.588158548113386,-0.11002752357755297,0.9266790181385827,6.534427724172127,0.6681034482758621,0.22695894589910312
UnleveredVIX6LogGrowth_PutCandidate,full_2007_2026,2007-04,2026-07,232.0,0.10060614724078731,0.07692431536525307,1.2891079043228637,2.547703522874708,-0.11002752357755319,0.9143725494273695,6.3809311755478255,0.6594827586206896,0.22735448100155392
UnleveredVIX6GrowthSleeve,full_2007_2026,2007-04,2026-07,232.0,0.13536213134236186,0.1113135313364054,1.2008082873530288,2.5196899953652903,-0.11543592528367674,1.1726170255032624,11.639433013443016,0.6163793103448276,0.10381486332631988
Stage10_SharpeCAGR_Core,full_2007_2026,2007-04,2026-07,232.0,0.06858522529638567,0.05099755771481719,1.3293257462723713,3.1414025885389174,-0.06878310909124863,0.9971230757452321,3.605597076646899,0.6982758620689655,0.03054744006822917
Stage11_MSELogGrowth,full_2007_2026,2007-04,2026-07,232.0,0.08121806130709985,0.07645294444088416,1.0624780061773778,1.9951177084062524,-0.13374718398394403,0.6072506268008593,4.525400023713305,0.6206896551724138,0.07471305078051824
