Metric,FirstComponent,SecondComponent,AverageInteraction,MeanAbsoluteInteraction
Locked_CAGR,overlay_policy,frequency_reconciliation,2.7646615155418885e-05,5.786069493775303e-05
Locked_Sharpe,macro_engine,base_allocation,0.36376169298268696,0.36376169298268696
Locked_Sharpe,macro_engine,tail_logistic,0.003523339222457733,0.020173074475250574
Locked_Sharpe,macro_engine,vol_target_leverage,0.01004328403738644,0.05027048858107375
Locked_Sharpe,macro_engine,vkospi_signal,-0.054799112195233514,0.08023112730718732
Locked_Sharpe,macro_engine,overlay_policy,-0.023338959113104067,0.06630721287254493
Locked_Sharpe,macro_engine,frequency_reconciliation,0.014504019132708726,0.014504019132708726
Locked_Sharpe,base_allocation,tail_logistic,-0.01491028545751701,0.024690521787232054
Locked_Sharpe,base_allocation,vol_target_leverage,0.004226566662343174,0.04387071995647069
Locked_Sharpe,base_allocation,vkospi_signal,0.11653510377608146,0.12063069815469604
Locked_Sharpe,base_allocation,overlay_policy,0.03510675331182994,0.09547428412201925
Locked_Sharpe,base_allocation,frequency_reconciliation,0.019772565766011177,0.019772565766011177
Locked_Sharpe,tail_logistic,vol_target_leverage,-0.06999388396987319,0.06999388396987319
Locked_Sharpe,tail_logistic,vkospi_signal,0.0118088905788278,0.014317975307641152
Locked_Sharpe,tail_logistic,overlay_policy,0.016480962480684265,0.017003901757699037
Locked_Sharpe,tail_logistic,frequency_reconciliation,0.0012454939640212312,0.0026503630369017553
Locked_Sharpe,vol_target_leverage,vkospi_signal,-0.006857832731021328,0.04702825218374459
Locked_Sharpe,vol_target_leverage,overlay_policy,-0.0009458360958953735,0.0458576514849253
Locked_Sharpe,vol_target_leverage,frequency_reconciliation,0.005001855582068705,0.005900063667610762
Locked_Sharpe,vkospi_signal,overlay_policy,-0.1501461945163467,0.17730388415927995
Locked_Sharpe,vkospi_signal,frequency_reconciliation,0.005118353393882655,0.005177426545647609
Locked_Sharpe,overlay_policy,frequency_reconciliation,-0.00036951136271797663,0.004133533769086768
Locked_MDD,macro_engine,base_allocation,0.051796640204641045,0.06629135499980024
Locked_MDD,macro_engine,tail_logistic,0.008764159498931934,0.011990537485786278
Locked_MDD,macro_engine,vol_target_leverage,0.0004474758451557155,0.04359902878129453
Locked_MDD,macro_engine,vkospi_signal,-0.02768170135842776,0.03307371222363757
Locked_MDD,macro_engine,overlay_policy,-0.02326963499869684,0.028960411917116156
Locked_MDD,macro_engine,frequency_reconciliation,-0.0007840518729324737,0.001973791681514337
Locked_MDD,base_allocation,tail_logistic,0.0037755923674639806,0.011578743227779197
Locked_MDD,base_allocation,vol_target_leverage,-0.0004979696604176277,0.03886365152036682
Locked_MDD,base_allocation,vkospi_signal,0.02448923072535648,0.035222547340343136
Locked_MDD,base_allocation,overlay_policy,0.024119664316037914,0.03258628106637486
Locked_MDD,base_allocation,frequency_reconciliation,0.0011902172098659965,0.0017039707850006226
Locked_MDD,tail_logistic,vol_target_leverage,-0.02521135983150966,0.02554492465002729
Locked_MDD,tail_logistic,vkospi_signal,0.007876284696669452,0.008715331580761519
Locked_MDD,tail_logistic,overlay_policy,0.00932741138525418,0.010269108045929034
Locked_MDD,tail_logistic,frequency_reconciliation,-0.00031951854000759547,0.0007348645426541005
Locked_MDD,vol_target_leverage,vkospi_signal,-0.02087553745128457,0.026079342401007264
Locked_MDD,vol_target_leverage,overlay_policy,-0.013529971520084814,0.024910421256785015
Locked_MDD,vol_target_leverage,frequency_reconciliation,0.00036878361533957196,0.0014883070650348641
Locked_MDD,vkospi_signal,overlay_policy,-0.012040857511390033,0.038948920007185764
Locked_MDD,vkospi_signal,frequency_reconciliation,-0.0006325997818178268,0.0018912851035203758
Locked_MDD,overlay_policy,frequency_reconciliation,-0.0018215464663920537,0.002130834394520959
