Combination,Name,RobustComponents,macro_engine,base_allocation,tail_logistic,vol_target_leverage,vkospi_signal,overlay_policy,frequency_reconciliation,Full_Months,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Full_FinalMultiple,Locked_Months,Locked_CAGR,Locked_Sharpe,Locked_MDD,Locked_Calmar,Locked_FinalMultiple
0010001,tail_logistic+frequency_reconciliation,2,0,0,1,0,0,0,1,232.0,0.07129207069381427,0.8676460217664236,-0.14076412099597824,0.5064647879685985,3.7863365617994313,103.0,0.06739544765361005,1.1205258117493413,-0.14076412099597813,0.4787828544429703,1.7503539888172783
0010010,tail_logistic+overlay_policy,2,0,0,1,0,0,1,0,232.0,0.088889676318334,0.9122654242755142,-0.14209138249649145,0.6255810504238628,5.188259453232166,103.0,0.10585190855889937,1.2878010728079416,-0.11258358795485357,0.9402072760493863,2.3717323358333635
0010011,tail_logistic+overlay_policy+frequency_reconciliation,3,0,0,1,0,0,1,1,232.0,0.08880812792889548,0.9317573768237415,-0.1456013073115745,0.6099404570513476,5.18075253276546,103.0,0.10460195602839994,1.2775621175101148,-0.11260925308181857,0.928893080858988,2.348820623178003
0010100,tail_logistic+vkospi_signal,2,0,0,1,0,1,0,0,232.0,0.08157551123558382,0.8596615948150577,-0.15276113509016598,0.5340069723063694,4.554412331921899,103.0,0.10392958242850248,1.2843941747566139,-0.1055523267448999,0.984626162525822,2.336577040798157
0010101,tail_logistic+vkospi_signal+frequency_reconciliation,3,0,0,1,0,1,0,1,232.0,0.08149451061365132,0.8795528789683338,-0.15622740720304373,0.5216402939321365,4.547822528259123,103.0,0.1026818027173404,1.2749446984611668,-0.10557819522421386,0.9725663760332097,2.314004939829155
0010110,tail_logistic+vkospi_signal+overlay_policy,3,0,0,1,0,1,1,0,232.0,0.0916278990798951,0.9060973427843251,-0.17250021505188073,0.531175564345455,5.4463989013831595,103.0,0.11621791446578977,1.2960579718317926,-0.11281847729212913,1.0301319185939573,2.5694814295305872
0010111,tail_logistic+vkospi_signal+overlay_policy+frequency_reconciliation,4,0,0,1,0,1,1,1,232.0,0.09154614562132868,0.9233243160539226,-0.17588572951158765,0.5204864878779006,5.438518477562586,103.0,0.1149562451627153,1.2873019098307,-0.11284413562581819,1.0187170518448623,2.5446593957381434
0011000,tail_logistic+vol_target_leverage,2,0,0,1,1,0,0,0,232.0,0.0753695803212977,0.8000741348422089,-0.16048515123097196,0.4696358494427001,4.07489520895297,103.0,0.08208796221432024,1.027151971742421,-0.16048515123097196,0.5114987996377208,1.9682806473468115
0011001,tail_logistic+vol_target_leverage+frequency_reconciliation,3,0,0,1,1,0,0,1,232.0,0.07552464702035988,0.8139795353296018,-0.15739940229079885,0.4798280420457153,4.086270385254843,103.0,0.08058101502627468,1.010736777926307,-0.15739940229079907,0.5119524842756351,1.9448768579546956
0011010,tail_logistic+vol_target_leverage+overlay_policy,3,0,0,1,1,0,1,0,232.0,0.0990272204633611,0.8878456322066572,-0.14706364025683216,0.673363043988438,6.206260709900697,103.0,0.12628320606579901,1.1753766152061427,-0.12139324101658888,1.040282020714332,2.7752917136805526
0011011,tail_logistic+vol_target_leverage+overlay_policy+frequency_reconciliation,4,0,0,1,1,0,1,1,232.0,0.09918569855905512,0.8983640430812306,-0.14919562554980526,0.6648029940123441,6.223585648612094,103.0,0.12471471129495715,1.1666732850120964,-0.12150209877586704,1.026440798566092,2.7422921803791316
0011100,tail_logistic+vol_target_leverage+vkospi_signal,3,0,0,1,1,1,0,0,232.0,0.08910368334873286,0.81994396033617,-0.15826733953804817,0.5629947632203165,5.208008911569446,103.0,0.12301913624172589,1.1815816384551567,-0.11210668504131249,1.0973398793871396,2.7070093865089664
0011101,tail_logistic+vol_target_leverage+vkospi_signal+frequency_reconciliation,4,0,0,1,1,1,0,1,232.0,0.08926073048508831,0.8289785718416094,-0.16037132025386658,0.5565878633647791,5.222547204338451,103.0,0.12145518710951508,1.1734557200931788,-0.1122166933877724,1.0823272673863098,2.674821762427139
0011110,tail_logistic+vol_target_leverage+vkospi_signal+overlay_policy,4,0,0,1,1,1,1,0,232.0,0.10280374020549532,0.8812346858699601,-0.17660669493120862,0.5821055665275836,6.631815778865431,103.0,0.13797650034587705,1.1884843219891512,-0.1233056870139857,1.1189792108309435,3.032569563235715
0011111,tail_logistic+vol_target_leverage+vkospi_signal+overlay_policy+frequency_reconciliation,5,0,0,1,1,1,1,1,232.0,0.10296276286973693,0.8892663474633521,-0.1786648349045915,0.576290028895277,6.650328665655822,103.0,0.1363917211531125,1.1811713425416002,-0.12341430782472684,1.1051532318830988,2.996510874414801
0100000,base_allocation,1,0,1,0,0,0,0,0,232.0,0.07821925524600148,0.9258838303894454,-0.12721633821885858,0.6148522771614113,4.288811363303747,103.0,0.07510036423473809,1.1673068541602858,-0.12154620064580968,0.617875045338385,1.8618184392882104
0100001,base_allocation+frequency_reconciliation,2,0,1,0,0,0,0,1,232.0,0.07775013277263265,0.9468091842468784,-0.12647548340024284,0.6147446974097382,4.252878516022573,103.0,0.07425780164585216,1.1628703996853798,-0.11611531165416589,0.6395177396329884,1.8493314930316436
0100010,base_allocation+overlay_policy,2,0,1,0,0,0,1,0,232.0,0.11084039082074071,1.1112085891668235,-0.12014630481832445,0.9225451501679108,7.631304971949297,103.0,0.12532235908827793,1.31445933263328,-0.09927526239586115,1.2623724789419715,2.755035103311938
0100011,base_allocation+overlay_policy+frequency_reconciliation,3,0,1,0,0,0,1,1,232.0,0.11035707521575211,1.1290577911609525,-0.1193994486633615,0.9242678793844037,7.567367789153306,103.0,0.12444043722149511,1.3125015024230908,-0.09934769643246155,1.2525749633872194,2.7365574824311576
0100100,base_allocation+vkospi_signal,2,0,1,0,0,1,0,0,232.0,0.10751736350568541,1.0688760195761704,-0.11765456788504747,0.9138392621588102,7.201846257826961,103.0,0.1345348862509057,1.3875420308912194,-0.07784259336139021,1.7282939897225311,2.954744409617847
0100101,base_allocation+vkospi_signal+frequency_reconciliation,3,0,1,0,0,1,0,1,232.0,0.10703549371682897,1.0828798766792818,-0.11690559664086542,0.9155720238582122,7.14150719886552,103.0,0.1336457444714576,1.3878376759055158,-0.07791675095977191,1.715237645631019,2.9349273673831076
0100110,base_allocation+vkospi_signal+overlay_policy,3,0,1,0,0,1,1,0,232.0,0.11861471956279623,1.119683733909894,-0.11523704611171404,1.0293106562954397,8.732868276173061,103.0,0.13997886564411366,1.2979825694353346,-0.1007749542697135,1.3890243529108932,3.0786775109495244
0100111,base_allocation+vkospi_signal+overlay_policy+frequency_reconciliation,4,0,1,0,0,1,1,1,232.0,0.11812802142470002,1.1334350637612545,-0.11448602277520559,1.0318117317835866,8.659701891477498,103.0,0.13908545738543832,1.2958116699592317,-0.10084726770483421,1.3791693176311124,3.058029267377919
0101000,base_allocation+vol_target_leverage,2,0,1,0,1,0,0,0,232.0,0.09053601562292846,0.8353774689117353,-0.1564975577536103,0.5785139201051835,5.342037322029128,103.0,0.09570331104160057,1.1007855923476,-0.10778211666951243,0.8879331191374857,2.191280767429602
0101001,base_allocation+vol_target_leverage+frequency_reconciliation,3,0,1,0,1,0,0,1,232.0,0.09007132258509043,0.8480485831124372,-0.15476515876858066,0.5819870783693215,5.298199971488329,103.0,0.09445202588645585,1.0927105997383195,-0.10237183134671601,0.9226368684034075,2.16989437916395
0101010,base_allocation+vol_target_leverage+overlay_policy,3,0,1,0,1,0,1,0,232.0,0.1314157880553699,1.037042590406925,-0.12427979164351155,1.0574187992873973,10.881694711742835,103.0,0.15636835514320113,1.2729123859160556,-0.11308070733182385,1.3828031220600174,3.479971624509997
0101011,base_allocation+vol_target_leverage+overlay_policy+frequency_reconciliation,4,0,1,0,1,0,1,1,232.0,0.1309336755601589,1.0500519569883326,-0.12408355048020503,1.0552057468813858,10.792398318475481,103.0,0.15504779095206578,1.2748722443377507,-0.11275016185233477,1.3751447306579199,3.4460079146005045
0101100,base_allocation+vol_target_leverage+vkospi_signal,3,0,1,0,1,1,0,0,232.0,0.12211918162010127,0.9709452240622386,-0.16520970656742406,0.7391767963116802,9.277274394026634,103.0,0.16294386544345119,1.3496830183884791,-0.11700929370822799,1.392571993894474,3.6535295335338906
0101101,base_allocation+vol_target_leverage+vkospi_signal+frequency_reconciliation,4,0,1,0,1,1,0,1,232.0,0.12164103054223374,0.9815235711309226,-0.15319248321563506,0.7940404645769126,9.201144051769909,103.0,0.16161579206771903,1.3585484424389394,-0.1166802123715065,1.3851173972253232,3.6178719389866463
0101110,base_allocation+vol_target_leverage+vkospi_signal+overlay_policy,4,0,1,0,1,1,1,0,232.0,0.1398564787207539,1.052531916448701,-0.12939267997882287,1.0808685525614248,12.563288290662568,103.0,0.17278430153690016,1.281578865857386,-0.1141090615765602,1.5142031592379057,3.927556152681284
0101111,base_allocation+vol_target_leverage+vkospi_signal+overlay_policy+frequency_reconciliation,5,0,1,0,1,1,1,1,232.0,0.13937076952618543,1.0635515645061455,-0.1291975845686293,1.0787412937441736,12.46019255404689,103.0,0.17144499045523087,1.2856062424850017,-0.11377889935386787,1.5068258827325585,3.8892241223614468
0110000,base_allocation+tail_logistic,2,0,1,1,0,0,0,0,232.0,0.0784909383276664,0.9278051076848949,-0.12721633821885858,0.6169878761376806,4.309752613866616,103.0,0.07300469527177755,1.1704067216454166,-0.11879643957251806,0.6145360545693171,1.8308970515000516
0110001,base_allocation+tail_logistic+frequency_reconciliation,3,0,1,1,0,0,0,1,232.0,0.07805793752770551,0.9487036217715485,-0.12647548340024284,0.6171784082507459,4.2764227369260395,103.0,0.07257269697178037,1.1711286551032893,-0.1136190414585907,0.6387370993464156,1.8245796652970485
0110010,base_allocation+tail_logistic+overlay_policy,3,0,1,1,0,0,1,0,232.0,0.10920099911114955,1.115567672177417,-0.12014630481832445,0.908900188618156,7.416486443003469,103.0,0.11926025366356319,1.3461609678437922,-0.07954510375000146,1.499278372159531,2.6302182360293154
0110011,base_allocation+tail_logistic+overlay_policy+frequency_reconciliation,4,0,1,1,0,0,1,1,232.0,0.10875566860083752,1.1346063955269328,-0.1193994486633615,0.9108557017500694,7.359130347973471,103.0,0.11880963259082411,1.3489073373012912,-0.0795494165047318,1.4935324206150151,2.621142846246164
0110100,base_allocation+tail_logistic+vkospi_signal,3,0,1,1,0,1,0,0,232.0,0.10477055436358507,1.0702050873219109,-0.11765456788504747,0.8904928745813718,6.864260358256888,103.0,0.12487199450733355,1.410236849027103,-0.07074540215404512,1.7650898956716659,2.7455855463025607
0110101,base_allocation+tail_logistic+vkospi_signal+frequency_reconciliation,4,0,1,1,0,1,0,1,232.0,0.10432700262215433,1.085831389460691,-0.11690559664086542,0.8924038336902501,6.811174955560543,103.0,0.12441911411316253,1.4162617903963797,-0.06962960368875881,1.7868709215883285,2.7361120894333273
0110110,base_allocation+tail_logistic+vkospi_signal+overlay_policy,4,0,1,1,0,1,1,0,232.0,0.11623033194326937,1.1291174473608665,-0.11523704611171404,1.0086195009770766,8.379932366832193,103.0,0.13246896643168604,1.3392303288857323,-0.07829925110580416,1.691829290329782,2.9088801276076808
0110111,base_allocation+tail_logistic+vkospi_signal+overlay_policy+frequency_reconciliation,5,0,1,1,0,1,1,1,232.0,0.11578217924258793,1.1447661655855252,-0.11448602277520559,1.0113215258593389,8.31512537218982,103.0,0.13201302744982124,1.3420872647377844,-0.0783035696979274,1.6859132726526957,2.898843233851535
0111000,base_allocation+tail_logistic+vol_target_leverage,3,0,1,1,1,0,0,0,232.0,0.09026406300347123,0.8346479994213648,-0.14562120179881588,0.6198552263576032,5.31634079594026,103.0,0.09134451465003646,1.037213155536447,-0.13109980078856154,0.6967555564585287,2.1175778398927783
0111001,base_allocation+tail_logistic+vol_target_leverage+frequency_reconciliation,4,0,1,1,1,0,0,1,232.0,0.08967558039285795,0.8449915123356783,-0.14496665370954376,0.6185945394899753,5.261136348582553,103.0,0.09058578057012023,1.034677084329599,-0.1257415867215399,0.7204122592370836,2.104974707783457
0111010,base_allocation+tail_logistic+vol_target_leverage+overlay_policy,4,0,1,1,1,0,1,0,232.0,0.12968455114849187,1.0225588041670342,-0.12427979164351144,1.043488643113304,10.564258026531474,103.0,0.14922341515058957,1.2062377918285605,-0.11308070733182385,1.319618692450416,3.2996788036968536
0111011,base_allocation+tail_logistic+vol_target_leverage+overlay_policy+frequency_reconciliation,5,0,1,1,1,0,1,1,232.0,0.12907479087445517,1.0332775491233188,-0.12408355048020492,1.0402248354027113,10.454559636513995,103.0,0.14842444199517657,1.2115738577731359,-0.11275016185233477,1.3164011435261906,3.2800401924978275
0111100,base_allocation+tail_logistic+vol_target_leverage+vkospi_signal,4,0,1,1,1,1,0,0,232.0,0.12042299025412495,0.9592817911978933,-0.14545380411503273,0.8279122776251898,9.009877615090902,103.0,0.15421305568226806,1.2695220470987119,-0.12144680782322625,1.2697991692522312,3.4246906600196394
0111101,base_allocation+tail_logistic+vol_target_leverage+vkospi_signal+frequency_reconciliation,5,0,1,1,1,1,0,1,232.0,0.11981822901446759,0.9680928404269568,-0.14405736119117196,0.8317397182880664,8.916319783944827,103.0,0.15341061358531838,1.2813325400250164,-0.1166802123715065,1.3147954607492771,3.4043080190566157
0111110,base_allocation+tail_logistic+vol_target_leverage+vkospi_signal+overlay_policy,5,0,1,1,1,1,1,0,232.0,0.13737181631887818,1.033563946865513,-0.1293926799788231,1.061666056699351,12.044282666424076,103.0,0.16430212288135748,1.2128071122941162,-0.1141090615765602,1.4398691971638098,3.6903183545002696
0111111,base_allocation+tail_logistic+vol_target_leverage+vkospi_signal+overlay_policy+frequency_reconciliation,6,0,1,1,1,1,1,1,232.0,0.13675790675474797,1.0427377974302474,-0.1291975845686294,1.0585175195911078,11.919215821776413,103.0,0.1634926665748564,1.2200305812189645,-0.11377889935386787,1.4369331001029633,3.6683547842026196
1000000,macro_engine,1,1,0,0,0,0,0,0,232.0,0.08646682500495517,0.7521130088681246,-0.17336784978828645,0.49874775000409144,4.969565462954428,103.0,0.09630597012736075,1.0628222042026734,-0.14281854208398892,0.6743239968849774,2.2016474215119217
1000001,macro_engine+frequency_reconciliation,2,1,0,0,0,0,0,1,232.0,0.08705810260527769,0.7684537273837154,-0.17969069464031406,0.4844886530131204,5.022114901350144,103.0,0.09672774685975982,1.0603508271398103,-0.13837654183339465,0.6990183854733125,2.2089283738544694
1000010,macro_engine+overlay_policy,2,1,0,0,0,0,1,0,232.0,0.12547174298390118,0.8416765073021926,-0.1798485241642055,0.6976523358587188,9.82808379359607,103.0,0.16844475223727362,1.0981410285602164,-0.1599637770530966,1.053018097849502,3.8045523612132324
1000011,macro_engine+overlay_policy+frequency_reconciliation,3,1,0,0,0,0,1,1,232.0,0.12608424786311745,0.8505444977865045,-0.18994077354791505,0.6638082256272956,9.932008430007341,103.0,0.1688942825901283,1.0946520591071771,-0.16053809748440528,1.0520511033621458,3.8171341961410628
1000100,macro_engine+vkospi_signal,2,1,0,0,0,1,0,0,232.0,0.12275301686120721,0.8115760317757692,-0.20150185764718143,0.6091904972714491,9.379113542962209,103.0,0.16979498283196226,1.0684110566908007,-0.16049527890269144,1.0579437849689601,3.8424544246390466
1000101,macro_engine+vkospi_signal+frequency_reconciliation,3,1,0,0,0,1,0,1,232.0,0.12336404215372943,0.8195705799485045,-0.20337459797172164,0.6065853031010424,9.478290654725084,103.0,0.1702450326527969,1.0655155849490046,-0.16106923595398948,1.0569680277208775,3.85516160348651
1000110,macro_engine+vkospi_signal+overlay_policy,3,1,0,0,0,1,1,0,232.0,0.1347778968088318,0.8341757672476451,-0.189997377092344,0.7093671442807655,11.524182177569188,103.0,0.18321053981367563,1.0473912123546565,-0.1899973770923441,0.9642793106803266,4.237558963329626
1000111,macro_engine+vkospi_signal+overlay_policy+frequency_reconciliation,4,1,0,0,0,1,1,1,232.0,0.13539546628843446,0.8406957965663953,-0.20206632056019436,0.6700545935268859,11.646041786002897,103.0,0.18366575093978565,1.0444555824589514,-0.19055116399229155,0.9638658042897894,4.251572771607594
1001000,macro_engine+vol_target_leverage,2,1,0,0,1,0,0,0,232.0,0.07860557910476174,0.7549707377789879,-0.2077116827022999,0.378436003609013,4.3186181484556485,103.0,0.09934894820565265,1.092453887177764,-0.08256171196192941,1.2033295560957376,2.2546558895853064
1001001,macro_engine+vol_target_leverage+frequency_reconciliation,3,1,0,0,1,0,0,1,232.0,0.07964755348587937,0.7625167345602362,-0.20945939871356856,0.3802529462752625,4.399994119933294,103.0,0.10096405582743895,1.0873498760871207,-0.08247247316017003,1.2242152073135524,2.2832464359690925
1001010,macro_engine+vol_target_leverage+overlay_policy,3,1,0,0,1,0,1,0,232.0,0.10600147608000077,0.8022789448761014,-0.1994364780529274,0.531504953932598,7.013643071421914,103.0,0.1396276236024605,0.9933960668716202,-0.19943647805292708,0.7001107568967684,3.0705450394799745
1001011,macro_engine+vol_target_leverage+overlay_policy+frequency_reconciliation,4,1,0,0,1,0,1,1,232.0,0.10706991594891946,0.8056384308813314,-0.20317820377748852,0.5269754036519465,7.145801553351709,103.0,0.14130190660776387,0.9916521034572757,-0.2031782037774882,0.695457996875056,3.1094816065988327
1001100,macro_engine+vol_target_leverage+vkospi_signal,3,1,0,0,1,1,0,0,232.0,0.09588905902009448,0.7391734228990797,-0.2393099922909595,0.4006897417952778,5.872469385601993,103.0,0.1297729857573744,0.9448373358589744,-0.19924489300664483,0.6513240254195447,2.849974756654134
1001101,macro_engine+vol_target_leverage+vkospi_signal+frequency_reconciliation,4,1,0,0,1,1,0,1,232.0,0.09694772990606726,0.7430796045568415,-0.23569951511653064,0.41131917415331115,5.983124665786217,103.0,0.13143279082942505,0.9454488822573119,-0.19860220870294343,0.6617891698576921,2.886114344894238
1001110,macro_engine+vol_target_leverage+vkospi_signal+overlay_policy,4,1,0,0,1,1,1,0,232.0,0.11015172609712409,0.7923868966923702,-0.2159829698506437,0.510001905119168,7.54035647764517,103.0,0.14444305352257314,0.9581121326467683,-0.21598296985064414,0.6687705684501789,3.1837095647354112
1001111,macro_engine+vol_target_leverage+vkospi_signal+overlay_policy+frequency_reconciliation,5,1,0,0,1,1,1,1,232.0,0.11122417526682571,0.7951984604497858,-0.21562028615694295,0.5158335388993467,7.682439850743456,103.0,0.146124411112865,0.9580482105998093,-0.21562028615694295,0.6776932436055939,3.2240811338087845
1010000,macro_engine+tail_logistic,2,1,0,1,0,0,0,0,232.0,0.08752676308694252,0.7662199459556653,-0.1455356825130899,0.6014110187655877,5.064140719422919,103.0,0.09285422715678826,1.0510869155370641,-0.14553568251309001,0.6380169148444857,2.142853741027515
1010001,macro_engine+tail_logistic+frequency_reconciliation,3,1,0,1,0,0,0,1,232.0,0.08805314217700189,0.7843098575638489,-0.14410234037603276,0.6110458854951878,5.111739866624029,103.0,0.0931027915415954,1.0466953247021071,-0.14099643850057553,0.66032016504598,2.1470407099040383
1010010,macro_engine+tail_logistic+overlay_policy,3,1,0,1,0,0,1,0,232.0,0.1256624453784425,0.8585051785934756,-0.15752573767288292,0.7977264365483719,9.860329495244219,103.0,0.1633701270842458,1.1141614836465912,-0.13720757373814052,1.1906786384550192,3.6650399156994236
1010011,macro_engine+tail_logistic+overlay_policy+frequency_reconciliation,4,1,0,1,0,0,1,1,232.0,0.12620728270458836,0.8685877056721454,-0.17067071351322072,0.7394782625948999,9.953009241147685,103.0,0.1636347299679206,1.1088280099490848,-0.13770451346632262,1.1883033159108438,3.6722011174951588
1010100,macro_engine+tail_logistic+vkospi_signal,3,1,0,1,0,1,0,0,232.0,0.12161046362803996,0.8236443421149408,-0.16735986932410463,0.7266405269027332,9.196297444922996,103.0,0.16170797977828721,1.076704066475804,-0.13635808461531884,1.185906799985371,3.6203371288810127
1010101,macro_engine+tail_logistic+vkospi_signal+frequency_reconciliation,4,1,0,1,0,1,0,1,232.0,0.12215333973489528,0.8327944308661297,-0.18035140496009805,0.6773073919879979,9.282735784621412,103.0,0.1619722046146317,1.0720044691574546,-0.13685551362096904,1.1835270668248346,3.6274109849221006
1010110,macro_engine+tail_logistic+vkospi_signal+overlay_policy,4,1,0,1,0,1,1,0,232.0,0.13410726160000497,0.8494435262949259,-0.18941896912894218,0.7079927750462777,11.393221391575128,103.0,0.1774631126364401,1.0675706044553706,-0.16026916595575358,1.10728168814102,4.064100277851604
1010111,macro_engine+tail_logistic+vkospi_signal+overlay_policy+frequency_reconciliation,5,1,0,1,0,1,1,1,232.0,0.13465618634250642,0.8569307436764184,-0.20206632056019436,0.6663959930046489,11.500309178459172,103.0,0.17773092090121412,1.062905402903877,-0.1607528229741909,1.1056161727856504,4.07204121243274
1011000,macro_engine+tail_logistic+vol_target_leverage,3,1,0,1,1,0,0,0,232.0,0.07929049406322353,0.7560165466473405,-0.19921868618355365,0.39800731338107426,4.37194616199344,103.0,0.09716737001262721,1.075341016636094,-0.0825617119619293,1.1769059495451457,2.2165400358775083
1011001,macro_engine+tail_logistic+vol_target_leverage+frequency_reconciliation,4,1,0,1,1,0,0,1,232.0,0.0801897563709093,0.7629639313599804,-0.194848715849415,0.4115488060638921,4.442912086948089,103.0,0.09848679473491595,1.0678024018555663,-0.08247247316017003,1.1941777778828635,2.2395239653765966
1011010,macro_engine+tail_logistic+vol_target_leverage+overlay_policy,4,1,0,1,1,0,1,0,232.0,0.1058534447353272,0.8014485088098895,-0.19964265804694603,0.5302145632144195,6.995516501692901,103.0,0.13679473760867622,0.9859123431466609,-0.19964265804694636,0.685197937890151,3.0056446557793173
1011011,macro_engine+tail_logistic+vol_target_leverage+overlay_policy+frequency_reconciliation,5,1,0,1,1,0,1,1,232.0,0.10677483923119757,0.8043969185162315,-0.20338959322352979,0.5249769053515417,7.10906851735902,103.0,0.1381618171645982,0.9822502835538507,-0.20338959322352967,0.6792963935610771,3.036811033895476
1011100,macro_engine+tail_logistic+vol_target_leverage+vkospi_signal,4,1,0,1,1,1,0,0,232.0,0.09529250550452995,0.7370311656937127,-0.22661286452816343,0.4205079252801511,5.8109737024583765,103.0,0.125894930821987,0.9338132929635948,-0.20202333923995985,0.6231702302101401,2.7670902930775005
1011101,macro_engine+tail_logistic+vol_target_leverage+vkospi_signal+frequency_reconciliation,5,1,0,1,1,1,0,1,232.0,0.09620510065060861,0.7405596275740409,-0.22239238787554405,0.43259169780778295,5.905298085330927,103.0,0.12724890255595223,0.9324896356828916,-0.2032370619397954,0.6261107169205534,2.7957830336480685
1011110,macro_engine+tail_logistic+vol_target_leverage+vkospi_signal+overlay_policy,5,1,0,1,1,1,1,0,232.0,0.10939900050401774,0.7898526203644819,-0.21842174770323786,0.5008613000050454,7.442123828724494,103.0,0.14138403081279383,0.9535569708881496,-0.21842174770323763,0.6472983221656463,3.1114026319675703
