Feature,Period,HorizonMonths,Model,Observations,StandardizedBeta,HACPValue,SpearmanIC,ICPValue,AdjustedR2
FXState,locked_2018_2026,3,FeatureOnly,101,0.005590088126230895,0.6400254612855107,0.06665132979448701,0.5078194220327998,-0.005387806811210982
FXState,locked_2018_2026,3,FullControls,101,0.009168274981516077,0.42760844434507295,0.06665132979448701,0.5078194220327998,0.0633177524911861
GoldTrendState,locked_2018_2026,3,FeatureOnly,101,0.012980316449347728,0.34427887801453105,0.1822947000582411,0.06806812892195187,0.015311608813088129
GoldTrendState,locked_2018_2026,3,FullControls,101,0.017791129958239983,0.19420125403878108,0.1822947000582411,0.06806812892195187,0.07733671524927199
GoldCompositeState,locked_2018_2026,3,FeatureOnly,101,0.014714803483962742,0.12678951388568108,0.17997670355270817,0.07170823890238744,0.02255685540389618
GoldCompositeState,locked_2018_2026,3,FullControls,101,0.018826986588255205,0.02928525538680198,0.17997670355270817,0.07170823890238744,0.0984078675793133
RealYieldState,locked_2018_2026,6,FeatureOnly,98,-0.010544388936955838,0.46979173452798817,-0.09278350515463918,0.3635153709807265,-0.00323291068735565
RealYieldState,locked_2018_2026,6,FullControls,98,-0.0027987766534291756,0.8560187842750208,-0.09278350515463918,0.3635153709807265,-0.014773842510068524
FXState,locked_2018_2026,6,FeatureOnly,98,0.00015559793861314608,0.9939289637520015,0.05601583693847656,0.5837990192874343,-0.010415102379738528
FXState,locked_2018_2026,6,FullControls,98,0.00491141842877596,0.7930741941386146,0.05601583693847656,0.5837990192874343,-0.013769534486791413
GoldTrendState,locked_2018_2026,6,FeatureOnly,98,0.03078279338219498,0.20697297182384333,0.22409451128155103,0.02653768333870434,0.050807769270014846
GoldTrendState,locked_2018_2026,6,FullControls,98,0.0401106446676353,0.15981808773309336,0.22409451128155103,0.02653768333870434,0.04150661101736397
GoldCompositeState,locked_2018_2026,6,FeatureOnly,98,0.015072719453587773,0.2645825233760213,0.12881816269150584,0.20617723264765733,0.004262181204574111
GoldCompositeState,locked_2018_2026,6,FullControls,98,0.02092195662092694,0.11288491037104872,0.12881816269150584,0.20617723264765733,0.007828091070557153
