target_month,stress_signal_month,stress_signal_date,level_component,shock_component,tail_component,persistence_component,stress_raw,stress_score,recovery_score,stress_direction_rank,macro_vulnerability,fast_slow_confirmation,direction_tail_confirmation,crash_evidence,normalization_state,crash_pressure,confirmed_downside_lambda
2008-05,2008-04,2008-04-29,0.4596309111880046,0.32202042137996184,0.23933102652825838,0.5059454468860018,0.38173195149555667,0.4680286725621713,0.6616279069767442,0.16299303944315546,0.4483553933775172,0.32202042137996184,0.20116203298570692,0.32384594924772864,False,0.0,1.0
2008-06,2008-05,2008-05-30,0.5073696145124716,0.3256027040234566,0.29024943310657597,0.48217067936054264,0.40134810775076174,0.5104176318429294,0.7745995423340961,0.3882554161915621,0.33997356026918657,0.3256027040234566,0.339252424649069,0.33494289631390406,True,0.0,1.0
2008-07,2008-06,2008-06-30,0.6489955357142857,0.8627441954264872,0.6919642857142857,0.5288132758289105,0.6831293231709922,0.6831293231709922,0.0,0.8019079685746352,0.572208655541989,0.5288132758289105,0.7469361271444604,0.61598601950512,False,0.23197203901024,1.23197203901024
2008-08,2008-07,2008-07-31,0.5647639956092206,0.49967559846177334,0.35510428100987923,0.5662794742770089,0.4964558373394705,0.5052696849588909,0.09581497797356828,0.49944812362030905,0.6159812409812411,0.49967559846177334,0.4272762023150941,0.5143110139193695,True,0.0,1.0
2008-09,2008-08,2008-08-29,0.6791125541125541,0.4727709042861382,0.11093073593073594,0.5379040335247288,0.4501795569635393,0.6021767779138312,0.9181222707423581,0.4314472252448313,0.7298798188320261,0.4727709042861382,0.2711889805877836,0.491279901235316,True,0.0,1.0
2008-10,2008-09,2008-09-30,0.967379679144385,0.3784414352251164,0.02406417112299465,0.6154258869190258,0.49632779310288044,0.6080814217442396,0.788961038961039,0.023118279569892472,0.6033722826991577,0.3784414352251164,0.02359122534644356,0.33513498109023915,True,0.0,1.0
2008-11,2008-10,2008-10-31,0.9984042553191489,0.7425489247923541,0.9797872340425532,0.6811916350017221,0.8504830122889445,0.8504830122889445,0.0,0.993048128342246,0.825383793986923,0.6811916350017221,0.9864176811923996,0.8309977033936815,False,0.661995406787363,1.661995406787363
2008-12,2008-11,2008-11-28,0.9858044164037855,0.07571950522761174,0.003680336487907466,0.6493716255787407,0.42864397092451134,0.587662425438711,0.9307036247334755,0.005813953488372093,0.9471559142611774,0.07571950522761174,0.004747144988139779,0.342540854825643,True,0.0,1.0
2009-01,2008-12,2008-12-30,0.9704663212435233,0.5725375107944732,0.8829015544041451,0.6032322746927561,0.7572844152837244,0.7572844152837244,0.0,0.9619791666666667,0.9436513459757966,0.5725375107944732,0.9224403605354059,0.8128764057685586,False,0.6257528115371171,1.6257528115371171
2009-02,2009-01,2009-01-30,0.9627170582226762,0.5192992786923756,0.4948927477017365,0.6314118163707068,0.6520802252468738,0.6729198918663233,0.18530020703933747,0.2910677618069815,0.9852236504078344,0.5192992786923756,0.39298025475435905,0.6325010612848564,True,0.0,1.0
2009-03,2009-02,2009-02-27,0.953125,0.1635824692780338,0.03780241935483871,0.6394298472967568,0.44848493398240735,0.6184779580046844,0.9521384928716904,0.27001013171225935,0.9600273486404687,0.1635824692780338,0.15390627553354902,0.4258386978173505,True,0.0,1.0
2009-04,2009-03,2009-03-31,0.9220456802383317,0.32816120489904005,0.7785501489572989,0.6126291134004982,0.6603465368737922,0.6603465368737922,0.0,0.6282435129740519,0.9724035114660114,0.32816120489904005,0.7033968309656754,0.6679871824435756,False,0.33597436488715116,1.3359743648871512
2009-05,2009-04,2009-04-30,0.8344793713163065,0.4078625704738207,0.21414538310412573,0.6025842172009435,0.5147678855237992,0.5987435409586312,0.637,0.44274432379072065,0.9476458694396303,0.4078625704738207,0.3284448534474232,0.5613177644536247,True,0.0,1.0
2009-06,2009-05,2009-05-29,0.8033980582524272,0.8343227563343595,0.8490291262135923,0.6150379477880272,0.7754469721471016,0.7754469721471016,0.0,0.9419512195121951,0.9555834089145574,0.6150379477880272,0.8954901728628937,0.8220371765218261,False,0.6440743530436521,1.6440743530436521
2009-07,2009-06,2009-06-30,0.6631578947368421,0.33937822046374677,0.07511961722488038,0.5789722806328194,0.41415700326457217,0.5356013526978503,0.8106796116504854,0.27740384615384617,0.8969946119443224,0.33937822046374677,0.17626173168936327,0.4708781880324775,True,0.0,1.0
2009-08,2009-07,2009-07-31,0.5976415094339622,0.5577785477957614,0.5160377358490565,0.5326487194136493,0.5510266281231073,0.5793765367439363,0.23850574712643677,0.35971563981042654,0.9109027294916147,0.5326487194136493,0.43787668782974154,0.6271427122450018,True,0.0,1.0
2009-09,2009-08,2009-08-31,0.49440820130475305,0.5188057827296495,0.3825722273998136,0.5107490444180373,0.47663381396306337,0.47663381396306337,0.0,0.5163857677902621,0.8734805336242731,0.5107490444180373,0.44947899759503784,0.611236191879116,False,0.22247238375823208,1.222472383758232
2009-10,2009-09,2009-09-29,0.425414364640884,0.5946490358323836,0.45441988950276246,0.4626903936350358,0.48429342090276645,0.5110100909362509,0.22998137802607077,0.7784458834412581,0.6685976108656522,0.4626903936350358,0.6164328864720103,0.5825736303242327,False,0.1651472606484654,1.1651472606484654
2009-11,2009-10,2009-10-30,0.5948275862068966,0.8882182805109464,0.5072595281306715,0.4932696441155761,0.6208937597410227,0.6208937597410227,0.0,0.914767547857794,0.6076223450437286,0.4932696441155761,0.7110135379942328,0.6039685090511792,False,0.20793701810235832,1.2079370181023583
2009-12,2009-11,2009-11-30,0.35439068100358423,0.4851721059202695,0.009408602150537635,0.4695130674323895,0.32962111412669526,0.437161376532362,0.7603978300180831,0.23267326732673269,0.49890528574982335,0.4695130674323895,0.12104093473863516,0.363153095973616,False,0.0,1.0
2010-01,2009-12,2009-12-30,0.2570796460176991,0.5855880039331367,0.05707964601769912,0.42967252100999404,0.33235495424463224,0.3869047445271933,0.4393939393939394,0.36933333333333335,0.5215623176466551,0.42967252100999404,0.21320648967551623,0.3881471094440551,False,0.0,1.0
2010-02,2010-01,2010-01-29,0.4671916010498688,0.4446080059412609,0.13648293963254593,0.4270649497185647,0.3688368740855601,0.4755215673485539,0.7553003533568905,0.12697715289982425,0.39155559730441525,0.4270649497185647,0.1317300462661851,0.31678353109638835,False,0.0,1.0
2010-03,2010-02,2010-02-26,0.2800865800865801,0.6950225861095427,0.4636363636363636,0.43792236228645093,0.46916697302973437,0.46916697302973437,0.0,0.5839130434782609,0.35054812075054576,0.43792236228645093,0.5237747035573123,0.43741506219810294,False,0.0,1.0
2010-04,2010-03,2010-03-30,0.10436270316509838,0.4313436822966732,0.07912745936698032,0.36277142553728425,0.24440131759150904,0.3738195129021655,0.8401709401709402,0.39218213058419243,0.27831385015770405,0.36277142553728425,0.2356547949755864,0.2922466902235249,False,0.0,1.0
2010-05,2010-04,2010-04-30,0.15105485232067511,0.44115801330186655,0.6637130801687763,0.3832168827752054,0.4097857071416308,0.4181018819555672,0.0867003367003367,0.7317796610169491,0.22573887560019798,0.3832168827752054,0.6977463705928627,0.4355673763227553,False,0.0,1.0
2010-06,2010-05,2010-05-31,0.5388471177944862,0.6078414366453045,0.5513784461152882,0.5020928501530276,0.5500399626770266,0.5500399626770266,0.0,0.19001677852348994,0.1958342423787901,0.5020928501530276,0.3706976123193891,0.3562082349504023,True,0.0,1.0
2010-07,2010-06,2010-06-29,0.40957886044591246,0.8714336725401344,0.30429397192402974,0.4620367636506855,0.5118358171401906,0.5118358171401906,0.0,0.5286069651741293,0.23055146135457838,0.4620367636506855,0.4164504685490795,0.3696795645181144,False,0.0,1.0
2010-08,2010-07,2010-07-30,0.2078239608801956,0.49197459106812486,0.10350448247758762,0.41303331149144007,0.30408408647933705,0.40281600387413874,0.7390243902439024,0.24754500818330605,0.24222619358488917,0.41303331149144007,0.17552474533044682,0.27692808346892533,False,0.0,1.0
2010-09,2010-08,2010-08-31,0.18719806763285024,0.41650443192128894,0.09702093397745572,0.38430226029583253,0.27125642345685685,0.37890707430675297,0.7764423076923077,0.08852061438965239,0.25855777404739433,0.38430226029583253,0.09277077418355406,0.24521026950892696,False,0.0,1.0
2010-10,2010-09,2010-09-30,0.0641945773524721,0.6859524302057276,0.2743221690590112,0.3711704189923142,0.3489098989023813,0.3857720308009343,0.3161648177496038,0.5256204963971177,0.34375105570757747,0.3711704189923142,0.39997133272806445,0.3716309358093188,False,0.0,1.0
2010-11,2010-10,2010-10-29,0.18848580441640378,0.7406144863139439,0.03943217665615142,0.3785061939865051,0.336759665343251,0.336759665343251,0.0,0.2521773555027712,0.31880607537346994,0.3785061939865051,0.1458047660794613,0.28103901181314545,False,0.0,1.0
2010-12,2010-11,2010-11-30,0.4809041309431021,0.7446253035664406,0.7587685113016368,0.4430948618013386,0.6068482019031295,0.6068482019031295,0.0,0.8290297339593115,0.39190621986335594,0.4430948618013386,0.7938991226304741,0.5429667347650562,False,0.08593346953011238,1.0859334695301124
2011-01,2010-12,2010-12-30,0.028505392912172575,0.12430436140078674,0.3759630200308166,0.387644870248298,0.2291044111480185,0.3518005490678859,0.8249235474006116,0.04911059551430781,0.3838229892150813,0.12430436140078674,0.2125368077725622,0.24022138612947674,False,0.0,1.0
2011-02,2011-01,2011-01-31,0.04992378048780488,0.35782772057588597,0.421875,0.33723420150957706,0.29171517564331695,0.32356450028976863,0.26136363636363635,0.12892119357306808,0.2760745855483998,0.33723420150957706,0.27539809678653404,0.2962356279481703,False,0.0,1.0
2011-03,2011-02,2011-02-28,0.3177358490566038,0.6512785877644369,0.549433962264151,0.4108761801644195,0.4823311448124028,0.4823311448124028,0.0,0.6678030303030303,0.475506870265909,0.4108761801644195,0.6086184962835907,0.4983338489046398,False,0.0,1.0
2011-04,2011-03,2011-03-31,0.07297904191616766,0.523780434997773,0.3282185628742515,0.4008096040044975,0.3314469109481724,0.3492734591739761,0.15895522388059702,0.6367392937640871,0.3097724130302528,0.4008096040044975,0.4824789283191693,0.39768698178463985,False,0.0,1.0
2011-05,2011-04,2011-04-29,0.20088954781319496,0.7379985780913552,0.7790956263899185,0.3889264584378761,0.5267275526830861,0.5267275526830861,0.0,0.7659970238095238,0.36969996513901837,0.3889264584378761,0.7725463250997211,0.5103909162255386,False,0.02078183245107712,1.0207818324510771
2011-06,2011-05,2011-05-31,0.218841642228739,0.35004215947123446,0.8456744868035191,0.43204957012931605,0.4616519646582022,0.4616519646582022,0.0,0.5294334069168506,0.3678815060908085,0.35004215947123446,0.6875539468601848,0.4684925374740759,False,0.0,1.0
2011-07,2011-06,2011-06-30,0.267078488372093,0.2594133515257917,0.7503633720930232,0.44138232188371385,0.4295593834686554,0.4698506128364458,0.342296511627907,0.4737417943107221,0.4996893968003766,0.2594133515257917,0.6120525832018726,0.45705177717601364,False,0.0,1.0
2011-08,2011-07,2011-07-29,0.41474820143884894,0.8980930057398124,0.258273381294964,0.4474742336154379,0.5046472055222658,0.5046472055222658,0.0,0.9057761732851985,0.5310486912256343,0.4474742336154379,0.5820247772900813,0.5201825673770512,False,0.040365134754102305,1.0403651347541023
2011-09,2011-08,2011-08-30,0.8086552217453505,0.3962176250145064,0.47281831187410583,0.5153374967182399,0.5482571638380507,0.631294416030155,0.6549497847919655,0.2975592246949031,0.4612871390983979,0.3962176250145064,0.38518876828450443,0.41423117746580296,True,0.0,1.0
2011-10,2011-09,2011-09-30,0.9462633451957295,0.8193613370615149,0.38256227758007116,0.6063936395658741,0.6886451498507974,0.6886451498507974,0.0,0.3382142857142857,0.6133611460430479,0.6063936395658741,0.3603882816471784,0.5267143557520334,True,0.0,1.0
2011-11,2011-10,2011-10-31,0.8091359773371105,0.5706084863017974,0.7956798866855523,0.6538641677499466,0.7073221295186016,0.7073221295186016,0.0,0.9143567874911158,0.6982464451162969,0.5706084863017974,0.8550183370883341,0.7079577561688094,False,0.4159155123376188,1.4159155123376188
2011-12,2011-11,2011-11-29,0.7601683029453016,0.18340660973002637,0.8390603085553997,0.604529852988654,0.5967912685548453,0.5967912685548453,0.0,0.6372273047149895,0.7412407438641975,0.18340660973002637,0.7381438066351946,0.5542637200764728,False,0.10852744015294569,1.1085274401529457
2012-01,2011-12,2011-12-29,0.6951388888888889,0.38423163472706157,0.3173611111111111,0.5303557444414475,0.48177184479212726,0.5353249842712401,0.44637883008356544,0.5250871080139373,0.7816140201331951,0.38423163472706157,0.4212241095625242,0.5290232548075936,False,0.0580465096151872,1.0580465096151872
2012-02,2012-01,2012-01-31,0.5399449035812672,0.49555589982884696,0.3908402203856749,0.5308847562913129,0.48930644502177556,0.5484523870725403,0.4903448275862069,0.7190739460953697,0.8435162359450539,0.49555589982884696,0.5549570832405223,0.6313430730048077,False,0.2626861460096155,1.2626861460096155
2012-03,2012-02,2012-02-28,0.3447098976109215,0.2695748983122166,0.6238907849829352,0.4802807240925341,0.42961407624965187,0.46339796327952454,0.287568306010929,0.12773972602739725,0.6689131446029661,0.2695748983122166,0.3758152555051662,0.4381010994734496,False,0.0,1.0
2012-04,2012-03,2012-03-30,0.1287162162162162,0.5594623224919835,0.3861486486486486,0.38126413849375174,0.36389783146265,0.3737798035973007,0.09256756756756757,0.764406779661017,0.7802155542351621,0.38126413849375174,0.5752777141548329,0.5789191356279155,False,0.15783827125583105,1.157838271255831
2012-05,2012-04,2012-04-30,0.1107764390896921,0.36537407746050243,0.4079651941097724,0.3835125141823458,0.31690705621057813,0.3812444741959332,0.5308724832214765,0.2132303559435863,0.7668530071670365,0.36537407746050243,0.31059777502667935,0.48094161988473944,False,0.0,1.0
2012-06,2012-05,2012-05-31,0.5096153846153846,0.3253097033166205,0.3660477453580902,0.4703709557939523,0.4178359472710119,0.4555759192251566,0.322,0.06753160345974717,0.7095174692240717,0.3253097033166205,0.2167896744089187,0.41720561564987024,True,0.0,1.0
2012-07,2012-06,2012-06-29,0.3331143232588699,0.42892888481571534,0.27168199737187915,0.4739053677346632,0.37690764329528187,0.44660210472209994,0.5739762219286658,0.34838497033618987,0.7848382898988667,0.42892888481571534,0.3100334838540345,0.5079335528562056,False,0.015867105712411123,1.0158671057124111
2012-08,2012-07,2012-07-31,0.3565387117761874,0.756596957383666,0.42387768379960966,0.41812803275128324,0.48878534642768656,0.48878534642768656,0.0,0.43309399477806787,0.83971674335173,0.41812803275128324,0.42848583928883877,0.5621102051306174,False,0.12422041026123476,1.1242204102612348
2012-09,2012-08,2012-08-31,0.36597938144329895,0.6705380258764886,0.5231958762886597,0.45671255353973805,0.5041064592870463,0.5041064592870463,0.0,0.23884938590820945,0.8846415904110922,0.45671255353973805,0.3810226310984346,0.5741255916830883,False,0.1482511833661766,1.1482511833661766
2012-10,2012-09,2012-09-28,0.09782608695652174,0.43785947530140146,0.20524296675191817,0.413776158864795,0.2886761719686591,0.39009999583290583,0.7454896907216495,0.5750481077613855,0.8702705815032992,0.413776158864795,0.3901455372566518,0.558064092541582,False,0.11612818508316392,1.116128185083164
2012-11,2012-10,2012-10-30,0.1958174904942966,0.46519379629472957,0.6159695817490494,0.38305597589022833,0.41500921110707595,0.4593555935966981,0.3814102564102564,0.598537825810553,0.8624849840520277,0.38305597589022833,0.6072537037798011,0.6175982212406858,False,0.2351964424813715,1.2351964424813715
2012-12,2012-11,2012-11-30,0.012233375156838143,0.342839198757455,0.8255959849435384,0.35423384165960514,0.38372560012935913,0.38372560012935913,0.0,0.6548143486469478,0.8588940993396982,0.342839198757455,0.7402051667952431,0.6473128216307987,False,0.29462564326159746,1.2946256432615975
2013-01,2012-12,2012-12-28,0.0426791277258567,0.8124810163551401,0.9429906542056075,0.3619599237325928,0.5400276805047992,0.5400276805047992,0.0,0.9921875,0.8914646172478653,0.3619599237325928,0.9675890771028037,0.7403378726944206,False,0.4806757453888413,1.4806757453888413
2013-02,2013-01,2013-01-31,0.025,0.6643365630852731,0.49691358024691357,0.3536483452810776,0.3849746221533161,0.3849746221533161,0.0,0.5959752321981424,0.8136026105382465,0.3536483452810776,0.546444406222528,0.571231787347284,False,0.14246357469456794,1.142463574694568
2013-03,2013-02,2013-02-28,0.030312308634415187,0.614568741903402,0.4797917942437232,0.34986183154987577,0.36863366908285405,0.4148604124417499,0.39542079207920794,0.7294226044226044,0.8792739960446734,0.34986183154987577,0.6046071993331639,0.611247675642571,False,0.22249535128514197,1.222495351285142
2013-04,2013-03,2013-03-29,0.010024301336573511,0.21860216594362417,0.21719319562575942,0.3523443557056309,0.19954100465289698,0.2887152024867031,0.6881127450980392,0.10816575258988421,0.8311023074635489,0.21860216594362417,0.16267947410782183,0.4041279825049983,False,0.0,1.0
2013-05,2013-04,2013-04-30,0.024125452352231604,0.40038973989609855,0.8160434258142341,0.33601676377001216,0.3941438454581441,0.3941438454581441,0.0,0.5859044162129462,0.8064630337654728,0.33601676377001216,0.7009739210135901,0.6144845728496917,False,0.22896914569938343,1.2289691456993834
2013-06,2013-05,2013-05-31,0.008667065152420802,0.5290608815995619,0.8045427375971309,0.33636676889858513,0.41965936331192466,0.41965936331192466,0.0,0.7544964028776978,0.7886730008777469,0.33636676889858513,0.7795195702374144,0.6348531133379155,False,0.269706226675831,1.269706226675831
2013-07,2013-06,2013-06-28,0.14289958407605466,0.5787258938682202,0.049910873440285206,0.39509554191741264,0.29165797332549315,0.46942288264498905,0.9671052631578947,0.4871871275327771,0.7951483253588517,0.39509554191741264,0.26854900048653113,0.4862642892542652,False,0.0,1.0
2013-08,2013-07,2013-07-30,0.07979976442873969,0.29721504469662025,0.10806831566548881,0.3986333000346309,0.2209291062063699,0.32736818074270263,0.7633451957295374,0.40490253987005315,0.8021766448549678,0.29721504469662025,0.256485427767771,0.451959039106453,False,0.0,1.0
2013-09,2013-08,2013-08-30,0.07326328079392878,0.5471625064426735,0.010507880910683012,0.33139367985950274,0.240581837001697,0.35509957117713065,0.8071512309495897,0.10450819672131148,0.8065351085831449,0.33139367985950274,0.057508038815997246,0.3984789424195483,False,0.0,1.0
2013-10,2013-09,2013-09-30,0.058294663573085846,0.6389058448701492,0.6917053364269141,0.3850558675385204,0.44349042810216743,0.44349042810216743,0.0,0.5767888307155323,0.8262177093059446,0.3850558675385204,0.6342470835712233,0.6151735534718961,False,0.23034710694379212,1.2303471069437921
2013-11,2013-10,2013-10-31,0.026436781609195402,0.5913374904766637,0.7028735632183908,0.3205002070795447,0.41028701059594863,0.41028701059594863,0.0,0.8717579250720461,0.7316135780091111,0.3205002070795447,0.7873157441452184,0.6131431764112915,False,0.22628635282258291,1.226286352822583
2013-12,2013-11,2013-11-29,0.03164196123147092,0.3915963870542085,0.5749714937286203,0.35841927811551655,0.33915728003245404,0.37288939299821966,0.2818599311136625,0.43767867352773016,0.7498230570300802,0.35841927811551655,0.5063250836281752,0.5381891395912574,False,0.07637827918251472,1.0763782791825147
2014-01,2013-12,2013-12-30,0.0014148273910582908,0.468847861571104,0.05772495755517827,0.35197221774605236,0.21998996606584822,0.297145857403382,0.628132118451025,0.25,0.7691057304629534,0.35197221774605236,0.15386247877758913,0.424980142328865,False,0.0,1.0
2014-02,2014-01,2014-01-29,0.04211117349803481,0.6039885952066609,0.7509825940482875,0.3341548768064028,0.43280930988984656,0.43280930988984656,0.0,0.9434121621621622,0.7860855536416629,0.3341548768064028,0.8471973781052249,0.6558126028510969,False,0.31162520570219376,1.3116252057021938
2014-03,2014-02,2014-02-28,0.013099219620958752,0.5021485661477642,0.5122630992196209,0.3587843141286357,0.3465737997792449,0.3465737997792449,0.0,0.7940190050307434,0.749293009759523,0.3587843141286357,0.6531410521251821,0.587072792004447,False,0.1741455840088939,1.174145584008894
2014-04,2014-03,2014-03-31,0.02820796460176991,0.6722991026509406,0.09402654867256638,0.3169024364719921,0.27785901309931726,0.314802615081866,0.3153503893214683,0.6674986134220743,0.6977025251102975,0.3169024364719921,0.3807625810473203,0.46512251420987,False,0.0,1.0
2014-05,2014-04,2014-04-29,0.000823271130625686,0.3151099325977912,0.7258507135016465,0.31722630194042334,0.3397525547926217,0.3542166328464199,0.12720264317180616,0.8824986241056687,0.6615413081186892,0.3151099325977912,0.8041746688036576,0.5936086365067127,False,0.1872172730134254,1.1872172730134254
2014-06,2014-05,2014-05-30,0.0029923830250272033,0.5503897384844529,0.7823721436343851,0.34019719723690905,0.4189878655951936,0.4189878655951936,0.0,0.8726132024004365,0.724225477979116,0.34019719723690905,0.8274926730174108,0.6306384494111453,False,0.26127689882229066,1.2612768988222907
2014-07,2014-06,2014-06-30,0.013498920086393088,0.3845919803405441,0.010259179265658747,0.31698195855069694,0.1813330095608232,0.2964565904780431,0.810064935064935,0.09068760151597184,0.7548344496101599,0.31698195855069694,0.0504733903908153,0.37409659951722407,False,0.0,1.0
2014-08,2014-07,2014-07-31,0.03238758029978587,0.5577357471831139,0.8343147751605995,0.36719914785273894,0.4479093126240596,0.4479093126240596,0.0,0.5037573805689748,0.7753422903515012,0.36719914785273894,0.6690360778647871,0.6038591720230091,False,0.2077183440460182,1.2077183440460182
