month,macro_signal_month,stress_signal_month,stress_signal_date,stress_score,crash_evidence,crash_pressure,normalization_state,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,expected_shortfall,tail_multiplier,tail_penalty,estimated_transaction_cost,monthly_utility,policy,covariance_mode,tail_mode,internal_transaction_cost,market_crash_pressure,portfolio_vulnerability,portfolio_crash_pressure,solver_success,primary_solver_success,primary_solver_message,used_feasibility_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO
2018-02,2018-01,2018-01,2018-01-30,0.47424202413230376,0.5090370652887947,0.01807413057758933,False,-0.015420045500719617,-0.015420044091824231,1.9996827119096636,-0.059757508847883,4.312465234218706e-07,1.293739570265612e-09,1.1515581577194087e-10,0.3566635605528313,0.11678393565233602,0.3966693082691679,0.1298831955256647,0.16813070652541098,0.5258946986449053,0.3059745948296836,3.320307846949799e-17,0.005672770949772598,0.00036923099589276725,0.06585786542191457,1.0,0.00018461549794638362,0.00011755707272729527,0.027355243779269383,1.0030759012445285,0.0007506110879218111,6.71587579859799e-09,0.004737537648028605,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.01807413057758933,0.1701825286325184,0.003075901244528473,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.0047375376480286065,0.06656404397806076,-0.08885729066258229,1.1102230246251565e-16,0.06343595602193924,0.07114270933741772,0.5258946986449053,BOND,1,0.006742610948434253,0.0037209611587804966,0.008511542541585274,-0.005428145108651454,-1.2808198820678444e-07,-1.440588508984475e-05,-4.71313885124381e-05,4.82498301205985e-07
2018-03,2018-02,2018-02,2018-02-27,0.37430330122442457,0.3470646506451917,0.0,False,0.0071156632767960405,0.007115670398188483,2.0139117807480433,-0.05306705988230853,2.0346835551548257e-06,6.1040506654644774e-09,1.0173417775289576e-09,0.22292679738282276,0.04651481478248612,0.6044390856792627,0.1261193021554283,0.15696632524873189,0.5350388782816825,0.30799479646958566,5.969146125547886e-17,0.005087123816352149,0.00036490942564343707,0.05885602924236516,1.0,0.00018245471282171853,0.00011605099719046525,0.027087555400744503,1.0,0.0007337356575884027,1.0683279928241104e-08,0.0041709227626621,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.16792207348449084,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,2,-0.0041709227626621,0.06617335647918463,-0.08916924445179107,0.0,0.06382664352081538,0.07083075554820893,0.5350388782816825,BOND,1,0.006729429627666445,0.0036888306257935014,0.006805951013439049,-0.007605394246068302,1.6853742810392693e-05,2.441657247477344e-05,-0.0001777452312049794,5.124010299231456e-06
2018-04,2018-03,2018-03,2018-03-30,0.49853419632149987,0.26150957665219804,0.0,False,-0.0013886852502755004,-0.001388681542671179,2.0111150911627624,-0.05438205168925003,1.05931552045472e-06,3.1779465613641604e-09,5.296577602343166e-10,0.2671238846447026,0.07469370745893074,0.5143569133468623,0.1438254945495044,0.16044227443378373,0.5345839662865831,0.3049737592796332,6.127104371211618e-17,0.005362338661385611,0.00036542722161905827,0.06215550060691298,1.0,0.00018271361080952913,0.00011443196716819478,0.02700341391874294,1.0,0.0007291843632669599,7.976266065859249e-09,0.004450432711043056,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.1674336575265037,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004450432711043056,0.0662202888805893,-0.08814062191422159,0.0,0.0637797111194107,0.07185937808577841,0.5345839662865831,BOND,1,0.006613023328631202,0.0037365941902561834,0.007489229528249913,-0.006699013694347238,1.6033466280968447e-05,3.3594883944226765e-05,-2.4375881301669096e-06,3.1188836904445003e-06
2018-05,2018-04,2018-04,2018-04-30,0.4331132598642545,0.37830991774233746,0.0,False,-0.0038985010312727482,-0.003898497701476276,2.003274756905856,-0.058068544235929664,9.513704206376755e-07,2.8541112619130264e-09,4.756852103049763e-10,0.177181885158172,0.0653593042740968,0.5533409822068006,0.2041178283609306,0.16380454282923276,0.5350475095325486,0.30114794763821867,6.516301326782807e-17,0.005338125948630568,0.00036987352536202293,0.06183827023139468,1.0,0.00018493676268101146,0.00011237331079048894,0.02687367147091403,1.0,0.0007221942183266185,7.652180945346845e-09,0.004430987315441993,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.16660861765436827,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004430987315441993,0.06662193560940927,-0.08679278641972524,0.0,0.06337806439059074,0.07320721358027477,0.5350475095325486,BOND,1,0.006794292361246309,0.0037902303499603614,0.007368461570407939,-0.007262232895990924,2.373878064094239e-05,3.6819443767864355e-05,-0.00015058733120439923,7.714694654106627e-06
2018-06,2018-05,2018-05,2018-05-31,0.5101680690196747,0.5699452433876843,0.13989048677536853,False,-0.0032095073717675034,-0.003209506833266635,1.996845231805891,-0.06109168018690414,1.5385739091102317e-07,4.615721727330695e-10,7.69286954971539e-11,0.2686182397404547,0.11779539507660325,0.42653901025572666,0.18704735492721536,0.15900420919076153,0.5389536308111891,0.3020421599980494,6.467339157013414e-17,0.005465901464711641,0.00036803139038515107,0.06338262923422879,1.0,0.00018401569519257554,0.00011072771037413232,0.026745452822826827,1.0231590777038735,0.000731885380715412,6.533691944694086e-09,0.0045499938551117084,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.13989048677536853,0.1655514841481795,0.023159077703873536,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.0045499938551117084,0.06645582506162882,-0.08693721144090137,0.0,0.06354417493837118,0.07306278855909863,0.5389536308111891,BOND,1,0.006073471923265201,0.003772543239421037,0.008201904837740654,-0.005955866155120228,-6.95846402155518e-06,-1.6603265816636596e-05,-9.874435844267036e-07,-1.5116955564372639e-06
2018-07,2018-06,2018-06,2018-06-29,0.434838676455717,0.4280765135834404,0.0,False,-0.006415222847480704,-0.00641522204103247,1.9840350246519267,-0.06711498629185886,2.319049478144805e-07,6.957148434434416e-10,1.1073339070692271e-10,0.16087518202062076,0.10604822922593457,0.4418264741185684,0.2912501146348763,0.1537496332046212,0.5447637289730048,0.3014866378223739,7.482213010082249e-17,0.005551385524836193,0.0003842614495806768,0.06431105760055025,1.0,0.0001921307247903384,0.0001081090334006265,0.026513994812696843,1.0,0.0007029919209277151,6.5883488826875155e-09,0.004656256290769257,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.16382515445106213,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004656256290769257,0.0679053561581715,-0.08649752315476228,0.0,0.0620946438418285,0.07350247684523772,0.5447637289730048,BOND,1,0.0058286239343997535,0.003939070382936242,0.008477501670257086,-0.006203222826737825,1.5423483371071787e-05,2.549660536583746e-05,-0.00020810339900878842,7.90202361135828e-06
2018-08,2018-07,2018-07,2018-07-31,0.34898878792494603,0.39811051506192374,0.0,False,0.001321381571276229,0.0013213826657411869,1.9866566919702684,-0.06588228922662509,3.483949810590278e-07,1.0451849431770835e-09,4.9280014818895124e-11,0.18221769363463097,0.13817047262099297,0.3865227057509297,0.2930891279934464,0.1544070900646207,0.5493224023155837,0.2962705076197956,7.05063501808817e-17,0.00546485203046247,0.0003710180453377285,0.06335211609352327,1.0,0.00018550902266886425,0.00010473513607289246,0.02617287206719026,1.0,0.0006850192322455081,6.644222990417667e-09,0.004594317131325108,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.16166892829407928,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004594317131325108,0.06672493195240249,-0.08448951667735427,0.0,0.06327506804759751,0.07551048332264573,0.5493224023155837,BOND,1,0.005525911762798628,0.003931930193447782,0.008695452513516081,-0.006130608212250126,2.6532660570705502e-05,9.217640365763132e-06,-0.0004511136895933895,1.142304899477381e-05
2018-09,2018-08,2018-08,2018-08-31,0.31301966010178556,0.41073039931052696,0.0,False,-0.0022563287753299,-0.0022563275167808558,1.9821741413094742,-0.06798996589698836,3.595854412008772e-07,1.0787563236026316e-09,1.7979272060045258e-10,0.15063634294889292,0.11682580090059831,0.41256987674573564,0.319967979404773,0.15461638800191996,0.5565366690565445,0.2888469429415355,7.424216565721733e-17,0.005361758522099332,0.00035679995507816617,0.06220030253472299,1.0,0.00017839997753908308,9.980070195373404e-05,0.025660768532884112,1.0,0.0006584750416982555,6.7178055996583755e-09,0.004524876785056394,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.15848634485015148,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004524876785056394,0.06543393203023944,-0.08159511441467589,0.0,0.06456606796976057,0.07840488558532412,0.5565366690565445,BOND,1,0.005640805132038008,0.004041997790102169,0.008321173336657625,-0.0062181136557067414,2.9632856538612647e-05,2.2343304470535656e-05,-0.0006248446007721225,2.246934585650741e-05
2018-10,2018-09,2018-09,2018-09-28,0.4256552940656051,0.589612298166371,0.1792245963327419,False,0.00420326087142194,0.004203261972262689,1.9905057363179848,-0.06407248458887049,3.252111033941444e-07,9.756333101824332e-10,1.2520743936097847e-10,0.11519428456042721,0.08779420346506356,0.45229742731419603,0.3447140846603132,0.15615621581095207,0.5564062847105535,0.28743749947849434,7.730209842502533e-17,0.005337324817443628,0.0003599011901728941,0.06188849066828617,1.0,0.00017995059508644706,9.883223606585811e-05,0.02563237674427635,1.0283664294274384,0.0006756560132120342,6.643272685852479e-09,0.004481711565872461,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.1792245963327419,0.15827308309164378,0.028366429427438375,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004481711565872461,0.06571768621972877,-0.08110877697883083,0.0,0.06428231378027123,0.07889122302116917,0.5564062847105535,BOND,1,0.005850973431629602,0.004015168547341998,0.007949624069017712,-0.006503243027941396,2.5721180362549697e-07,-2.4825597862150754e-05,-0.00028407280627500196,1.3695296257956203e-05
2018-11,2018-10,2018-10,2018-10-30,0.5858590272887585,0.46553547176608295,0.0,True,0.004495263770798106,0.004495266507048014,1.9994535846400205,-0.059865243536749935,8.083629374628135e-07,2.4250888123884404e-09,3.111610960837238e-10,0.22897617634820308,0.18529233825235095,0.32374788613331684,0.26198359926612913,0.13664593210748,0.5585737966519844,0.30478027124053564,7.07523573262178e-17,0.005642018866052279,0.00037922657476910674,0.0654288669440127,1.0,0.00018961328738455337,0.00010293873632226544,0.025525239332813986,1.0,0.0006515378429974342,7.310197325530126e-09,0.004800860425472965,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.16118774729493143,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004800860425472965,0.06745901642648876,-0.0861378575217503,0.0,0.06254098357351125,0.07386214247824971,0.5585737966519844,BOND,1,0.004292868630288242,0.003958169773490989,0.009133929455210228,-0.004904065733623839,-8.569948017381469e-06,9.187514998213742e-06,0.00018598171987505962,-4.967647054872565e-06
2018-12,2018-11,2018-11,2018-11-30,0.5961776678406475,0.689605830635364,0.3792116612707279,False,0.010212419140669324,0.010212419863009713,2.0198728426986783,-0.05026419335503607,2.1437242168910805e-07,6.431172650673242e-10,7.922312433851839e-11,0.11613070993440404,0.09043579707111214,0.44606454435869813,0.3473689486357857,0.14177216835723536,0.5604565429993122,0.29777128864345237,5.604324248045324e-17,0.005522296552617697,0.00037754516170744064,0.06400228766116772,1.0,0.00018877258085372032,9.941734427934066e-05,0.025124216264216306,1.0575220482198524,0.00066753566927233,6.5613730780294044e-09,0.004665981741118569,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.3792116612707279,0.15168850036704457,0.05752204821985239,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004665981741118569,0.06730930054969586,-0.08360220301179301,0.0,0.06269069945030414,0.07639779698820699,0.5604565429993122,BOND,1,0.005070831421183314,0.004076854958776167,0.008251139509433486,-0.008475905036574652,-2.4526490052392826e-05,-2.006474042910311e-05,0.0002561156743410586,-1.3853170417947445e-05
2019-01,2018-12,2018-12,2018-12-28,0.5400060184645616,0.5013533555305575,0.0,True,0.020448575108901218,0.020448576896124913,2.061176364233032,-0.03084344937924377,5.106353419548114e-07,1.5319060258644345e-09,2.553176709358075e-10,0.10187324202429324,0.056079855392154945,0.5430855697405771,0.2989613328429746,0.1364167976315379,0.5577347019615211,0.30584850040694095,7.393974978336388e-17,0.005299346464868093,0.0003766234436082122,0.06133241691676784,1.0,0.0001883117218041061,0.00010217373204829888,0.02559982817676941,1.0,0.000655351202680117,6.847131588732232e-09,0.004455676693252281,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.0,0.15051796020032493,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,1,-0.004455676693252281,0.06722708771989566,-0.08654904340098932,0.0,0.06277291228010434,0.07345095659901069,0.5577347019615211,BOND,1,0.0051590585003989655,0.004010760008695698,0.0075750670175955825,-0.009897802216386416,3.0286183836914192e-05,2.860057462796307e-05,7.100973959547808e-05,-4.228460216981686e-06
2019-02,2019-01,2019-01,2019-01-31,0.5207759342443048,0.6936220709518613,0.3872441419037227,False,6.274616341120647e-05,6.275721084006299e-05,2.0613056951420017,-0.030782638523947248,3.1564082447201138e-06,9.469224734160342e-09,1.5782041223601309e-09,0.11926164815773856,0.03969952247533758,0.6309948307217833,0.21004399864514056,0.14539181389941455,0.546771442789528,0.30783674331105737,8.721516055093209e-17,0.0050801249883032674,0.00036180236504853094,0.058790685669348024,1.0,0.00018090118252426547,0.00010494932275905444,0.025968003340555008,1.059136434402843,0.0007142150949401407,1.4034501341943976e-08,0.004184994676337519,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.3872441419037227,0.15271098514782866,0.05913643440284305,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,2,-0.004184994676337519,0.06589103414412595,-0.08774250684036244,0.0,0.06410896585587406,0.07225749315963756,0.546771442789528,BOND,1,0.006070825662714579,0.003860923905323878,0.006747828323683506,-0.007868628195609479,-3.0123835415415264e-06,-1.4879182968125946e-06,3.396518090539792e-05,-3.575902023655967e-07
2019-03,2019-02,2019-02,2019-02-28,0.5454815010856986,0.7170204001518915,0.434040800303783,False,0.002138720824995104,0.002138753533848563,2.0657142525588825,-0.02870975316901181,9.345386702691984e-06,2.8036160108075953e-08,4.672693351360072e-09,0.08523859073444388,0.02110453840344939,0.7163044090386445,0.17735246182346234,0.14479248797873046,0.5474056386172366,0.30780187340403287,9.165458239139919e-17,0.004844435760046668,0.0003529926347900852,0.056015273311819505,1.0,0.0001764963173950426,0.00010409572094284245,0.025950765721113357,1.066199729119181,0.0007180239354776279,3.530063658687498e-08,0.0039498802065374115,Stage17B_DynamicES,stage14_raw_stress,expected_shortfall_squared,True,0.434040800303783,0.15251959970778817,0.06619972911918101,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,3,-0.0039498802065374115,0.06508388139532723,-0.08770140018794871,0.0,0.06491611860467278,0.07229859981205129,0.5474056386172366,BOND,1,0.006226998092465155,0.003794262169209037,0.0060118593109382956,-0.0076383199448683756,-3.321698891083403e-05,-9.66291475787092e-06,8.268388182466085e-05,-3.20955616561095e-06
