Model,Config,threshold,max_shift,bond_share,horizon_weights,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths,CAGRDelta,SharpeDelta,MDDDelta,CalmarDelta,MultiObjectiveScore,Selected
CJM,th0.50_shift0.20_bond0.00_hw0.50-0.30-0.20,0.5,0.2,0.0,"(0.5, 0.3, 0.2)",129.0,0.12669712753305862,0.1386968178377051,0.9320619716593129,1.751907656361721,-0.1298226382385037,0.9759247636016836,3.605182558743429,0.5968992248062015,0.12628696268551426,0.0026785173802386176,4,-0.001895734753751377,-0.013050612391571348,0.0,-0.014602497526422398,0.2925347222222222,False
CJM,th0.50_shift0.20_bond0.00_hw0.33-0.33-0.33,0.5,0.2,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12700463233055048,0.13866534098854436,0.9342310478802898,1.756306346150553,-0.1298226382385037,0.978293416724623,3.6157740800577023,0.5968992248062015,0.12536243183051005,0.002295494730023196,4,-0.0015882299562595126,-0.010881536170594508,0.0,-0.012233844403482963,0.3289930555555555,False
CJM,th0.50_shift0.20_bond0.50_hw1.00-0.00-0.00,0.5,0.2,0.5,"(1.0, 0.0, 0.0)",129.0,0.12716582635442197,0.13861643773121993,0.9355548886758398,1.759235885266142,-0.1298226382385037,0.9795350647611955,3.621337422922834,0.5968992248062015,0.1290390087592165,0.003830645968182632,6,-0.001427035932388021,-0.009557695375044473,0.0,-0.010992196366910512,0.3567708333333333,False
CJM,th0.50_shift0.20_bond0.50_hw0.50-0.30-0.20,0.5,0.2,0.5,"(0.5, 0.3, 0.2)",129.0,0.12757966248645358,0.13859647258165525,0.9383461149898674,1.7648453974178844,-0.1298226382385037,0.982722768675141,3.635655856395281,0.5968992248062015,0.12628696268551426,0.0026785173802386176,4,-0.0010131998003564124,-0.006766469061016855,0.0,-0.007804492452964995,0.4592013888888889,False
CJM,th0.50_shift0.20_bond0.50_hw0.33-0.33-0.33,0.5,0.2,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12773512695422173,0.13858704921454812,0.9394060269932232,1.7668733649206527,-0.1298226382385037,0.9839202829906529,3.641048069738315,0.5968992248062015,0.12536243183051005,0.002295494730023196,4,-0.0008577353325882608,-0.005706557057661099,0.0,-0.0066069781374530345,0.4852430555555556,False
CJM,th0.50_shift0.20_bond1.00_hw1.00-0.00-0.00,0.5,0.2,1.0,"(1.0, 0.0, 0.0)",129.0,0.12830160140273428,0.1384714134279838,0.9437421718192199,1.775324234322636,-0.1298226382385037,0.9882837318944708,3.660757398630785,0.5968992248062015,0.1290390087592165,0.003830645968182632,6,-0.00029126088407571693,-0.001370412231664342,0.0,-0.002243529233635133,0.6328125,False
CJM,th0.50_shift0.20_bond1.00_hw0.50-0.30-0.20,0.5,0.2,1.0,"(0.5, 0.3, 0.2)",129.0,0.12846008699096068,0.13851353126263494,0.9445206725099203,1.7770999032906578,-0.1298226382385037,0.9895045173474304,3.666288879218982,0.5968992248062015,0.12628696268551426,0.0026785173802386176,4,-0.0001327752958493189,-0.0005919115409639408,0.0,-0.0010227437806755724,0.7855902777777779,False
CJM,th0.50_shift0.20_bond1.00_hw0.33-0.33-0.33,0.5,0.2,1.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12846425061737476,0.13852022791998686,0.9445086377555881,1.7770031227224778,-0.1298226382385037,0.9895365889989589,3.6664343006819973,0.5968992248062015,0.12536243183051005,0.002295494730023196,4,-0.00012861166943523017,-0.0006039462952961427,0.0,-0.0009906721291470522,0.7890625,False
CJM,th0.50_shift0.30_bond0.00_hw1.00-0.00-0.00,0.5,0.3,0.0,"(1.0, 0.0, 0.0)",129.0,0.12473434448415133,0.13897560148948251,0.9177927164617286,1.7216497169225733,-0.1298226382385037,0.9608058053403258,3.53823794474274,0.5968992248062015,0.1338407631040211,0.005745968952273947,6,-0.0038585178026586675,-0.027319867589155722,0.0,-0.029721455787780182,0.1519097222222222,False
CJM,th0.50_shift0.30_bond0.00_hw0.50-0.30-0.20,0.5,0.3,0.0,"(0.5, 0.3, 0.2)",129.0,0.12574583512497095,0.13879443477716788,0.9253537436025027,1.7380807560421618,-0.1298226382385037,0.9685971324504817,3.5725947084770073,0.5968992248062015,0.12971269399346771,0.004017776070357926,4,-0.002847027161839044,-0.01975884044838161,0.0,-0.021930128677624228,0.19184027777777776,False
CJM,th0.50_shift0.30_bond0.00_hw0.33-0.33-0.33,0.5,0.3,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12620820192141347,0.13873813654862413,0.9286639491995228,1.745015134026779,-0.1298226382385037,0.972158659181999,3.5884002087748437,0.5968992248062015,0.1283258977109614,0.0034432420950347943,4,-0.0023846603653965293,-0.0164486348513615,0.0,-0.01836860194610701,0.23350694444444445,False
CJM,th0.50_shift0.30_bond0.50_hw1.00-0.00-0.00,0.5,0.3,0.5,"(1.0, 0.0, 0.0)",129.0,0.126450298995882,0.13866192679910938,0.9306652337926261,1.749480277666675,-0.1298226382385037,0.974023488596602,3.5967013033903767,0.5968992248062015,0.1338407631040211,0.005745968952273947,6,-0.00214256329092799,-0.014447350258258163,0.0,-0.016503772531503924,0.2578125,False
CJM,th0.50_shift0.30_bond0.50_hw0.50-0.30-0.20,0.5,0.3,0.5,"(0.5, 0.3, 0.2)",129.0,0.12707198931064356,0.13862402135267143,0.9349036097787826,1.7581727486470462,-0.1298226382385037,0.9788122552030811,3.6180978503647783,0.5968992248062015,0.12971269399346771,0.004017776070357926,4,-0.001520872976166432,-0.010208974272101656,0.0,-0.011715005925024835,0.3446180555555556,False
CJM,th0.50_shift0.30_bond0.50_hw0.33-0.33-0.33,0.5,0.3,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12730549221808674,0.1386073494814109,0.9365100046708417,1.7613004006211843,-0.1298226382385037,0.9806108853234626,3.6261640335927976,0.5968992248062015,0.1283258977109614,0.0034432420950347943,4,-0.0012873700687232592,-0.008602579380042608,0.0,-0.00991637580464333,0.38454861111111105,False
CJM,th0.50_shift0.30_bond1.00_hw1.00-0.00-0.00,0.5,0.3,1.0,"(1.0, 0.0, 0.0)",129.0,0.12815543624751258,0.13843106870081637,0.9430316146331504,1.7740567199976,-0.1298226382385037,0.9871578484799529,3.6556626377194887,0.5968992248062015,0.1338407631040211,0.005745968952273947,6,-0.0004374260392974172,-0.0020809694177338356,0.0,-0.0033694126481530473,0.6032986111111112,False
CJM,th0.50_shift0.30_bond1.00_hw0.50-0.30-0.20,0.5,0.3,1.0,"(0.5, 0.3, 0.2)",129.0,0.12839337818356356,0.13849272962902465,0.9442101868261253,1.7767485255609183,-0.1298226382385037,0.9889906716245098,3.66395967823095,0.5968992248062015,0.12971269399346771,0.004017776070357926,4,-0.00019948410324643895,-0.0009023972247589329,0.0,-0.0015365895035961419,0.7196180555555556,False
CJM,th0.50_shift0.30_bond1.00_hw0.33-0.33-0.33,0.5,0.3,1.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12839968945428493,0.13850235173139314,0.9441950378018673,1.7766125414047012,-0.1298226382385037,0.989039286186708,3.664179984711375,0.5968992248062015,0.1283258977109614,0.0034432420950347943,4,-0.00019317283252506812,-0.000917546249016965,0.0,-0.0014879749413979626,0.7265625,False
CJM,th0.50_shift0.40_bond0.00_hw1.00-0.00-0.00,0.5,0.4,0.0,"(1.0, 0.0, 0.0)",129.0,0.1234385950836232,0.13919121071198898,0.9082206375106813,1.7003934890603174,-0.1298226382385037,0.9508248850778086,3.494663806586369,0.5968992248062015,0.1386425174488257,0.007661291936365264,6,-0.005154267203186791,-0.036891946540203,0.0,-0.03970237605029736,0.13107638888888887,False
