feature,mean_gain_share,Model
vk_fast_slow,0.010823360562770197,RobustMultiscale_GLD
macro_growth_Export_level,0.010108656533429175,RobustMultiscale_GLD
sjm_p_risk_off_d3,0.009979628919569905,RobustMultiscale_GLD
macro_growth_GDP_level,0.009977792620765404,RobustMultiscale_GLD
macro_growth_Export_level_d3,0.009612753587319944,RobustMultiscale_GLD
vk_month_mean_gap,0.008645301379960568,RobustMultiscale_GLD
vk_acceleration_5,0.00848411111853231,RobustMultiscale_GLD
vk_direct_close,0.0058677631544403015,RobustMultiscale_GLD
stress_STLFSI_last_z60,0.005386506516825191,RobustMultiscale_GLD
market_BOND_ret3,0.005084741255168001,RobustMultiscale_GLD
vk_robust_z_63,0.004466501851596255,RobustMultiscale_GLD
sjm_p_growth_high,0.004355593767512093,RobustMultiscale_GLD
vk_logret_5,0.004349534513731337,RobustMultiscale_GLD
sjm_p_inflation_high,0.003871431783645235,RobustMultiscale_GLD
macro_growth_BSI_level,0.0028469843020686157,RobustMultiscale_GLD
sjm_p_risk_off,0.0014469283701085056,RobustMultiscale_GLD
macro_growth_BSI_level,0.11295161479207554,PanicInteraction_BOND
market_KODEX200_ret3,0.04811130314655545,PanicInteraction_BOND
vk_acceleration_21,0.04748039231146812,PanicInteraction_BOND
vk_distance_high63,0.046369538743410973,PanicInteraction_BOND
market_KODEX200_vol3,0.04468572601391642,PanicInteraction_BOND
macro_growth_Export_level_d3,0.033651169563983986,PanicInteraction_BOND
market_BOND_ret3,0.03277795866381654,PanicInteraction_BOND
macro_growth_GDP_level_d3,0.03264131948530151,PanicInteraction_BOND
vk_direct_close,0.032029554754122086,PanicInteraction_BOND
stress_VIX_last_z60,0.031167593545896197,PanicInteraction_BOND
vk_close_location21,0.027930355775452793,PanicInteraction_BOND
vk_distance_high21,0.0276064701136431,PanicInteraction_BOND
vk_upside_semivol_21,0.027399233458309778,PanicInteraction_BOND
stress_NFCI_last_z60,0.02331461759856134,PanicInteraction_BOND
vk_pctile_126,0.02192264094607687,PanicInteraction_BOND
sjm_p_growth_high,0.021465185480842454,PanicInteraction_BOND
vk_month_mean_gap,0.02064241650048505,PanicInteraction_BOND
vk_acceleration_5,0.020170131689230052,PanicInteraction_BOND
sjm_p_risk_off_d3,0.018792953701077943,PanicInteraction_BOND
vk_robust_z_756,0.01794491652131361,PanicInteraction_BOND
sjm_p_inflation_high,0.017853572070523314,PanicInteraction_BOND
market_KODEX200_vol6,0.01641260088977135,PanicInteraction_BOND
vk_intraday_range_21,0.01601887761089373,PanicInteraction_BOND
market_KODEX200_ret6,0.015788039010336912,PanicInteraction_BOND
vk_month_range,0.015450838235759299,PanicInteraction_BOND
vk_upside_semivol_5,0.014804302813440157,PanicInteraction_BOND
stress_BAA_SPREAD_last_z60,0.01397346093392086,PanicInteraction_BOND
vk_fear_falling,0.013722817012311617,PanicInteraction_BOND
vk_days_since_high63,0.0132572478371008,PanicInteraction_BOND
vk_positive_fraction_21,0.012363190685940596,PanicInteraction_BOND
vk_panic_exhaustion,0.011594256089371202,PanicInteraction_BOND
market_KODEX200_ret1,0.010703327757330603,PanicInteraction_BOND
vk_month_close_to_max,0.009506875948442342,PanicInteraction_BOND
vk_positive_fraction_5,0.008785301356785954,PanicInteraction_BOND
vk_level_slope,0.008284103929030685,PanicInteraction_BOND
vk_shock_10,0.00812825511212059,PanicInteraction_BOND
vk_pctile_756,0.00799932144131197,PanicInteraction_BOND
vk_logret_5,0.007708907502768871,PanicInteraction_BOND
vk_panic_confirmation,0.007393864201348894,PanicInteraction_BOND
vk_robust_z_252,0.0070695993031200735,PanicInteraction_BOND
sjm_p_risk_off_d1,0.006865999954938648,PanicInteraction_BOND
macro_growth_Export_level,0.006792353361310611,PanicInteraction_BOND
market_GLD_ret3,0.006458833818761085,PanicInteraction_BOND
vk_fast_slow,0.005768638812375042,PanicInteraction_BOND
vk_fear_rising,0.005508250821431429,PanicInteraction_BOND
sjm_p_risk_off,0.005225523261060047,PanicInteraction_BOND
vk_logret_63,0.004976171406540246,PanicInteraction_BOND
macro_growth_BSI_level_d3,0.004392432378923228,PanicInteraction_BOND
macro_growth_GDP_level,0.003930663787059833,PanicInteraction_BOND
vk_pctile_252,0.0037383801438464906,PanicInteraction_BOND
vk_logret_21,0.0035571327128425625,PanicInteraction_BOND
vk_shock_5,0.00278420360040955,PanicInteraction_BOND
vk_logret_10,0.0027065573521168882,PanicInteraction_BOND
stress_STLFSI_last_z60,0.0024959364209129024,PanicInteraction_BOND
vk_shock_21,0.002394736611955942,PanicInteraction_BOND
market_KODEX200_drawdown12,0.0023444078165729162,PanicInteraction_BOND
vk_pctile_63,0.0020687329007498577,PanicInteraction_BOND
vk_robust_z_63,0.0014822025035716464,PanicInteraction_BOND
vk_intraday_range_5,0.0006349897874514202,PanicInteraction_BOND
market_KODEX200_ret1,0.07757620671533798,PanicInteraction_GLD
vk_intraday_range_21,0.07141921747924766,PanicInteraction_GLD
vk_acceleration_21,0.06614023173051135,PanicInteraction_GLD
sjm_p_risk_off_d1,0.06591979704574832,PanicInteraction_GLD
vk_distance_high21,0.0648389539202673,PanicInteraction_GLD
vk_month_range,0.05934019265748487,PanicInteraction_GLD
vk_upside_semivol_5,0.058509900623083866,PanicInteraction_GLD
vk_close_location21,0.050552984191933346,PanicInteraction_GLD
vk_robust_z_252,0.036398650498770974,PanicInteraction_GLD
macro_growth_GDP_level_d3,0.03492799349488949,PanicInteraction_GLD
vk_logret_21,0.030669325288160864,PanicInteraction_GLD
market_GLD_ret3,0.023257415583065835,PanicInteraction_GLD
vk_fear_falling,0.0221412684529908,PanicInteraction_GLD
market_BOND_ret3,0.019140539327574698,PanicInteraction_GLD
stress_BAA_SPREAD_last_z60,0.018664468170442653,PanicInteraction_GLD
macro_growth_BSI_level_d3,0.018092830758062194,PanicInteraction_GLD
market_KODEX200_vol3,0.01707990097247828,PanicInteraction_GLD
macro_growth_BSI_level,0.014522526672900906,PanicInteraction_GLD
vk_pctile_63,0.013967930001575818,PanicInteraction_GLD
vk_upside_semivol_21,0.013917911255986409,PanicInteraction_GLD
market_KODEX200_ret3,0.013891256698994842,PanicInteraction_GLD
market_KODEX200_vol6,0.013438842784530305,PanicInteraction_GLD
vk_pctile_126,0.011482132203018181,PanicInteraction_GLD
vk_month_close_to_max,0.011480459849482151,PanicInteraction_GLD
vk_positive_fraction_5,0.010814030077823928,PanicInteraction_GLD
vk_pctile_252,0.010750379037858995,PanicInteraction_GLD
market_KODEX200_ret6,0.010555303324653336,PanicInteraction_GLD
vk_logret_10,0.00997481739424929,PanicInteraction_GLD
vk_level_slope,0.008520879209380028,PanicInteraction_GLD
vk_logret_63,0.00770186891453814,PanicInteraction_GLD
vk_shock_21,0.006929256217008845,PanicInteraction_GLD
vk_distance_high63,0.00673523571449084,PanicInteraction_GLD
sjm_p_inflation_high,0.006347941045181435,PanicInteraction_GLD
stress_NFCI_last_z60,0.006325498783463363,PanicInteraction_GLD
vk_shock_5,0.006217112132181366,PanicInteraction_GLD
sjm_p_growth_high,0.006178648772742498,PanicInteraction_GLD
sjm_p_risk_off_d3,0.006084109278426808,PanicInteraction_GLD
vk_days_since_high63,0.006049312137335413,PanicInteraction_GLD
stress_VIX_last_z60,0.005671253843752626,PanicInteraction_GLD
market_KODEX200_drawdown12,0.0055989246620891196,PanicInteraction_GLD
vk_fear_rising,0.005548125850549117,PanicInteraction_GLD
vk_acceleration_5,0.005327521006148669,PanicInteraction_GLD
vk_robust_z_756,0.005185936637115308,PanicInteraction_GLD
vk_positive_fraction_21,0.005140529658321978,PanicInteraction_GLD
vk_fast_slow,0.004321918136983785,PanicInteraction_GLD
vk_direct_close,0.004263852849684803,PanicInteraction_GLD
macro_growth_GDP_level,0.0033571339149103944,PanicInteraction_GLD
vk_pctile_756,0.002598478527848267,PanicInteraction_GLD
vk_robust_z_63,0.002403792282027361,PanicInteraction_GLD
vk_logret_5,0.002272478323701272,PanicInteraction_GLD
macro_growth_Export_level,0.0021536751016786736,PanicInteraction_GLD
sjm_p_risk_off,0.0019118065150174413,PanicInteraction_GLD
vk_panic_exhaustion,0.0016788469883396327,PanicInteraction_GLD
vk_shock_10,0.0016319336400766407,PanicInteraction_GLD
macro_growth_Export_level_d3,0.0014128944996964186,PanicInteraction_GLD
vk_intraday_range_5,0.001334382718178657,PanicInteraction_GLD
vk_month_mean_gap,0.0006861918472436285,PanicInteraction_GLD
vk_panic_confirmation,0.0004956980731610412,PanicInteraction_GLD
stress_STLFSI_last_z60,0.0004492965076018334,PanicInteraction_GLD
