signal_month,Model,p_h1,p_h3,p_h6,p_current
2025-05,SJM,0.7344321092715187,0.664245685947226,0.608251639728756,0.7856862328133871
2025-06,SJM,0.5886063341611816,0.5780695474287532,0.5696418551166305,0.5962890912747305
2025-07,SJM,0.5311001409112376,0.5444462752767849,0.5551478706324091,0.5213836572035956
2025-08,SJM,0.6683440565734226,0.6276357298464929,0.5949129539603693,0.697937317059566
2025-09,SJM,0.460592327564145,0.4967599127362427,0.5251835219964416,0.43394147878798206
2025-10,SJM,0.5401546141073762,0.5504886363259341,0.5583975235541847,0.5324177303680941
2025-11,SJM,0.35813889573282487,0.4407172958436326,0.5025040578625362,0.2954702346958711
2025-12,SJM,0.32614419397194166,0.421148198657072,0.4925268442097178,0.25422447637688805
2026-01,SJM,0.22162526987186754,0.36017597325346135,0.46469510232550787,0.11699461555459478
2026-02,SJM,0.23370225328305982,0.36545714419157516,0.46524525655577686,0.1344403809904695
2026-03,SJM,0.172259705812068,0.32866333051698204,0.447581802719956,0.05470263308348078
2026-04,SJM,0.18339726035798318,0.33341336268597005,0.4479112024034785,0.07089890748513117
2026-05,SJM,0.16453379442301236,0.32092310456328393,0.44073248978519514,0.047518885787374954
2026-06,SJM,0.14570463034515985,0.3084127033836561,0.43352086501479725,0.024229318092346852
2026-07,SJM,0.14570463034515985,0.3084127033836561,0.43352086501479725,0.024229318092346852
2009-03,CJM,0.17232183908045978,0.20213268526521522,0.20325949427430867,0.0
2009-04,CJM,0.16714054054054053,0.19681760614054056,0.19799429993195017,0.0
2009-05,CJM,0.16228013582342954,0.19179066387552582,0.19301313470175077,0.0
2009-06,CJM,0.15771153846153846,0.18702923377403846,0.18829361751143867,0.0
2009-07,CJM,0.1534090909090909,0.1825129802153769,0.18381565919548323,0.0
2009-08,CJM,0.1257671840354767,0.25964545400816674,0.38413486997758123,0.0
2009-09,CJM,0.1455142857142857,0.17414446491428573,0.17551384692716146,0.0
2009-10,CJM,0.14420930232558138,0.17258623072064308,0.17398448237485437,0.0
2009-11,CJM,0.14071498771498772,0.1688312444026469,0.17025566751258858,0.0
2009-12,CJM,0.13739766081871344,0.16524790633555264,0.16669600475409263,0.0
2010-01,CJM,0.1364180602006689,0.16399868596307218,0.1654681528966257,0.0
2010-02,CJM,0.13337021276595745,0.16067904956595744,0.16216775494914393,0.0
2010-03,CJM,0.13046544715447156,0.15750152209824775,0.1590075002791711,0.0
2010-04,CJM,0.1276938775510204,0.15445721088435374,0.15597864878558831,0.0
2010-05,CJM,0.12704651162790698,0.15353794652043215,0.15507317237842874,0.0
2010-06,CJM,0.3382941176470588,0.1820840378261222,0.17456665702474292,1.0
2010-07,CJM,0.14384265734265733,0.16536857698014795,0.16599563248876487,0.0
2010-08,CJM,0.1428490566037736,0.16429079981365008,0.1649342883662189,0.0
2010-09,CJM,0.1400547504025765,0.16140335903247705,0.16206231602585014,0.0
2010-10,CJM,0.13737524177949711,0.15862305055789883,0.15929655418456068,0.0
2010-11,CJM,0.1348035714285714,0.15594404675409226,0.15663121774291372,0.0
2010-12,CJM,0.13820289855072465,0.19383975141502974,0.20289112833586243,0.0
2011-01,CJM,0.13558840792369772,0.1905554166568301,0.19961270135535103,0.0
2011-02,CJM,0.13289830508474576,0.17726546064030133,0.1826822627427667,0.0
2011-03,CJM,0.10246969696969699,0.18761331201139497,0.24452446481854315,0.0
2011-04,CJM,0.1083529229817507,0.1435500607397657,0.148139565063469,0.0
2011-05,CJM,0.08121879382889201,0.15022963663451377,0.21132028106257644,0.0
2011-06,CJM,0.08145254981425194,0.14938446305474778,0.20968310620089198,0.0
2011-07,CJM,0.079375,0.144175,0.20039259999999992,0.0
2011-08,CJM,0.07966461538461539,0.14351994612381538,0.1990514974815345,0.0
2011-09,CJM,0.4863636363636364,0.19971659927683175,0.136191368722652,1.0
2011-10,CJM,0.5488208955223881,0.26353992660541015,0.18271061235047242,1.0
2011-11,CJM,0.0876711668273867,0.12103500229158853,0.12842892256920616,0.0
2011-12,CJM,0.08790930341280973,0.1209031793082144,0.12824347332497765,0.0
2012-01,CJM,0.08671428571428572,0.11934805238095239,0.1266354558590771,0.0
2012-02,CJM,0.0855550176056338,0.11783814886478908,0.125073400823713,0.0
2012-03,CJM,0.09411111111111112,0.17061559250715538,0.2279551436275436,0.0
