name,max_exposure,target_vol,sleeve_stop,safe_exposure,cooldown_days,global_stop,global_cooldown_days,vix_threshold,vix_multiplier,rebalance_band,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,StoppedDays,MDD9Pass,CAGRRetention
mx1.50_tv0.30_ss0.04_se0.25_cd20_gs0.10,1.5,0.3,0.04,0.25,20,0.1,10,35.0,0.5,0.1,0.04,129.0,0.003849913247890857,0.12823038690415747,0.09159380343984434,0.15853087068388796,-0.41844109489560966,0.0092006098226354,1.0421721115816842,0.4573643410852713,2.047585699417437,0.47068533539642377,460,False,0.02525866861272452
mx1.50_tv0.30_ss0.06_se0.00_cd5_gs0.08,1.5,0.3,0.06,0.0,5,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.07675675235654145,0.0994815955502585,-0.7515428793191021,-1.0005584754773313,-0.6971694509273181,-0.11009769899476499,0.42378785379119877,0.35658914728682173,3.313876535022079,0.15699224596037153,107,False,-0.5035888464824455
mx1.50_tv0.30_ss0.06_se0.00_cd5_gs0.09,1.5,0.3,0.06,0.0,5,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.07675675235654145,0.0994815955502585,-0.7515428793191021,-1.0005584754773313,-0.6971694509273181,-0.11009769899476499,0.42378785379119877,0.35658914728682173,3.313876535022079,0.15699224596037153,107,False,-0.5035888464824455
mx1.50_tv0.30_ss0.06_se0.00_cd5_gs0.10,1.5,0.3,0.06,0.0,5,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.05517324438385318,0.1031360677082415,-0.4991083758236214,-0.7263600143029548,-0.6224265716982982,-0.08864217386046412,0.5432953259060996,0.3798449612403101,3.302352793873969,0.15873314322643087,107,False,-0.36198288284653823
mx1.50_tv0.30_ss0.06_se0.00_cd10_gs0.08,1.5,0.3,0.06,0.0,10,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.0726823134909046,0.09838977270998771,-0.7165308542824468,-0.9658571536192074,-0.6824895550137058,-0.10649586203476034,0.44433122896308347,0.35658914728682173,3.2018652197312343,0.15439134207253685,192,False,-0.47685710099537315
mx1.50_tv0.30_ss0.06_se0.00_cd10_gs0.09,1.5,0.3,0.06,0.0,10,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.0726823134909046,0.09838977270998771,-0.7165308542824468,-0.9658571536192074,-0.6824895550137058,-0.10649586203476034,0.44433122896308347,0.35658914728682173,3.2018652197312343,0.15439134207253685,192,False,-0.47685710099537315
mx1.50_tv0.30_ss0.06_se0.00_cd10_gs0.10,1.5,0.3,0.06,0.0,10,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.04780540992094329,0.10031192462351879,-0.4390417551115298,-0.6645454143305105,-0.5895437871726675,-0.08108881979777675,0.5906107930349924,0.3798449612403101,3.206229418025907,0.15608969122683047,192,False,-0.31364369255595015
mx1.50_tv0.30_ss0.06_se0.00_cd20_gs0.08,1.5,0.3,0.06,0.0,20,0.08,10,35.0,0.5,0.1,0.04,129.0,-0.07040887253478179,0.09698154125339763,-0.7032355997862568,-0.9492437631926621,-0.6740208256748171,-0.1044609748731276,0.4561825584998695,0.37209302325581395,3.102389546150472,0.1520748768935196,278,False,-0.4619414164009837
mx1.50_tv0.30_ss0.06_se0.00_cd20_gs0.09,1.5,0.3,0.06,0.0,20,0.09,10,35.0,0.5,0.1,0.04,129.0,-0.07040887253478179,0.09698154125339763,-0.7032355997862568,-0.9492437631926621,-0.6740208256748171,-0.1044609748731276,0.4561825584998695,0.37209302325581395,3.102389546150472,0.1520748768935196,278,False,-0.4619414164009837
mx1.50_tv0.30_ss0.06_se0.00_cd20_gs0.10,1.5,0.3,0.06,0.0,20,0.1,10,35.0,0.5,0.1,0.04,129.0,-0.03847723187107921,0.09728866586720399,-0.3560294718888671,-0.5658645127678548,-0.5441931385685262,-0.07070510292042952,0.6558664322473794,0.3953488372093023,3.1002411466765287,0.153705265044907,278,False,-0.2524429997218743
