candidate,transform_family,C,feature_count,fit_count,convergence_warning_count,full_CAGR,full_CAGR_delta,full_Sharpe,full_Sharpe_delta,full_MDD,full_MDD_delta,full_score,full_all_three_improve,added_feature_count,pre2018_CAGR,pre2018_CAGR_delta,pre2018_Sharpe,pre2018_Sharpe_delta,pre2018_MDD,pre2018_MDD_delta,post2018_CAGR,post2018_CAGR_delta,post2018_Sharpe,post2018_Sharpe_delta,post2018_MDD,post2018_MDD_delta,rank_full_score
z63_6,processed,0.03,22,194,0,0.1517476405412519,-0.004617899197383757,1.1071734611445903,-0.025355221132695505,-0.12958799769553853,0.0,-0.9688943423922858,False,6.0,0.11428904959276842,-0.0016429877756114486,0.8457169479406371,-0.011740517133575268,-0.12958799769553853,0.0,0.2004429352643251,-0.008635298065563513,1.4572425086642204,-0.039676137793483335,-0.0960101422543369,0.0015940710541766379,22.0
delta5_6,processed,0.3,22,194,0,0.15352361821755212,-0.0028419215210835347,1.1189140806264366,-0.013614601650849156,-0.13386416927759992,-0.004276171582061394,-0.984101343331476,False,6.0,0.11413797746001464,-0.0017940599083652309,0.846367876153523,-0.011089588920689342,-0.13386416927759992,-0.004276171582061394,0.2048209268410539,-0.004257306488834711,1.4830220035617812,-0.013896642895922628,-0.09283271206775223,0.004771501240761311,23.0
delta21_6,processed,0.03,22,194,0,0.15175477898800316,-0.004610760750632492,1.10617100267758,-0.026357679599705808,-0.12958799769553853,0.0,-0.9882296670573654,False,6.0,0.11354886219340399,-0.0023831751749758823,0.8412348266414278,-0.016222638432784597,-0.12958799769553853,0.0,0.20145916199221592,-0.0076190713376727,1.4598755536928463,-0.03704309276485751,-0.09668668203733244,0.0009175312711811046,25.0
delta5_6,processed,0.01,22,194,0,0.1518462620365666,-0.004519277702069058,1.1092593919659193,-0.023269290311366486,-0.1307816685959582,-0.0011936709004196633,-1.0366806664762018,False,6.0,0.11280874349628345,-0.003123293872096422,0.8390620416641653,-0.018395423410047074,-0.1307816685959582,-0.0011936709004196633,0.20267517579386962,-0.006403057536018997,1.469376376948861,-0.027542269508842754,-0.10086480203278592,-0.003260588724272373,26.0
z63_6,processed,0.01,22,194,0,0.15060088345543465,-0.005764656283200997,1.1031841777369014,-0.029344504540384397,-0.12958799769553853,0.0,-1.1633557191277877,False,6.0,0.11387325750489263,-0.0020587798634872367,0.8446305401522648,-0.012826924921947591,-0.12958799769553853,0.0,0.1983124097486315,-0.010765823581257106,1.4501594340711743,-0.04675921238652947,-0.09544951964736892,0.0021546936611446244,27.0
multiscale_ma_z24,processed,0.01,40,194,0,0.15091593299579298,-0.005449606742842672,1.1084241959823053,-0.02410448629498041,-0.1312366795246036,-0.0016486818290650795,-1.1919185830903833,False,24.0,0.11454143443475928,-0.0013906029336205883,0.8520623264761881,-0.005395138598024318,-0.1312366795246036,-0.0016486818290650795,0.19815135994544275,-0.010926873384445868,1.4514328217655679,-0.04548582469213591,-0.09120714064532087,0.006397072663192671,28.0
short_ma_delta_z18,processed,0.03,34,194,0,0.15085106120196312,-0.005514478536672529,1.1058951746377321,-0.026633507639553633,-0.13078166859595752,-0.0011936709004189971,-1.2034850965002253,False,18.0,0.11360630413804818,-0.0023257332303316947,0.8445601806938542,-0.012897284380358198,-0.13078166859595752,-0.0011936709004189971,0.1992593217548302,-0.009818911575058431,1.4557697147066135,-0.041148931751090245,-0.0993751390622375,-0.0017709257537239509,29.0
ma5_6,processed,0.1,22,194,0,0.15565100629180928,-0.0007145334468263709,1.1277311199698516,-0.004797562307434111,-0.1400036022126223,-0.010415604517083787,-1.208965042539698,False,6.0,0.1145087253758732,-0.0014233119925066706,0.8470886261126653,-0.010368838961547056,-0.1400036022126223,-0.010415604517083787,0.20932755809573567,0.00024932476584704766,1.5011793127206916,0.004260666262987822,-0.09504652966019733,0.0025576836483162113,30.0
delta5_6,processed,0.1,22,194,0,0.15385335885947704,-0.0025121808791586098,1.122393189877949,-0.010135492399336865,-0.13721937943174167,-0.007631381736203147,-1.217066109522913,False,6.0,0.11426508789699219,-0.0016669494713876798,0.8480642548717687,-0.009393210202443658,-0.13721937943174167,-0.007631381736203147,0.20542456840786083,-0.0036536649220277884,1.4891728908843538,-0.007745755573349999,-0.09322230102438844,0.0043819122841251,31.0
delta5_6,processed,0.03,22,194,0,0.15382751467004008,-0.002538025068595573,1.1211021338743206,-0.011426548402965198,-0.13721937943174167,-0.007631381736203147,-1.245471648539176,False,6.0,0.11392585917620623,-0.0020061781921736355,0.8452536418282472,-0.01220382324596514,-0.13721937943174167,-0.007631381736203147,0.20582350733410304,-0.003254725995785579,1.4897911221845688,-0.007127524273135011,-0.09668668203733233,0.0009175312711812156,33.0
short_ma_delta_z18,processed,0.01,34,194,0,0.15075843670308697,-0.005607103035548677,1.104063275832651,-0.0284654064446348,-0.13078166859595786,-0.0011936709004193302,-1.2493855224894967,False,18.0,0.11411948694001817,-0.0018125504283617033,0.8492096686453352,-0.008247796428877185,-0.13078166859595786,-0.0011936709004193302,0.19835025241211257,-0.010727980917776048,1.4422220482357757,-0.05469659822192807,-0.0993751390622376,-0.001770925753724062,34.0
short_ma_delta_z18,processed,0.3,34,194,0,0.15243716267015062,-0.003928377068485034,1.1109604654888352,-0.021568216788450556,-0.13463420945760707,-0.005046211762068542,-1.3288232188243687,False,18.0,0.11385744023382682,-0.0020745971345530467,0.8417622457925177,-0.015695219281694706,-0.13463420945760707,-0.005046211762068542,0.202645698731714,-0.006432534598174611,1.4728798525787978,-0.02403879387890595,-0.09572066374185151,0.001883549566662035,35.0
medium_ma_delta_z18,processed,0.3,34,194,0,0.15113764578437183,-0.005227893954263818,1.1076318395341656,-0.024896842743120207,-0.13439179060657502,-0.004803792911036497,-1.5011055413924357,False,18.0,0.11381234489615388,-0.002119692472225987,0.8411284021734075,-0.016329062900804936,-0.13439179060657502,-0.004803792911036497,0.1996540926778414,-0.00942414065204722,1.470831088426953,-0.02608755803075069,-0.08530128625053635,0.012302927057977198,36.0
multiscale_ma_z24,processed,0.3,40,194,0,0.150991969333516,-0.005373570405119654,1.1031188324832502,-0.029409849794035603,-0.1343917906065749,-0.004803792911036386,-1.6059333274963161,False,24.0,0.11469156012025361,-0.0012404772481262594,0.8469032222426633,-0.010554242831549043,-0.1343917906065749,-0.004803792911036386,0.1981275369014015,-0.010950696428487117,1.4481580085942545,-0.04876063786344931,-0.08993408580927942,0.007670127499234125,37.0
medium_ma_delta_z18,processed,0.1,34,194,0,0.15078576486885176,-0.005579774869783893,1.1036903093525376,-0.028838372924748112,-0.13998919430256984,-0.010401196607031316,-2.174864606176483,False,18.0,0.1125839247944842,-0.0033481125738956674,0.8343130282661422,-0.023144436808070212,-0.13998919430256984,-0.010401196607031316,0.20048625823789346,-0.008591975091995163,1.4679699574285536,-0.028948689029150154,-0.08530128625053635,0.012302927057977198,38.0
