month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,financing_return,regime,hard_fraction,leverage,debt_weight,w_KODEX200,w_BOND,w_GLD,w_USO,hard_w_KODEX200,hard_w_BOND,hard_w_GLD,hard_w_USO,defensive_w_KODEX200,defensive_w_BOND,defensive_w_GLD,defensive_w_USO
2016-06,0.021574858299333362,0.02160693705433646,2.5951779817498557,0.0,0.010228811457573253,3.0686434372719756e-05,1.392320630377461e-06,-0.00032737397821989175,Slowdown,0.25,1.1,-0.10000000000000009,0.34993691001528876,0.603974701542228,0.1460883884424834,0.0,0.6,0.4,0.0,0.0,0.2241659515336833,0.5987572139905794,0.17707683447573744,0.0
2016-07,0.009276600447881726,0.00940466225376746,2.619252410977689,0.0,0.042655690986913186,0.00012796707296073957,9.473292499409536e-08,-0.00032737397821989175,Slowdown,0.25,1.1,-0.10000000000000009,0.3888460271662423,0.5587663513896837,0.15238762144407417,8.46948243959575e-19,0.6,0.4,0.0,0.0,0.27132851777726336,0.543959213805677,0.18471226841705957,1.026603932072212e-18
2016-08,-0.0029140718030803143,-0.002902339123862151,2.6116197213817087,-0.0029140718030803425,0.0036246064297476162,1.0873819289242849e-05,8.588599289204163e-07,-0.00032737397821989175,Slowdown,0.25,1.1,-0.10000000000000009,0.39436442493933516,0.5573283248740847,0.14830725018658034,3.2321749360966987e-18,0.6,0.4,0.0,0.0,0.27801748477495164,0.5422161513625269,0.1797663638625216,3.917787801329331e-18
2016-09,0.00801944161338115,0.008392109588571844,2.632563453253684,0.0,0.12411242052215048,0.0003723372615664514,3.3071362424354213e-07,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5233173067810503,0.4325335574907624,0.14414913572818744,2.5655651124348154e-18,1.0,0.0,0.0,0.0,0.30099067488612147,0.5242830999888028,0.17472622512507566,3.1097758938603818e-18
2016-10,-0.009204889625170727,-0.009200466001385547,2.6083309972352255,-0.009204889625170742,0.0012750858050036013,3.825257415010804e-06,5.983663701697728e-07,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5252801930994789,0.4314129293589216,0.14330687754159963,3.857488573979829e-18,1.0,0.0,0.0,0.0,0.30336993102967136,0.5229247628592989,0.17370530611102983,4.675743726036156e-18
2016-11,0.005497437645449725,0.006588729691142122,2.6226701342512198,-0.0037580552864687755,0.3118876561979614,0.0009356629685938842,0.00015562907709851237,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.24912727516020794,0.3925899389688729,0.18328278587091923,0.275,0.0,0.0,0.0,1.0,0.30197245473964596,0.4758665926895429,0.2221609525708112,1.7560339556605434e-19
2016-12,0.03450059546959681,0.03455891808767689,2.713153815603214,0.0,0.017729804218060474,5.318941265418142e-05,5.1332054258993736e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.25622256968943036,0.38505384149365585,0.17706289341971176,0.2816606953972021,0.0,0.0,0.0,1.0,0.3105728117447641,0.46673192908321914,0.21462168899359,0.00807357017842675
2017-01,-0.01619846668331114,-0.01615104804686846,2.6692048839144666,-0.016198466683311263,0.01526024103824225,4.5780723114726753e-05,1.6379133279506575e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.26078101651172836,0.3693452154558422,0.18467970874304715,0.2851940592893824,0.0,0.0,0.0,1.0,0.31609820183239795,0.44769117024950567,0.22385419241581472,0.012356435502281677
2017-02,0.00540058830128667,0.0054808097962636155,2.6836201605842724,-0.010885359631693237,0.023494293219670143,7.048287965901044e-05,9.738615317934934e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.26771506385380756,0.3612326173915159,0.18455033763293166,0.286501981121745,0.0,0.0,0.0,1.0,0.32450310770158486,0.43785771805032225,0.22369737894900804,0.013941795299084854
2017-03,-0.019702801509373362,-0.01966753831091566,2.630745325233728,-0.030373689060885112,0.011198163760899132,3.3594491282697396e-05,1.6687071750047522e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.2762512320714816,0.34952775106790657,0.18629996770580293,0.287921049154809,0.0,0.0,0.0,1.0,0.3348499782684625,0.42367000129443216,0.22581814267370048,0.015661877763404806
2017-04,0.006680090653002203,0.006759311849567075,2.648318942491251,-0.023896497404275685,0.023467842276348336,7.040352682904501e-05,8.817669735826705e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.2853804291663113,0.3436093884535123,0.1828810955879574,0.28812908679221916,0.0,0.0,0.0,1.0,0.3459156717167409,0.4164962284284997,0.22167405525813016,0.015914044596629276
2017-05,0.005139448733563378,0.005168089759659278,2.6619298419263098,-0.018879863494033255,0.008158420526118287,2.447526157835486e-05,4.165764517545356e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.28796123423902925,0.3366990137838361,0.18780563028222433,0.2875341216949104,0.0,0.0,0.0,1.0,0.3490439202897324,0.40812001670768006,0.22764318822087798,0.015192874781709562
2017-06,2.5798287132384895e-06,3.672219607257017e-05,2.661936709249349,-0.018877332372133848,0.010062248074349606,3.0186744223048817e-05,3.955623136282866e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.30046795891209205,0.33068609188411807,0.1817991413374025,0.28704680786638753,0.0,0.0,0.0,1.0,0.36420358656011154,0.40083162652620363,0.22036259556048785,0.01460219135319696
2017-07,0.014297027994060017,0.014319087779137568,2.699994492899903,-0.004850194127451468,0.006713015926068641,2.0139047778205923e-05,1.92073729934536e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.30771891736833995,0.3279182648296569,0.17765453801605835,0.28670827978594476,0.0,0.0,0.0,1.0,0.37299262711313935,0.39747668464200836,0.21533883395885858,0.014191854285993658
2017-08,-0.010525443741259168,-0.010498259852260357,2.6715758527631754,-0.015324587423287905,0.008238693505452838,2.4716080516358512e-05,2.4678084824526493e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.3072720044932231,0.32662511357887297,0.17964290495304894,0.28645997697485515,0.0,0.0,0.0,1.0,0.3724509145372401,0.395909228580452,0.21774897570066537,0.013890881181642547
2017-09,0.030241439693142,0.030280275057585473,2.7523681528001678,0.0,0.01157259571354026,3.471778714062078e-05,4.1175773028517545e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.30126720029253995,0.32528744194572573,0.1881201046093151,0.2853252531524193,0.0,0.0,0.0,1.0,0.36517236399095754,0.39428780841906147,0.2280243692234122,0.012515458366568817
2017-10,0.02396811639361958,0.024015299083365086,2.818337233044574,0.0,0.01420826858283332,4.262480574849996e-05,4.557883997005186e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.310415672468894,0.32092405850981054,0.18266024925799484,0.2860000197633008,0.0,0.0,0.0,1.0,0.3762614211744169,0.3889988587997703,0.2214063627369634,0.013333357288849443
2017-11,-0.005532043140562704,-0.005493435754637405,2.8027460698867173,-0.005532043140562659,0.011734952690996392,3.520485807298918e-05,3.4025278523100724e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.32179506333366703,0.3153193202394948,0.17782390388304387,0.2850617125437945,0.0,0.0,0.0,1.0,0.39005462222262666,0.38220523665393313,0.215544125918841,0.01219601520459927
2017-12,0.008760441506988365,0.00879086203773184,2.8272993628909013,0.0,0.00882393015635119,2.647179046905357e-05,3.948740274422213e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.3179319029768555,0.32160905998129335,0.1752367223825367,0.28522231465931464,0.0,0.0,0.0,1.0,0.3853720036083096,0.3898291636136889,0.2124081483424687,0.012390684435532857
2018-01,0.03565011079884862,0.03566049569651628,2.9280928984394765,0.0,0.0030061782238937074,9.018534671681123e-06,1.3663629959809187e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.31988158091238167,0.3204233031856715,0.17525901452091883,0.28443610138102815,0.0,0.0,0.0,1.0,0.3877352495907656,0.3883918826492988,0.2124351691162652,0.011437698643670459
