name,model_name,rank_threshold,protection_fraction,vix_threshold,vix_fraction,vol_cap,dd_start,dd_fraction,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,CAGRRetention
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf0.75_vc0.30_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,0.75,0.3,-0.05,0.75,129.0,0.13307650766658052,0.14416726937529115,0.9408214365858312,1.8695428656426774,-0.13934363159933139,0.9550239658546338,3.8307761918158447,0.6124031007751938,0.1258901073592842,0.45089802726481354,False,0.8730938051994628
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf0.75_vc99.00_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,35.0,0.75,99.0,-0.03,0.5,129.0,0.12292707708682915,0.15461239037414176,0.8291158368464053,1.5034041231327415,-0.18240150790159138,0.6739367371521421,3.477596630481228,0.6124031007751938,0.1324096397973837,0.37302077887365653,False,0.8065050051109834
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf0.75_vc99.00_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,35.0,0.75,99.0,-0.03,0.75,129.0,0.11402411660692513,0.14606212018346595,0.8140765853408862,1.4676677565368603,-0.1805560771489696,0.6315163599442205,3.1923968290958493,0.6124031007751938,0.13972621246022626,0.48226028963373097,False,0.7480940971360374
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf0.75_vc99.00_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,35.0,0.75,99.0,-0.05,0.5,129.0,0.12915782894077799,0.15842833420881372,0.8479610619427947,1.561044301409162,-0.18240150790159138,0.7080962785157499,3.6907318083737755,0.627906976744186,0.132775185977169,0.3237370092515265,False,0.8473839772211296
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf0.75_vc99.00_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,0.75,99.0,-0.05,0.75,129.0,0.1256541578584116,0.15239490359324542,0.8550043167708012,1.5653630674422814,-0.1805560771489696,0.6959287100302882,3.5694683331719914,0.6124031007751938,0.12653673649942687,0.446103381931967,False,0.8243969483975682
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.22_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.22,-0.03,0.5,129.0,0.12929639233840895,0.13295383931404028,0.9835903184426312,1.979613115518937,-0.143662930962295,0.89999829094635,3.6956034423346793,0.627906976744186,0.14070461487738292,0.3758871238650799,False,0.8482930696388694
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.22_dd0.03_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.22,-0.03,0.75,129.0,0.12469141555361163,0.12531576221437593,1.0028840560370709,2.06690378175668,-0.13682354094538718,0.9113301314382877,3.5367864522130414,0.6046511627906976,0.1430752104870005,0.4782068868498178,False,0.8180805492294271
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.22_dd0.05_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.22,-0.05,0.5,129.0,0.13080007208143507,0.13507585439798167,0.9801226901143933,1.9762376068467828,-0.14190329348181485,0.9217550126713396,3.748846391592862,0.627906976744186,0.14739230197557987,0.3442658115519357,False,0.8581584733202565
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.22_dd0.05_df0.75,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.22,-0.05,0.75,129.0,0.12995663266329793,0.1294861734575049,1.0111002586847961,2.0553281342289966,-0.1333546422531131,0.9745190003707137,3.718896477700072,0.6046511627906976,0.14129900788610095,0.44131883388725907,False,0.8526248014201673
logit_s_l5_c01_rq0.80_pf0.75_vx35_vf1.00_vc0.26_dd0.03_df0.50,logit_s_l5_c01,0.8,0.75,35.0,1.0,0.26,-0.03,0.5,129.0,0.12932959776166775,0.1369024064213565,0.9592549897609611,1.8987099280052395,-0.15520724073922365,0.8332703883252777,3.6967717498240864,0.6201550387596899,0.13733426230390783,0.38649018264710705,False,0.8485109251406002
