name,model_name,probability_threshold,protection_fraction,vix_threshold,fsi_threshold,vol_cap,dd_start,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgProtection,MDD9Pass,MDD10Pass,ReturnRetention
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs2_vc0.26_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,2.0,0.26,-0.05,129.0,0.1103364573591763,0.12456260566075109,0.9040425722607156,1.8205831916313115,-0.14096756031305202,0.7827081430234583,3.0806116176220586,0.627906976744186,0.1537717929831983,0.6244243000472905,False,False,0.7238999512168883
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs2_vc99.00_dd0.03,logit_s_l8_c01,0.45,1.0,35.0,2.0,99.0,-0.03,129.0,0.06655342449488955,0.11648585062581321,0.61247794218288,0.9863394439811035,-0.17871064639634793,0.3724088398588525,1.9990014340086781,0.6201550387596899,0.1620098421625271,0.6668790165077814,False,False,0.43664643489807137
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs2_vc99.00_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,2.0,99.0,-0.05,129.0,0.09830728365581742,0.13607526752134366,0.7583982247916486,1.349340896333837,-0.17871064639634793,0.5500919259045688,2.7401954133663735,0.627906976744186,0.16369079503482234,0.6182637277632176,False,False,0.6449784554079896
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.18_dd0.03,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.18,-0.03,129.0,0.10756884083527485,0.10978553646417288,0.9876698894480279,2.085766975366345,-0.10150161896591336,1.059774631490351,2.999061278575754,0.627906976744186,0.13635831901585266,0.6645559466669407,False,False,0.7057420593052653
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.18_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.18,-0.05,129.0,0.10877580047929358,0.11243545743333248,0.9768111025940074,2.0030356342308897,-0.12321710111988726,0.8827979192065016,3.0343815639617664,0.627906976744186,0.13085617265206737,0.6322402858831253,False,False,0.7136607296009929
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.22_dd0.03,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.22,-0.03,129.0,0.11484531471132309,0.11833690579469056,0.9797490469555447,2.1428166899877983,-0.10150161896591403,1.131462885827369,3.2177854964584482,0.627906976744186,0.13941851782249268,0.6547866176850146,False,False,0.75348184731346
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.22_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.22,-0.05,129.0,0.11998515636689877,0.1250085326023353,0.9712392748190307,1.9589228652001183,-0.12982466057084052,0.9242092822682737,3.3808964415868816,0.627906976744186,0.1703522694681561,0.38608640069676387,False,False,0.7872035310867729
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.26_dd0.03,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.26,-0.03,129.0,0.11298523851972253,0.1199685171036739,0.9539854351320282,2.028203277088757,-0.10482442899652655,1.0778521724498626,3.160538584675639,0.627906976744186,0.1451365201074828,0.6344102290674095,False,False,0.7412781832065359
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc0.26_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,99.0,0.26,-0.05,129.0,0.11927565503925952,0.12800350774558733,0.9461182844747376,1.9625436331968318,-0.14096756031305235,0.8461212975125572,3.3579433882360483,0.627906976744186,0.1427438172628487,0.6179954717110984,False,False,0.7825486056998319
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc99.00_dd0.03,logit_s_l8_c01,0.45,1.0,35.0,99.0,99.0,-0.03,129.0,0.08289279456037746,0.12467485740451284,0.7021869433592067,1.212016709933092,-0.17871064639634782,0.4638380322151388,2.353931051036066,0.627906976744186,0.15561055466675464,0.655888490778977,False,False,0.5438464436387697
logit_s_l8_c01_pt0.45_pf1.00_vx35_fs99_vc99.00_dd0.05,logit_s_l8_c01,0.45,1.0,35.0,99.0,99.0,-0.05,129.0,0.11006391131946147,0.14071376704634653,0.813904879763644,1.50228786064024,-0.17871064639634793,0.6158777528864151,3.0724924583607875,0.627906976744186,0.1467078472357412,0.6097936184095955,False,False,0.7221118199901292
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.18_dd0.03,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.18,-0.03,129.0,0.08128180418057118,0.09036814407836971,0.9115655743326555,1.8022543452251056,-0.10799381723912516,0.7526523856508661,2.316557681513312,0.6356589147286822,0.14223104391189006,0.74475253783431,False,False,0.5332769919338237
logit_s_l8_c01_pt0.55_pf0.75_vx25_fs1_vc0.18_dd0.05,logit_s_l8_c01,0.55,0.75,25.0,1.0,0.18,-0.05,129.0,0.08446969602669752,0.0975688467051684,0.8816798217098535,1.617660448844735,-0.11355170458313246,0.7438875209914292,2.391042377197104,0.6356589147286822,0.18170882356689602,0.4667479649544997,False,False,0.5541922434030938
