Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
subperiod_2007_2012,VolTarget15,69.0,0.22019739525136184,0.17052393488723103,1.2598556884142569,2.3853274766277934,-0.12982263824630125,1.6961401973175156,3.1403137301815978,0.6521739130434783
subperiod_2013_2017,FinalBlend,60.0,0.02588580013642594,0.06902673100094738,0.4045522193980665,0.6343427207423377,-0.08342541861375741,0.31028672755328796,1.1363054579763872,0.5166666666666667
subperiod_2013_2017,GeneralHMM,60.0,0.02603292827155479,0.06687251761832906,0.4177038583685839,0.632461520037669,-0.0906019119202578,0.28733310059138006,1.1371205119668866,0.5333333333333333
subperiod_2013_2017,VolTarget15,60.0,0.021427013643801063,0.07949250162349634,0.3060587781431291,0.467619549360751,-0.10675687591471861,0.2007085113741785,1.111825670857926,0.5166666666666667
subperiod_2018_2021,FinalBlend,48.0,0.11664518904010657,0.12576058154465408,0.9438335239359456,1.4299366390803492,-0.09894728066339109,1.1788619986123925,1.5547508273635622,0.625
subperiod_2018_2021,GeneralHMM,48.0,0.11446534791679763,0.12186628479878005,0.9534301927738533,1.5128462048133302,-0.10286395031138285,1.112783901165528,1.5426460021707284,0.625
subperiod_2018_2021,VolTarget15,48.0,0.10491008141225455,0.1386706811407194,0.7918729942428154,1.1542613132969417,-0.12737638484541602,0.8236226953651843,1.490416825487571,0.625
subperiod_2022_2026,FinalBlend,55.0,0.21996251088898,0.16032962473934478,1.3279437728604377,2.616276096492908,-0.14900559871229768,1.4762029936451382,2.4874520832381,0.6363636363636364
subperiod_2022_2026,GeneralHMM,55.0,0.2314164969789272,0.1659315132991203,1.344736391433307,2.83141310389016,-0.12470659804889073,1.8556876749071551,2.596307337496688,0.6909090909090909
subperiod_2022_2026,VolTarget15,55.0,0.2432207883632913,0.15478290138811732,1.492484448860405,3.6989271545812916,-0.09413243922874981,2.583814786444067,2.7123529846159053,0.6363636363636364
