Stage,Name,tail_threshold,breadth_threshold,early_scale,confirmed_scale,recovery_relief,right_tail_relief,panic_relief,max_risk_transfer,rebalance_band,oil_cut_deflation,oil_cut_inflation,bond_share_deflation,bond_share_inflation,financing_rate,Cal_CAGR,Cal_CAGRDelta,Cal_Sharpe,Cal_SharpeDelta,Cal_MDD,Cal_MDDDelta,Cal_Calmar,Cal_CalmarDelta,Validation_CAGR,Validation_CAGRDelta,Validation_Sharpe,Validation_SharpeDelta,Validation_MDD,Validation_MDDDelta,Validation_Calmar,Validation_CalmarDelta,MultiObjectiveScore,StrictAllThree,RetentionGate,Selected
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.25_od0.00_oi0.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.25,0.0,0.0,0.0,0.0,0.04,0.19647087118149065,0.0005318402414902224,1.1268512543465021,0.0024702341644287085,-0.12963689421598745,-4.889652044892667e-05,1.5155475018874751,0.0035322348536344084,0.027799164965265577,-0.0027192526213484225,0.3784534409164571,-0.03485087438480794,-0.10663163619635618,-1.8390715217364573e-07,0.2607027891241861,-0.025501861862302078,-1.186776661834597,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.15_od0.00_oi0.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.15,0.0,0.0,0.0,0.0,0.04,0.19521469974860528,-0.0007243311913951445,1.1276570736798228,0.0032760534977493982,-0.1296357184770599,-4.772078152137649e-05,1.505871237047605,-0.006144029986235644,0.027647931783234547,-0.0028704858033794522,0.37687029999835797,-0.036434015302907075,-0.10653511000077964,9.634228842436698e-05,0.25951943714172926,-0.026685213844758915,-1.2605393537762286,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.20_od0.00_oi0.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.2,0.0,0.0,0.0,0.0,0.04,0.1978675256791822,0.0019284947391817742,1.1330927720285648,0.008711751846491422,-0.1296357184770599,-4.772078152137649e-05,1.5263349330238523,0.014319665990011554,0.027647931783234547,-0.0028704858033794522,0.37687029999835797,-0.036434015302907075,-0.10653511000077964,9.634228842436698e-05,0.25951943714172926,-0.026685213844758915,-1.1670402137680955,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.45_rb0.25_od0.00_oi0.00_bd0.00_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.45,0.25,0.0,0.0,0.0,0.0,0.04,0.198522525886625,0.002583494946624576,1.134227331607637,0.00984631142556358,-0.1296357184770599,-4.772078152137649e-05,1.5313875544397526,0.019372287405911903,0.027647931783234547,-0.0028704858033794522,0.37687029999835797,-0.036434015302907075,-0.10653511000077964,9.634228842436698e-05,0.25951943714172926,-0.026685213844758915,-1.1449924106866647,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.15_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.15,1.0,0.25,0.5,0.0,0.04,0.19488326149422197,-0.0010557694457784539,1.1183947446685172,-0.0059862755135562384,-0.12962188398354157,-3.3886288003048826e-05,1.5034749959271292,-0.008540271106711517,0.02830339160326245,-0.0022150259833515484,0.3848736590291499,-0.028430656272115162,-0.10677345816256234,-0.0001420058733583307,0.2650789071584682,-0.02112574382801996,-1.0625681598039327,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.20_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.2,1.0,0.25,0.5,0.0,0.04,0.19435828114702725,-0.0015807497929731795,1.117121859388166,-0.0072591607939074265,-0.12962188398354169,-3.388628800315985e-05,1.4994249055329674,-0.012590361500873337,0.02830339160326245,-0.0022150259833515484,0.3848736590291499,-0.028430656272115162,-0.10677345816256234,-0.0001420058733583307,0.2650789071584682,-0.02112574382801996,-1.0820570948855597,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.25_rb0.25_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.25,0.25,1.0,0.25,0.5,0.0,0.04,0.1938818353537961,-0.002057195586204319,1.1160123566715836,-0.008368663510489815,-0.12962188398354169,-3.388628800315985e-05,1.4957492469281932,-0.016266020105647483,0.02830339160326245,-0.0022150259833515484,0.3848736590291499,-0.028430656272115162,-0.10677345816256234,-0.0001420058733583307,0.2650789071584682,-0.02112574382801996,-1.0995157532992499,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.15_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.15,1.0,0.25,0.5,0.0,0.04,0.19252061621639416,-0.0034184147236062667,1.1109831411292153,-0.013397879052858164,-0.12961269578369938,-2.4698088160857168e-05,1.485353074807401,-0.02666219222643962,0.02830032980307906,-0.002218087783534939,0.3853454280087272,-0.02795888729253787,-0.10669503767556032,-6.358538635631295e-05,0.26524504250268016,-0.020959608483808012,-1.1372485441083222,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.20_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.2,1.0,0.25,0.5,0.0,0.04,0.19592345444140946,-1.557649859096344e-05,1.123323515983377,-0.001057504198696435,-0.12961269578369938,-2.4698088160857168e-05,1.511606970727397,-0.00040829630644378945,0.02830032980307906,-0.002218087783534939,0.3853454280087272,-0.02795888729253787,-0.10669503767556032,-6.358538635631295e-05,0.26524504250268016,-0.020959608483808012,-0.990475714212131,False,False,False
allocation,tt0.50_bt0.25_ew0.00_cw0.00_rr0.75_ur0.50_pr0.25_rt0.35_rb0.25_od1.00_oi0.25_bd0.50_bi0.00,0.5,0.25,0.0,0.0,0.75,0.5,0.25,0.35,0.25,1.0,0.25,0.5,0.0,0.04,0.19503054566019795,-0.0009084852798024734,1.1215858462251223,-0.002795173956951169,-0.12961269578369938,-2.4698088160857168e-05,1.5047179173378924,-0.0072973496959483075,0.02830032980307906,-0.002218087783534939,0.3853454280087272,-0.02795888729253787,-0.10669503767556032,-6.358538635631295e-05,0.26524504250268016,-0.020959608483808012,-1.0214867825336924,False,False,False
