,risk_severity,p_up,score,factor_name
2010-11,0.0,0.5,-0.0,minimum_consensus
2010-12,0.0,0.5,-0.0,minimum_consensus
2011-01,0.0,0.5,-0.0,minimum_consensus
2011-02,0.0,0.5,-0.0,minimum_consensus
2011-03,0.0,0.5,-0.0,minimum_consensus
2011-04,0.0,0.5,-0.0,minimum_consensus
2011-05,1.0,0.35,-1.0,minimum_consensus
2011-06,0.0,0.5,-0.0,minimum_consensus
2011-07,0.0,0.5,-0.0,minimum_consensus
2011-08,1.0,0.35,-1.0,minimum_consensus
2011-09,1.0,0.35,-1.0,minimum_consensus
2011-10,0.16666666666666682,0.475,-0.16666666666666682,minimum_consensus
2011-11,0.0,0.5,-0.0,minimum_consensus
2011-12,0.0,0.5,-0.0,minimum_consensus
2012-01,0.0,0.5,-0.0,minimum_consensus
2012-02,0.0,0.5,-0.0,minimum_consensus
2012-03,0.0,0.5,-0.0,minimum_consensus
2012-04,0.0,0.5,-0.0,minimum_consensus
2012-05,0.0,0.5,-0.0,minimum_consensus
2012-06,0.0,0.5,-0.0,minimum_consensus
2012-07,0.0,0.5,-0.0,minimum_consensus
2012-08,0.0,0.5,-0.0,minimum_consensus
2012-09,0.0,0.5,-0.0,minimum_consensus
2012-10,0.0,0.5,-0.0,minimum_consensus
2012-11,0.0,0.5,-0.0,minimum_consensus
2012-12,0.0,0.5,-0.0,minimum_consensus
2013-01,0.0,0.5,-0.0,minimum_consensus
2013-02,0.0,0.5,-0.0,minimum_consensus
2013-03,0.0,0.5,-0.0,minimum_consensus
2013-04,0.0,0.5,-0.0,minimum_consensus
2013-05,0.0,0.5,-0.0,minimum_consensus
2013-06,0.0,0.5,-0.0,minimum_consensus
2013-07,0.0,0.5,-0.0,minimum_consensus
2013-08,0.0,0.5,-0.0,minimum_consensus
2013-09,0.0,0.5,-0.0,minimum_consensus
2013-10,0.0,0.5,-0.0,minimum_consensus
2013-11,0.0,0.5,-0.0,minimum_consensus
2013-12,0.0,0.5,-0.0,minimum_consensus
2014-01,0.0,0.5,-0.0,minimum_consensus
2014-02,0.0,0.5,-0.0,minimum_consensus
2014-03,0.0,0.5,-0.0,minimum_consensus
2014-04,0.0,0.5,-0.0,minimum_consensus
2014-05,0.0,0.5,-0.0,minimum_consensus
2014-06,0.0,0.5,-0.0,minimum_consensus
2014-07,0.0,0.5,-0.0,minimum_consensus
2014-08,0.0,0.5,-0.0,minimum_consensus
2014-09,0.0,0.5,-0.0,minimum_consensus
2014-10,0.0,0.5,-0.0,minimum_consensus
2014-11,0.0,0.5,-0.0,minimum_consensus
2014-12,0.0,0.5,-0.0,minimum_consensus
2015-01,0.0,0.5,-0.0,minimum_consensus
2015-02,0.05172413793103403,0.4922413793103449,-0.05172413793103403,minimum_consensus
2015-03,0.0,0.5,-0.0,minimum_consensus
2015-04,0.0,0.5,-0.0,minimum_consensus
2015-05,0.3442622950819674,0.4483606557377049,-0.3442622950819674,minimum_consensus
2015-06,0.0,0.5,-0.0,minimum_consensus
2015-07,0.0,0.5,-0.0,minimum_consensus
2015-08,0.0,0.5,-0.0,minimum_consensus
2015-09,0.0,0.5,-0.0,minimum_consensus
2015-10,0.0,0.5,-0.0,minimum_consensus
2015-11,0.0,0.5,-0.0,minimum_consensus
2015-12,0.0,0.5,-0.0,minimum_consensus
2016-01,0.0,0.5,-0.0,minimum_consensus
2016-02,0.0,0.5,-0.0,minimum_consensus
2016-03,0.0,0.5,-0.0,minimum_consensus
2016-04,0.9180327868852456,0.36229508196721316,-0.9180327868852456,minimum_consensus
2016-05,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2016-06,0.0,0.5,-0.0,minimum_consensus
2016-07,0.0,0.5,-0.0,minimum_consensus
2016-08,0.0,0.5,-0.0,minimum_consensus
2016-09,0.0,0.5,-0.0,minimum_consensus
2016-10,0.26229508196721285,0.4606557377049181,-0.26229508196721285,minimum_consensus
2016-11,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2016-12,0.9180327868852456,0.36229508196721316,-0.9180327868852456,minimum_consensus
2017-01,0.7540983606557372,0.3868852459016394,-0.7540983606557372,minimum_consensus
2017-02,0.34426229508196704,0.44836065573770495,-0.34426229508196704,minimum_consensus
2017-03,1.0,0.35,-1.0,minimum_consensus
2017-04,0.7540983606557372,0.3868852459016394,-0.7540983606557372,minimum_consensus
2017-05,0.8360655737704918,0.37459016393442623,-0.8360655737704918,minimum_consensus
2017-06,0.918032786885246,0.3622950819672131,-0.918032786885246,minimum_consensus
2017-07,0.0,0.5,-0.0,minimum_consensus
2017-08,0.0,0.5,-0.0,minimum_consensus
2017-09,0.0,0.5,-0.0,minimum_consensus
2017-10,0.0,0.5,-0.0,minimum_consensus
2017-11,0.26229508196721285,0.4606557377049181,-0.26229508196721285,minimum_consensus
2017-12,0.5081967213114754,0.4237704918032787,-0.5081967213114754,minimum_consensus
2018-01,0.0,0.5,-0.0,minimum_consensus
2018-02,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2018-03,0.0,0.5,-0.0,minimum_consensus
2018-04,0.0,0.5,-0.0,minimum_consensus
2018-05,0.0,0.5,-0.0,minimum_consensus
2018-06,0.3442622950819674,0.4483606557377049,-0.3442622950819674,minimum_consensus
2018-07,0.6721311475409841,0.3991803278688524,-0.6721311475409841,minimum_consensus
2018-08,0.0,0.5,-0.0,minimum_consensus
2018-09,0.0,0.5,-0.0,minimum_consensus
2018-10,0.0,0.5,-0.0,minimum_consensus
2018-11,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2018-12,0.0,0.5,-0.0,minimum_consensus
2019-01,0.0,0.5,-0.0,minimum_consensus
2019-02,0.0,0.5,-0.0,minimum_consensus
2019-03,0.0,0.5,-0.0,minimum_consensus
2019-04,0.0,0.5,-0.0,minimum_consensus
2019-05,0.0,0.5,-0.0,minimum_consensus
2019-06,0.0,0.5,-0.0,minimum_consensus
2019-07,0.0,0.5,-0.0,minimum_consensus
2019-08,0.0,0.5,-0.0,minimum_consensus
2019-09,0.0,0.5,-0.0,minimum_consensus
2019-10,0.0,0.5,-0.0,minimum_consensus
2019-11,0.0,0.5,-0.0,minimum_consensus
2019-12,0.0,0.5,-0.0,minimum_consensus
2020-01,0.0,0.5,-0.0,minimum_consensus
2020-02,0.0,0.5,-0.0,minimum_consensus
2020-03,0.0,0.5,-0.0,minimum_consensus
2020-04,0.0,0.5,-0.0,minimum_consensus
2020-05,0.0,0.5,-0.0,minimum_consensus
2020-06,0.0,0.5,-0.0,minimum_consensus
2020-07,0.0,0.5,-0.0,minimum_consensus
2020-08,0.0,0.5,-0.0,minimum_consensus
2020-09,0.0,0.5,-0.0,minimum_consensus
2020-10,0.0,0.5,-0.0,minimum_consensus
2020-11,0.0,0.5,-0.0,minimum_consensus
2020-12,0.0,0.5,-0.0,minimum_consensus
2021-01,0.0,0.5,-0.0,minimum_consensus
2021-02,0.18032786885245938,0.4729508196721311,-0.18032786885245938,minimum_consensus
2021-03,0.0,0.5,-0.0,minimum_consensus
2021-04,0.5081967213114754,0.4237704918032787,-0.5081967213114754,minimum_consensus
2021-05,0.0983606557377048,0.4852459016393443,-0.0983606557377048,minimum_consensus
2021-06,0.8360655737704918,0.37459016393442623,-0.8360655737704918,minimum_consensus
2021-07,0.6721311475409838,0.39918032786885244,-0.6721311475409838,minimum_consensus
2021-08,0.0,0.5,-0.0,minimum_consensus
2021-09,0.0,0.5,-0.0,minimum_consensus
2021-10,0.0,0.5,-0.0,minimum_consensus
2021-11,0.0,0.5,-0.0,minimum_consensus
2021-12,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2022-01,0.0,0.5,-0.0,minimum_consensus
2022-02,1.0,0.35,-1.0,minimum_consensus
2022-03,0.7540983606557372,0.3868852459016394,-0.7540983606557372,minimum_consensus
2022-04,0.918032786885246,0.3622950819672131,-0.918032786885246,minimum_consensus
2022-05,0.42622950819672123,0.4360655737704918,-0.42622950819672123,minimum_consensus
2022-06,0.5901639344262299,0.4114754098360655,-0.5901639344262299,minimum_consensus
2022-07,0.0,0.5,-0.0,minimum_consensus
2022-08,0.0,0.5,-0.0,minimum_consensus
2022-09,0.0,0.5,-0.0,minimum_consensus
2022-10,0.0,0.5,-0.0,minimum_consensus
2022-11,0.0,0.5,-0.0,minimum_consensus
2022-12,0.0,0.5,-0.0,minimum_consensus
2023-01,0.0,0.5,-0.0,minimum_consensus
2023-02,0.0,0.5,-0.0,minimum_consensus
2023-03,0.0,0.5,-0.0,minimum_consensus
2023-04,0.0,0.5,-0.0,minimum_consensus
2023-05,0.0,0.5,-0.0,minimum_consensus
2023-06,0.0,0.5,-0.0,minimum_consensus
2023-07,0.0,0.5,-0.0,minimum_consensus
2023-08,0.0,0.5,-0.0,minimum_consensus
2023-09,0.0,0.5,-0.0,minimum_consensus
2023-10,0.0,0.5,-0.0,minimum_consensus
2023-11,0.0,0.5,-0.0,minimum_consensus
2023-12,0.0,0.5,-0.0,minimum_consensus
2024-01,0.0,0.5,-0.0,minimum_consensus
2024-02,0.0,0.5,-0.0,minimum_consensus
2024-03,0.0,0.5,-0.0,minimum_consensus
2024-04,0.0,0.5,-0.0,minimum_consensus
2024-05,0.0,0.5,-0.0,minimum_consensus
2024-06,0.0,0.5,-0.0,minimum_consensus
2024-07,0.0,0.5,-0.0,minimum_consensus
2024-08,0.0,0.5,-0.0,minimum_consensus
2024-09,0.5081967213114754,0.4237704918032787,-0.5081967213114754,minimum_consensus
2024-10,0.0,0.5,-0.0,minimum_consensus
2024-11,0.0,0.5,-0.0,minimum_consensus
2024-12,0.0,0.5,-0.0,minimum_consensus
2025-01,0.0,0.5,-0.0,minimum_consensus
2025-02,0.0,0.5,-0.0,minimum_consensus
2025-03,0.0,0.5,-0.0,minimum_consensus
2025-04,0.0,0.5,-0.0,minimum_consensus
2025-05,0.0,0.5,-0.0,minimum_consensus
2025-06,0.0,0.5,-0.0,minimum_consensus
2025-07,0.0,0.5,-0.0,minimum_consensus
2025-08,0.0,0.5,-0.0,minimum_consensus
2025-09,0.0,0.5,-0.0,minimum_consensus
2025-10,0.0,0.5,-0.0,minimum_consensus
2025-11,0.0,0.5,-0.0,minimum_consensus
2025-12,0.0,0.5,-0.0,minimum_consensus
2026-01,0.0,0.5,-0.0,minimum_consensus
2026-02,0.0,0.5,-0.0,minimum_consensus
2026-03,1.0,0.35,-1.0,minimum_consensus
2026-04,0.918032786885246,0.3622950819672131,-0.918032786885246,minimum_consensus
2026-05,0.5901639344262296,0.41147540983606556,-0.5901639344262296,minimum_consensus
2026-06,0.6721311475409838,0.39918032786885244,-0.6721311475409838,minimum_consensus
2026-07,0.0,0.5,-0.0,minimum_consensus
