target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2012-02,2012-01-31,0.21841741340054924,0.0,0.0011492243777029287,-0.02945529848195247,10,29,1260,64,0.8360655737704918,0.18032786885245902,0.47295081967213115,-0.18032786885245902
2012-03,2012-02-29,0.21841741340054924,0.0,-0.024750370079871464,0.9244957620279776,10,29,1260,64,0.8360655737704918,0.18032786885245902,0.47295081967213115,-0.18032786885245902
2012-04,2012-03-30,0.1958580224858237,0.0,-0.006290464029333087,0.26900017617764377,10,30,1260,64,0.5737704918032787,0.0,0.5,-0.0
2012-05,2012-04-30,0.20007656428534626,1.0,-0.04423093478374385,1.835397586513939,10,30,1260,64,0.639344262295082,0.0,0.5,-0.0
2012-06,2012-05-31,0.20007656428534626,0.0,-0.027749689785492526,0.6494854377357963,10,30,1260,64,0.639344262295082,0.0,0.5,-0.0
2012-07,2012-06-29,0.19483329397335053,0.0,-0.037406371779691194,0.8525595506562361,10,31,1260,64,0.5245901639344263,0.0,0.5,-0.0
2012-08,2012-07-31,0.19483329397335053,0.0,-0.018743799058522526,0.4568139044758149,10,31,1260,64,0.5245901639344263,0.0,0.5,-0.0
2012-09,2012-08-31,0.19232678104861742,0.0,-0.018743799058522526,0.6025632294737898,10,31,1260,64,0.4918032786885246,0.0,0.5,-0.0
2012-10,2012-09-28,0.21234403875367522,0.0,-0.041999099222664316,1.1054884994192686,10,32,1260,64,0.7540983606557377,0.0,0.5,-0.0
2012-11,2012-10-31,0.203679261930086,0.0,-0.015338642881419506,0.5979202003691011,10,32,1260,64,0.6721311475409836,0.0,0.5,-0.0
2012-12,2012-11-30,0.18866640688853284,0.0,-0.0013696836320069572,0.0530212092818708,10,32,1260,64,0.3770491803278688,0.0,0.5,-0.0
2013-01,2012-12-28,0.19955319371738287,0.0,-0.006200755949406278,0.37058091232779794,10,33,1260,65,0.5573770491803278,0.0,0.5,-0.0
2013-02,2013-01-31,0.17967740925213962,0.0,-0.014209046889730015,0.6942595736364069,10,33,1260,65,0.26229508196721313,0.0,0.5,-0.0
2013-03,2013-02-28,0.1892245757023726,0.0,-0.02716205155399265,1.0928623521849068,10,33,1260,65,0.36065573770491804,0.0,0.5,-0.0
2013-04,2013-03-29,0.16376071000569503,1.0,-0.045557152520240285,2.08735300697027,10,34,1260,68,0.19672131147540983,0.0,0.5,-0.0
2013-05,2013-04-30,0.16667904358123703,0.0,-0.013677490148748195,0.4969571474166064,10,34,1260,68,0.21311475409836064,0.0,0.5,-0.0
2013-06,2013-05-31,0.16376071000569503,1.0,-0.06275108911949989,2.5353880645322877,10,34,1260,68,0.18032786885245902,0.0,0.5,-0.0
2013-07,2013-06-28,0.17707055306293967,0.0,-0.026065059717733763,0.6728429811679484,10,35,1260,68,0.21311475409836064,0.0,0.5,-0.0
2013-08,2013-07-31,0.19004310088928195,0.0,-0.02320853275153667,0.7383759180771793,10,35,1260,68,0.3770491803278688,0.0,0.5,-0.0
2013-09,2013-08-30,0.2022624767609258,0.0,-0.0011966531219035348,0.04122857458352673,10,35,1260,68,0.6229508196721312,0.0,0.5,-0.0
2013-10,2013-09-30,0.17892662457038527,0.0,0.0,-0.0,10,36,1260,68,0.19672131147540983,0.0,0.5,-0.0
2013-11,2013-10-31,0.15330501922659245,1.0,-0.03651666255568253,1.6380768380280084,10,36,1260,68,0.08196721311475409,0.0,0.5,-0.0
2013-12,2013-11-29,0.19192131775109747,1.0,-0.04380089046134805,1.4905141193960239,10,36,1260,68,0.4098360655737705,0.0,0.5,-0.0
2014-01,2013-12-30,0.19395245863466748,1.0,-0.04482366384512604,2.1247674843209245,10,37,1260,68,0.4426229508196721,0.0,0.5,-0.0
2014-02,2014-01-29,0.1849906605269427,0.0,-0.03172722497004732,1.10471064087703,10,37,1260,68,0.19672131147540983,0.0,0.5,-0.0
2014-03,2014-02-28,0.16445585212980904,1.0,-0.03367346472271038,1.292092658730184,10,37,1260,68,0.09836065573770492,0.0,0.5,-0.0
2014-04,2014-03-31,0.16054545264713477,0.0,0.0007695242861998075,-0.031300890512045036,10,38,1260,68,0.04918032786885246,0.0,0.5,-0.0
2014-05,2014-04-30,0.21713730193816136,0.0,-0.013325223536838848,0.8646716941248304,10,38,1260,68,0.8032786885245902,0.01639344262295062,0.4975409836065574,-0.01639344262295062
2014-06,2014-05-30,0.2288039567220378,0.0,-0.008461521845820275,0.40380803038641444,10,38,1260,68,0.8524590163934426,0.2622950819672127,0.4606557377049181,-0.2622950819672127
2014-07,2014-06-30,0.18378441337599064,0.0,-0.014230629811107454,0.6497422919837724,10,39,1260,68,0.18032786885245902,0.0,0.5,-0.0
2014-08,2014-07-31,0.1693953463998592,1.0,-0.03075198196677742,1.7462050485130263,10,39,1260,68,0.11475409836065574,0.0,0.5,-0.0
2014-09,2014-08-29,0.18378441337599064,0.0,-0.01793844657402266,0.9101730041474402,10,39,1260,68,0.21311475409836064,0.0,0.5,-0.0
2014-10,2014-09-30,0.16321276901370754,1.0,-0.05289849572570715,3.5446186417111254,10,40,1260,68,0.04918032786885246,0.0,0.5,-0.0
2014-11,2014-10-31,0.17380810842268044,0.0,-0.01602000967101369,0.612950595389418,10,40,1260,68,0.14754098360655737,0.0,0.5,-0.0
2014-12,2014-11-28,0.18391658385516896,1.0,-0.026695828278094913,1.5901969804192615,10,40,1260,68,0.26229508196721313,0.0,0.5,-0.0
2015-01,2014-12-30,0.21997826361801395,0.0,-0.01743010452954752,0.7824923337191293,10,41,1260,68,0.9016393442622951,0.5081967213114753,0.4237704918032787,-0.5081967213114753
2015-02,2015-01-30,0.17830845979121426,0.0,-0.012029362283967004,0.49416211941822147,10,41,1260,68,0.18032786885245902,0.0,0.5,-0.0
2015-03,2015-02-27,0.21988955269467939,0.0,0.0007872410803058116,-0.06142550670712079,10,41,1260,68,0.8852459016393442,0.4262295081967211,0.4360655737704918,-0.4262295081967211
2015-04,2015-03-31,0.1612215744390428,0.0,-0.00771461075160218,0.38134551157901486,10,42,1260,68,0.04918032786885246,0.0,0.5,-0.0
