name,sleeve,vol_cap,trend_window,top_k,brake_fraction,early_guard_start,early_guard_strength,dd_gate,bond_floor,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgSleeve,AvgBrake,AvgEarlyGuard,MDDPass,SharpePass
sl0.15_vc0.100_tw12_k2_bf0.50_egs0.020_eg0.65,0.15,0.1,12,2,0.5,-0.02,0.65,-0.025,0.18,129.0,0.07694052641265792,0.07080983898800702,1.0849834597682548,2.0238942830926416,-0.09053840715774675,0.8498109126064368,2.218507965987409,0.5891472868217055,0.07039115756543371,0.04232291469395714,0.01481682170757423,0.17538888512535067,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.010_eg0.50,0.15,0.11,12,2,0.25,-0.01,0.5,-0.025,0.18,129.0,0.07852434525099983,0.07289600507747597,1.076270334854217,1.9838544225372687,-0.09096749184566966,0.863213260669205,2.25383434316426,0.6046511627906976,0.07119255273978908,0.04661103183702129,0.00739313631420793,0.18692866541951988,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.010_eg0.65,0.15,0.11,12,2,0.25,-0.01,0.65,-0.025,0.18,129.0,0.07821897487179963,0.07236609666713256,1.0796853460230253,1.9943739286451225,-0.09028194732343842,0.866385553155796,2.246983752167989,0.6124031007751938,0.07249861911105046,0.04633549596070956,0.007390111445154531,0.2412094838637291,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.015_eg0.50,0.15,0.11,12,2,0.25,-0.015,0.5,-0.025,0.18,129.0,0.07777637974990181,0.07317371007572934,1.0629198600833927,1.9547542537293081,-0.09116926066599251,0.8530987218909581,2.237088220288208,0.6046511627906976,0.07101405649620023,0.0467336004396277,0.0074094030855112545,0.1628378105742769,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.015_eg0.65,0.15,0.11,12,2,0.25,-0.015,0.65,-0.025,0.18,129.0,0.07790441634355272,0.07270400847641853,1.0709629799772906,1.9754461808192603,-0.09048657833850726,0.8609499637848489,2.2399467884662623,0.6046511627906976,0.07221796378060918,0.04641516364345489,0.007406619650137785,0.21057125921465777,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.020_eg0.50,0.15,0.11,12,2,0.25,-0.02,0.5,-0.025,0.18,129.0,0.07823680514128095,0.07341485392985253,1.0655229550954877,1.95837503274057,-0.09134405608895368,0.856506799578634,2.2473832315272517,0.6046511627906976,0.06946126254818048,0.047037818479703314,0.007459019853446017,0.14389272191947391,False,True
sl0.15_vc0.110_tw12_k2_bf0.25_egs0.020_eg0.65,0.15,0.11,12,2,0.25,-0.02,0.65,-0.025,0.18,129.0,0.07826764729143232,0.07305359723325007,1.0708260396905416,1.9730613416074454,-0.09054049199396985,0.8644491052317793,2.2480743884409327,0.6046511627906976,0.07039577514207683,0.04681870318879593,0.00744945990786888,0.18294097280426988,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.010_eg0.50,0.15,0.11,12,2,0.5,-0.01,0.5,-0.025,0.18,129.0,0.0783673065560675,0.07222733716309251,1.0835201082080315,2.017208045282833,-0.09094538854233791,0.8616963192101277,2.250309020041738,0.5891472868217055,0.0752989968522404,0.046619515249338064,0.014722005165864997,0.18580917379210798,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.010_eg0.65,0.15,0.11,12,2,0.5,-0.01,0.65,-0.025,0.18,129.0,0.07840389754610477,0.07180473801624139,1.0899541724845117,2.0305835203152967,-0.09027363510328035,0.8685137964855892,2.251129995007146,0.6046511627906976,0.07581678978442367,0.04654063008203445,0.01474622638066319,0.2397495275409697,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.015_eg0.50,0.15,0.11,12,2,0.5,-0.015,0.5,-0.025,0.18,129.0,0.07669990101928614,0.07219808892432168,1.0623682838151618,1.9663438205161796,-0.09107792794678193,0.8421348920465442,2.213185091910215,0.5891472868217055,0.0756498318203472,0.04663572200861474,0.015213278769860611,0.16279526877968598,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.015_eg0.65,0.15,0.11,12,2,0.5,-0.015,0.65,-0.025,0.18,129.0,0.07756251406133785,0.07208142116776282,1.07514734377772,2.000276810896146,-0.09047407674477748,0.8572899205165425,2.2323207944057177,0.5891472868217055,0.0762382776645114,0.04642389307659602,0.01473763080366664,0.2106816939746693,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.020_eg0.50,0.15,0.11,12,2,0.5,-0.02,0.5,-0.025,0.18,129.0,0.07794252468396312,0.07269577020187278,1.0715461392471466,1.9909570118336213,-0.09122614877081237,0.8543879768483736,2.2407982417071515,0.5891472868217055,0.07418751842752272,0.04683285711152132,0.014844570674422157,0.1447613328556635,False,True
sl0.15_vc0.110_tw12_k2_bf0.50_egs0.020_eg0.65,0.15,0.11,12,2,0.5,-0.02,0.65,-0.025,0.18,129.0,0.07781239333868717,0.07239982762969607,1.07395628693288,1.9971036414232177,-0.09047014125141395,0.860089221287372,2.237891931564003,0.5891472868217055,0.07499748160432011,0.04661476704643601,0.01482979490699458,0.18562335178418454,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.010_eg0.50,0.2,0.1,12,2,0.25,-0.01,0.5,-0.025,0.18,129.0,0.07438576252936402,0.07137661352305796,1.043479339054035,1.9003262616376047,-0.09421344284819055,0.7895451039744341,2.1625822240421573,0.6046511627906976,0.07099770970778807,0.045864384101967706,0.007615954654755272,0.18903201255961483,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.010_eg0.65,0.2,0.1,12,2,0.25,-0.01,0.65,-0.025,0.18,129.0,0.0756077114771736,0.07130345803251635,1.0605082548457796,1.9464519533468172,-0.09352706858021131,0.8084045894406539,2.1891700724749232,0.6124031007751938,0.07213769992341691,0.04578537668880272,0.007390594354205684,0.2439604087758203,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.015_eg0.50,0.2,0.1,12,2,0.25,-0.015,0.5,-0.025,0.18,129.0,0.07627582309655545,0.07197481566862882,1.05996244786786,1.9393708671404448,-0.09446218651480232,0.8074746722552623,2.2038322529543226,0.6046511627906976,0.07052656754314067,0.04622020018186035,0.007379978842432395,0.16971577554553582,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.015_eg0.65,0.2,0.1,12,2,0.25,-0.015,0.65,-0.025,0.18,129.0,0.07622625958823348,0.07154365369225779,1.065273220163317,1.9535640265440657,-0.09373995720243244,0.8131672113272044,2.2027414960815745,0.6046511627906976,0.0718362332617241,0.0459004176341465,0.0073814761239419015,0.2169355709120263,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.020_eg0.50,0.2,0.1,12,2,0.25,-0.02,0.5,-0.025,0.18,129.0,0.07618365675702288,0.0722385712111779,1.0551622448877256,1.927328622571762,-0.09460503634196804,0.8052811954074247,2.201804315963722,0.6046511627906976,0.06892492269180575,0.046274930709243316,0.007430112159122006,0.14486383382873735,False,True
sl0.20_vc0.100_tw12_k2_bf0.25_egs0.020_eg0.65,0.2,0.1,12,2,0.25,-0.02,0.65,-0.025,0.18,129.0,0.07615601036385256,0.07189155777783471,1.0595498559706726,1.9399788039704686,-0.09375568421132008,0.8122815272960001,2.201196342138558,0.6046511627906976,0.07007172892896882,0.046023630048672534,0.007422644819842681,0.1855628826595864,False,True
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.010_eg0.50,0.2,0.1,12,2,0.5,-0.01,0.5,-0.025,0.18,129.0,0.07583668488872841,0.07118061742620167,1.065205939475152,1.9720954304709348,-0.09420672537907171,0.8050028762126546,2.1941850600678654,0.5891472868217055,0.07480850232646415,0.046321954889475665,0.014664575693332552,0.1878103478863756,False,True
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.010_eg0.65,0.2,0.1,12,2,0.5,-0.01,0.65,-0.025,0.18,129.0,0.07547891807258766,0.07079752313317414,1.0658640806764215,1.9747013168446959,-0.093522463031815,0.8070672609094013,2.18635380314484,0.5968992248062015,0.07576446711577495,0.0459716219426131,0.014681979049630424,0.242477407421581,False,True
sl0.20_vc0.100_tw12_k2_bf0.50_egs0.015_eg0.50,0.2,0.1,12,2,0.5,-0.015,0.5,-0.025,0.18,129.0,0.07620477653554647,0.07136558152629224,1.0674517660849372,1.9758166309076677,-0.0944561302217769,0.8067742808923314,2.202268865145632,0.5891472868217055,0.07477079589677754,0.04638405422621852,0.014663021005840457,0.1696169251525769,False,True
