name,calm_target,stress_target,trend_window,normal_target,dd_stress,dd_calm,calm_vol_ratio,stress_vol_ratio,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDDPass,SharpePass
ct0.110_st0.065_tw6,0.11,0.065,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07577162162553486,0.062049053227178644,1.211254725421099,2.361146513640206,-0.08479518994521495,0.8935839600629457,2.192758982420172,0.6511627906976745,0.048800350265845734,True,True
ct0.110_st0.065_tw12,0.11,0.065,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07677200812965879,0.062359297232729656,1.2205237207705417,2.3955376730897364,-0.08479519034089689,0.9053816356920363,2.2147789564651026,0.6511627906976745,0.05041424157681086,True,True
ct0.110_st0.075_tw6,0.11,0.075,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07506396318500164,0.06549459166118546,1.1407889855402116,2.1284678876774015,-0.08778282970057061,0.8551098596507616,2.1773024989460468,0.6356589147286822,0.04119325847635611,True,True
ct0.110_st0.075_tw12,0.11,0.075,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07610356328796852,0.06577761730522315,1.1509352160275066,2.1615708991162115,-0.0877828295562072,0.8669527249544803,2.200043393101334,0.6356589147286822,0.042807854230836745,True,True
ct0.120_st0.055_tw6,0.12,0.055,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07732421240492027,0.05835549992357693,1.3089742395445367,2.71910323305579,-0.07511900125632665,1.0293562362613,2.2270195052664383,0.6589147286821705,0.0602637339833819,True,True
ct0.120_st0.055_tw12,0.12,0.055,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07772407786825242,0.058607891538951296,1.3099498825218927,2.736527650003029,-0.07511900125698545,1.0346793296992178,2.2359214711524475,0.6589147286821705,0.061151209171614096,True,True
ct0.120_st0.065_tw6,0.12,0.065,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07572577286413051,0.06206902786179114,1.2101940176722905,2.3580179599871793,-0.08479519011268122,0.8930432582732737,2.1917545594043553,0.6511627906976745,0.04905862572733966,True,True
ct0.120_st0.065_tw12,0.12,0.065,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07677093011745884,0.062359150790501354,1.2205102874559428,2.3955056871444365,-0.08479519000062175,0.9053689261961194,2.2147551202853504,0.6511627906976745,0.050456788348438954,True,True
ct0.120_st0.075_tw6,0.12,0.075,6,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07501757276283394,0.06551328015425825,1.139819539462906,2.1259358009266394,-0.08778282949479244,0.8545813935888706,2.176292711660029,0.6356589147286822,0.04145177068964419,True,True
ct0.120_st0.075_tw12,0.12,0.075,12,0.08,-0.025,-0.01,1.1,1.35,129.0,0.07610248778755713,0.0657774515629145,1.1509226642994534,2.1615418802171495,-0.08778282950563032,0.8669404736227598,2.2000197560060233,0.6356589147286822,0.04285040178610457,True,True
