Strategy,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
loss3_composite_stress,0.075,129.0,0.123878428504818,0.1378545160913314,0.9186454166108872,1.715339737354512,-0.1399488414503457,0.8851693749016885,3.509399880812019,0.6046511627906976,0.07953905017134474
loss3_composite_stress,0.1,129.0,0.12467498758664397,0.13809753984219442,0.9224126748917216,1.7295849388770042,-0.1399488414503457,0.8908611625118673,3.5362311405199454,0.6046511627906976,0.08146497376857027
loss3_composite_stress,0.15,129.0,0.12469256028283571,0.1380400328679329,0.922825936312466,1.7369228331336908,-0.1399488414503457,0.8909867276541695,3.5368251502421892,0.6046511627906976,0.08491302639463386
loss3_composite_stress,0.2,129.0,0.12414698763752186,0.13778259762341205,0.9207328272749378,1.735499258966856,-0.1399488414503457,0.8870883556515158,3.518425310487707,0.5968992248062015,0.08794926044005005
loss4_composite_domestic,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss4_composite_domestic,0.025,129.0,0.12228999669545049,0.13766582814187991,0.9094093733387147,1.6829066213781827,-0.1399488414503457,0.8738192858769708,3.4564456979722986,0.5968992248062015,0.07664384062144487
loss4_composite_domestic,0.05,129.0,0.1231918775754457,0.13791892925243754,0.913847039758118,1.6962319317757013,-0.1399488414503457,0.8802636470495868,3.4864224331767155,0.5968992248062015,0.07806508357710151
loss4_composite_domestic,0.075,129.0,0.1240790453173577,0.13821793645130911,0.917904885753023,1.7090331395606928,-0.1399488414503457,0.8866028759615087,3.5161399952463324,0.6046511627906976,0.07969605914385787
loss4_composite_domestic,0.1,129.0,0.12495619515578693,0.1385629522534351,0.9216113581845516,1.7215403155786635,-0.1399488414503457,0.8928705222623925,3.5457476681084934,0.6046511627906976,0.08142945012158709
loss4_composite_domestic,0.15,129.0,0.12519371941777324,0.13869860091135994,0.9223588242197225,1.7266216311737284,-0.1399488414503457,0.8945677443295762,3.553803969879239,0.6046511627906976,0.08468584748129435
loss4_composite_domestic,0.2,129.0,0.12483028725502043,0.13859249131651788,0.9206046135389717,1.7230888128236688,-0.1399488414503457,0.8919708513579273,3.541483869204634,0.6046511627906976,0.08753418140901037
loss4_composite_stress,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss4_composite_stress,0.025,129.0,0.12232179126084608,0.13765234864817788,0.909692863170799,1.6836172646671745,-0.1399488414503457,0.8740464729337988,3.4574984982345156,0.5968992248062015,0.07649791899906301
loss4_composite_stress,0.05,129.0,0.12325313361107337,0.13789054296127504,0.9144064620275302,1.6976259815338453,-0.1399488414503457,0.8807013501058812,3.488466988530643,0.5968992248062015,0.0778443093881734
loss4_composite_stress,0.075,129.0,0.1241622663512405,0.13817426804145555,0.9186929327836115,1.7110112148033223,-0.1399488414503457,0.887197529214943,3.518939412458315,0.6046511627906976,0.0795870428045789
loss4_composite_stress,0.1,129.0,0.1250567421223452,0.13850290553962163,0.9226034300709115,1.7240377698714182,-0.1399488414503457,0.8935889774172637,3.549155976550939,0.6046511627906976,0.08153068561003339
