month,return,baseline_return,defensive_return,risk_probability,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2012-10,-0.0338809381647358,-0.0338809381647358,0.004285714285714226,0.0868974358974359,0.0,0.0,0.0126143276929061,0.0,0.0,0.0,3.1571374681899367,-0.03958019738334462
2012-11,0.0005604328028054,0.0005604328028054,0.0,0.07778158803222096,0.0,0.0,0.0129415481251007,0.0,0.0,0.0,3.158906831590077,-0.039041946621494295
2012-12,0.0196520944912759,0.0196520944912759,-0.0007451060082638294,0.07675,0.0,0.0,0.0072672784381375,0.0,0.0,0.0,3.220985967133622,-0.020157108154347347
2013-01,-0.0073556934464457,-0.0073556934464457,0.00528741865509752,0.08747988849064117,0.0,0.0,0.0114311223733327,0.0,0.0,0.0,3.1972933817640836,-0.027364532092442717
2013-02,0.0074973916341352,0.0074973916341352,0.007349966284558196,0.08758536585365853,0.0,0.0,0.0094782389376139,0.0,0.0,0.0,3.2212647424163974,-0.020072303072289466
2013-03,-0.0015044631291443,-0.0015044631291443,0.005890621862239875,0.08714457831325301,0.0,0.0,0.0095120251567159,0.0,0.0,0.0,3.2164184683822192,-0.021546568161544544
2013-04,-0.0342616761861257,-0.0342616761861257,0.004125906701270887,0.0872485119047619,0.0,0.0,0.0046074654374674,0.0,0.0,0.0,3.106218580339433,-0.05507002280639717
2013-05,-0.0048485333900457,-0.0048485333900457,-0.0077539929750147785,0.08799080882352942,0.0,0.0,0.0102807345984757,0.0,0.0,0.0,3.0911579758358774,-0.05965154735207545
2013-06,-0.0691602965231711,-0.0691602965231711,-0.009617953513224697,0.08691699463327371,0.0,0.0,0.0220398372909288,0.0,0.0,0.0,2.8773725736271025,-0.12468632517231104
2013-07,0.030797352853537,0.030797352853537,0.0042487186404100985,0.07493103448275862,0.0,0.0,0.0194327331045087,0.0,0.0,0.0,2.965988032068186,-0.0977289810711166
2013-08,0.0136094614202431,0.0136094614202431,0.003357732858773721,0.0740625,0.0,0.0,0.0116905564218658,0.0,0.0,0.0,3.006353531763521,-0.08544955844840052
2013-09,-0.0004913738804084,-0.0004913738804084,0.004551234857104625,0.07364115168539326,0.0,0.0,0.0376230585497462,0.0,0.0,0.0,3.004876288162739,-0.08589894464769487
2013-10,0.0123564288151598,0.0123564288151598,0.0021320541008726934,0.07280512820512822,0.0,0.0,0.0325992360205771,0.0,0.0,0.0,3.0420058281157836,-0.0746039200273716
2013-11,-0.0081158688015766,-0.0081158688015766,-0.00378964164616713,0.07159209447269149,0.0,0.0,0.2759470522324854,0.0,0.0,0.0,3.017317307921165,-0.08211431320192264
2013-12,-0.0092919854296522,-0.0092919854296522,0.006406833956219993,0.07081074168797954,0.0,0.0,0.0108981044389598,0.0,0.0,0.0,2.989280439459324,-0.09064329362973667
2014-01,-0.0281762354232445,-0.0281762354232445,0.0027851458885941316,0.0711243571762506,0.0,0.0,0.012341844501773,0.0,0.0,0.0,2.905053770051018,-0.11626554227213148
2014-02,0.0233675406082338,0.0233675406082338,0.006083851342414848,0.0714340425531915,0.0,0.0,0.2910814556436715,0.0,0.0,0.0,2.9729377319917885,-0.0956148414442799
2014-03,-0.0083177713065265,-0.0083177713065265,0.0019061390824242075,0.07104210526315789,0.0,0.0,0.3256950261309832,0.0,0.0,0.0,2.948209515828537,-0.10313731036616314
2014-04,-0.0118610592335983,-0.0118610592335983,0.0032145903037459345,0.05754052511415525,0.0,0.0,0.0294081096022774,0.0,0.0,0.0,2.9132406281282366,-0.1137750518523144
2014-05,0.0107703621855501,0.0107703621855501,0.008370389746272577,0.058032320980774585,0.0,0.0,0.0202495688047502,0.0,0.0,0.0,2.9446172848268373,-0.10423008818289348
2014-06,0.0103719839000993,0.0103719839000993,0.008106355382619945,0.057494693877551024,0.0,0.0,0.0319224050292158,0.0,0.0,0.0,2.9751588078970155,-0.09493917707933297
2014-07,0.0269687919748895,0.0269687919748895,0.005210678674815172,0.057979000531632116,0.0,0.0,0.0128031745396024,0.0,0.0,0.0,3.0553952468794505,-0.07053078002136315
