Model,signal_month,fit_end_month,max_label_month,train_rows,feature_count
LegacySignalMonth_BOND,2017-08,2017-07,2017-08,124,33
LegacySignalMonth_BOND,2017-09,2017-08,2017-09,125,33
LegacySignalMonth_BOND,2017-10,2017-09,2017-10,126,33
LegacySignalMonth_BOND,2017-11,2017-10,2017-11,127,33
LegacySignalMonth_BOND,2017-12,2017-11,2017-12,128,33
LegacySignalMonth_BOND,2018-01,2017-12,2018-01,129,33
LegacySignalMonth_BOND,2018-02,2018-01,2018-02,130,33
LegacySignalMonth_BOND,2018-03,2018-02,2018-03,131,33
LegacySignalMonth_BOND,2018-04,2018-03,2018-04,132,33
LegacySignalMonth_BOND,2018-05,2018-04,2018-05,133,33
LegacySignalMonth_BOND,2018-06,2018-05,2018-06,134,33
LegacySignalMonth_BOND,2018-07,2018-06,2018-07,135,33
LegacySignalMonth_BOND,2018-08,2018-07,2018-08,136,33
LegacySignalMonth_BOND,2018-09,2018-08,2018-09,137,33
LegacySignalMonth_BOND,2018-10,2018-09,2018-10,138,33
LegacySignalMonth_BOND,2018-11,2018-10,2018-11,139,33
LegacySignalMonth_BOND,2018-12,2018-11,2018-12,140,33
LegacySignalMonth_BOND,2019-01,2018-12,2019-01,141,33
LegacySignalMonth_BOND,2019-02,2019-01,2019-02,142,33
LegacySignalMonth_BOND,2019-03,2019-02,2019-03,143,33
LegacySignalMonth_BOND,2019-04,2019-03,2019-04,144,33
LegacySignalMonth_BOND,2019-05,2019-04,2019-05,144,33
LegacySignalMonth_BOND,2019-06,2019-05,2019-06,144,33
LegacySignalMonth_BOND,2019-07,2019-06,2019-07,144,33
LegacySignalMonth_BOND,2019-08,2019-07,2019-08,144,33
LegacySignalMonth_BOND,2019-09,2019-08,2019-09,144,33
LegacySignalMonth_BOND,2019-10,2019-09,2019-10,144,33
LegacySignalMonth_BOND,2019-11,2019-10,2019-11,144,33
LegacySignalMonth_BOND,2019-12,2019-11,2019-12,144,33
LegacySignalMonth_BOND,2020-01,2019-12,2020-01,144,33
LegacySignalMonth_BOND,2020-02,2020-01,2020-02,144,33
LegacySignalMonth_BOND,2020-03,2020-02,2020-03,144,33
LegacySignalMonth_BOND,2020-04,2020-03,2020-04,144,33
LegacySignalMonth_BOND,2020-05,2020-04,2020-05,144,33
LegacySignalMonth_BOND,2020-06,2020-05,2020-06,144,33
LegacySignalMonth_BOND,2020-07,2020-06,2020-07,144,33
LegacySignalMonth_BOND,2020-08,2020-07,2020-08,144,33
LegacySignalMonth_BOND,2020-09,2020-08,2020-09,144,33
LegacySignalMonth_BOND,2020-10,2020-09,2020-10,144,33
LegacySignalMonth_BOND,2020-11,2020-10,2020-11,144,33
LegacySignalMonth_BOND,2020-12,2020-11,2020-12,144,33
LegacySignalMonth_BOND,2021-01,2020-12,2021-01,144,33
LegacySignalMonth_BOND,2021-02,2021-01,2021-02,144,33
LegacySignalMonth_BOND,2021-03,2021-02,2021-03,144,33
LegacySignalMonth_BOND,2021-04,2021-03,2021-04,144,33
LegacySignalMonth_BOND,2021-05,2021-04,2021-05,144,33
LegacySignalMonth_BOND,2021-06,2021-05,2021-06,144,33
LegacySignalMonth_BOND,2021-07,2021-06,2021-07,144,33
LegacySignalMonth_BOND,2021-08,2021-07,2021-08,144,33
LegacySignalMonth_BOND,2021-09,2021-08,2021-09,144,33
LegacySignalMonth_BOND,2021-10,2021-09,2021-10,144,33
LegacySignalMonth_BOND,2021-11,2021-10,2021-11,144,33
LegacySignalMonth_BOND,2021-12,2021-11,2021-12,144,33
LegacySignalMonth_BOND,2022-01,2021-12,2022-01,144,33
LegacySignalMonth_BOND,2022-02,2022-01,2022-02,144,33
LegacySignalMonth_BOND,2022-03,2022-02,2022-03,144,33
LegacySignalMonth_BOND,2022-04,2022-03,2022-04,144,33
LegacySignalMonth_BOND,2022-05,2022-04,2022-05,144,33
LegacySignalMonth_BOND,2022-06,2022-05,2022-06,144,33
LegacySignalMonth_BOND,2022-07,2022-06,2022-07,144,33
LegacySignalMonth_BOND,2022-08,2022-07,2022-08,144,33
LegacySignalMonth_BOND,2022-09,2022-08,2022-09,144,33
LegacySignalMonth_BOND,2022-10,2022-09,2022-10,144,33
LegacySignalMonth_BOND,2022-11,2022-10,2022-11,144,33
LegacySignalMonth_BOND,2022-12,2022-11,2022-12,144,33
LegacySignalMonth_BOND,2023-01,2022-12,2023-01,144,33
LegacySignalMonth_BOND,2023-02,2023-01,2023-02,144,33
LegacySignalMonth_BOND,2023-03,2023-02,2023-03,144,33
LegacySignalMonth_BOND,2023-04,2023-03,2023-04,144,33
LegacySignalMonth_BOND,2023-05,2023-04,2023-05,144,33
LegacySignalMonth_BOND,2023-06,2023-05,2023-06,144,33
LegacySignalMonth_BOND,2023-07,2023-06,2023-07,144,33
LegacySignalMonth_BOND,2023-08,2023-07,2023-08,144,33
LegacySignalMonth_BOND,2023-09,2023-08,2023-09,144,33
LegacySignalMonth_BOND,2023-10,2023-09,2023-10,144,33
LegacySignalMonth_BOND,2023-11,2023-10,2023-11,144,33
LegacySignalMonth_BOND,2023-12,2023-11,2023-12,144,33
LegacySignalMonth_BOND,2024-01,2023-12,2024-01,144,33
LegacySignalMonth_BOND,2024-02,2024-01,2024-02,144,33
LegacySignalMonth_BOND,2024-03,2024-02,2024-03,144,33
LegacySignalMonth_BOND,2024-04,2024-03,2024-04,144,33
LegacySignalMonth_BOND,2024-05,2024-04,2024-05,144,33
LegacySignalMonth_BOND,2024-06,2024-05,2024-06,144,33
LegacySignalMonth_BOND,2024-07,2024-06,2024-07,144,33
LegacySignalMonth_BOND,2024-08,2024-07,2024-08,144,33
LegacySignalMonth_BOND,2024-09,2024-08,2024-09,144,33
LegacySignalMonth_BOND,2024-10,2024-09,2024-10,144,33
LegacySignalMonth_BOND,2024-11,2024-10,2024-11,144,33
LegacySignalMonth_BOND,2024-12,2024-11,2024-12,144,33
LegacySignalMonth_BOND,2025-01,2024-12,2025-01,144,33
LegacySignalMonth_BOND,2025-02,2025-01,2025-02,144,33
LegacySignalMonth_BOND,2025-03,2025-02,2025-03,144,33
LegacySignalMonth_BOND,2025-04,2025-03,2025-04,144,33
LegacySignalMonth_BOND,2025-05,2025-04,2025-05,144,33
LegacySignalMonth_BOND,2025-06,2025-05,2025-06,144,33
LegacySignalMonth_BOND,2025-07,2025-06,2025-07,144,33
LegacySignalMonth_BOND,2025-08,2025-07,2025-08,144,33
LegacySignalMonth_BOND,2025-09,2025-08,2025-09,144,33
LegacySignalMonth_BOND,2025-10,2025-09,2025-10,144,33
LegacySignalMonth_BOND,2025-11,2025-10,2025-11,144,33
LegacySignalMonth_BOND,2025-12,2025-11,2025-12,144,33
LegacySignalMonth_BOND,2026-01,2025-12,2026-01,144,33
LegacySignalMonth_BOND,2026-02,2026-01,2026-02,144,33
LegacySignalMonth_BOND,2026-03,2026-02,2026-03,144,33
LegacySignalMonth_BOND,2026-04,2026-03,2026-04,144,33
LegacySignalMonth_BOND,2026-05,2026-04,2026-05,144,33
LegacySignalMonth_BOND,2026-06,2026-05,2026-06,144,33
LegacySignalMonth_GLD,2012-04,2012-03,2012-04,60,33
LegacySignalMonth_GLD,2012-05,2012-04,2012-05,61,33
LegacySignalMonth_GLD,2012-06,2012-05,2012-06,62,33
LegacySignalMonth_GLD,2012-07,2012-06,2012-07,63,33
LegacySignalMonth_GLD,2012-08,2012-07,2012-08,64,33
LegacySignalMonth_GLD,2012-09,2012-08,2012-09,65,33
LegacySignalMonth_GLD,2012-10,2012-09,2012-10,66,33
LegacySignalMonth_GLD,2012-11,2012-10,2012-11,67,33
LegacySignalMonth_GLD,2012-12,2012-11,2012-12,68,33
LegacySignalMonth_GLD,2013-01,2012-12,2013-01,69,33
LegacySignalMonth_GLD,2013-02,2013-01,2013-02,70,33
LegacySignalMonth_GLD,2013-03,2013-02,2013-03,71,33
LegacySignalMonth_GLD,2013-04,2013-03,2013-04,72,33
LegacySignalMonth_GLD,2013-05,2013-04,2013-05,73,33
LegacySignalMonth_GLD,2013-06,2013-05,2013-06,74,33
LegacySignalMonth_GLD,2013-07,2013-06,2013-07,75,33
LegacySignalMonth_GLD,2013-08,2013-07,2013-08,76,33
LegacySignalMonth_GLD,2013-09,2013-08,2013-09,77,33
LegacySignalMonth_GLD,2013-10,2013-09,2013-10,78,33
LegacySignalMonth_GLD,2013-11,2013-10,2013-11,79,33
LegacySignalMonth_GLD,2013-12,2013-11,2013-12,80,33
LegacySignalMonth_GLD,2014-01,2013-12,2014-01,81,33
LegacySignalMonth_GLD,2014-02,2014-01,2014-02,82,33
LegacySignalMonth_GLD,2014-03,2014-02,2014-03,83,33
LegacySignalMonth_GLD,2014-04,2014-03,2014-04,84,33
LegacySignalMonth_GLD,2014-05,2014-04,2014-05,85,33
LegacySignalMonth_GLD,2014-06,2014-05,2014-06,86,33
LegacySignalMonth_GLD,2014-07,2014-06,2014-07,87,33
LegacySignalMonth_GLD,2014-08,2014-07,2014-08,88,33
LegacySignalMonth_GLD,2014-09,2014-08,2014-09,89,33
LegacySignalMonth_GLD,2014-10,2014-09,2014-10,90,33
LegacySignalMonth_GLD,2014-11,2014-10,2014-11,91,33
LegacySignalMonth_GLD,2014-12,2014-11,2014-12,92,33
LegacySignalMonth_GLD,2015-01,2014-12,2015-01,93,33
LegacySignalMonth_GLD,2015-02,2015-01,2015-02,94,33
LegacySignalMonth_GLD,2015-03,2015-02,2015-03,95,33
LegacySignalMonth_GLD,2015-04,2015-03,2015-04,96,33
LegacySignalMonth_GLD,2015-05,2015-04,2015-05,97,33
LegacySignalMonth_GLD,2015-06,2015-05,2015-06,98,33
LegacySignalMonth_GLD,2015-07,2015-06,2015-07,99,33
LegacySignalMonth_GLD,2015-08,2015-07,2015-08,100,33
LegacySignalMonth_GLD,2015-09,2015-08,2015-09,101,33
LegacySignalMonth_GLD,2015-10,2015-09,2015-10,102,33
LegacySignalMonth_GLD,2015-11,2015-10,2015-11,103,33
LegacySignalMonth_GLD,2015-12,2015-11,2015-12,104,33
LegacySignalMonth_GLD,2016-01,2015-12,2016-01,105,33
LegacySignalMonth_GLD,2016-02,2016-01,2016-02,106,33
LegacySignalMonth_GLD,2016-03,2016-02,2016-03,107,33
LegacySignalMonth_GLD,2016-04,2016-03,2016-04,108,33
LegacySignalMonth_GLD,2016-05,2016-04,2016-05,109,33
LegacySignalMonth_GLD,2016-06,2016-05,2016-06,110,33
LegacySignalMonth_GLD,2016-07,2016-06,2016-07,111,33
LegacySignalMonth_GLD,2016-08,2016-07,2016-08,112,33
LegacySignalMonth_GLD,2016-09,2016-08,2016-09,113,33
LegacySignalMonth_GLD,2016-10,2016-09,2016-10,114,33
LegacySignalMonth_GLD,2016-11,2016-10,2016-11,115,33
LegacySignalMonth_GLD,2016-12,2016-11,2016-12,116,33
LegacySignalMonth_GLD,2017-01,2016-12,2017-01,117,33
LegacySignalMonth_GLD,2017-02,2017-01,2017-02,118,33
LegacySignalMonth_GLD,2017-03,2017-02,2017-03,119,33
LegacySignalMonth_GLD,2017-04,2017-03,2017-04,120,33
LegacySignalMonth_GLD,2017-05,2017-04,2017-05,121,33
LegacySignalMonth_GLD,2017-06,2017-05,2017-06,122,33
LegacySignalMonth_GLD,2017-07,2017-06,2017-07,123,33
LegacySignalMonth_GLD,2017-08,2017-07,2017-08,124,33
LegacySignalMonth_GLD,2017-09,2017-08,2017-09,125,33
LegacySignalMonth_GLD,2017-10,2017-09,2017-10,126,33
LegacySignalMonth_GLD,2017-11,2017-10,2017-11,127,33
LegacySignalMonth_GLD,2017-12,2017-11,2017-12,128,33
LegacySignalMonth_GLD,2018-01,2017-12,2018-01,129,33
LegacySignalMonth_GLD,2018-02,2018-01,2018-02,130,33
LegacySignalMonth_GLD,2018-03,2018-02,2018-03,131,33
LegacySignalMonth_GLD,2018-04,2018-03,2018-04,132,33
LegacySignalMonth_GLD,2018-05,2018-04,2018-05,133,33
LegacySignalMonth_GLD,2018-06,2018-05,2018-06,134,33
LegacySignalMonth_GLD,2018-07,2018-06,2018-07,135,33
LegacySignalMonth_GLD,2018-08,2018-07,2018-08,136,33
LegacySignalMonth_GLD,2018-09,2018-08,2018-09,137,33
LegacySignalMonth_GLD,2018-10,2018-09,2018-10,138,33
LegacySignalMonth_GLD,2018-11,2018-10,2018-11,139,33
LegacySignalMonth_GLD,2018-12,2018-11,2018-12,140,33
LegacySignalMonth_GLD,2019-01,2018-12,2019-01,141,33
LegacySignalMonth_GLD,2019-02,2019-01,2019-02,142,33
LegacySignalMonth_GLD,2019-03,2019-02,2019-03,143,33
LegacySignalMonth_GLD,2019-04,2019-03,2019-04,144,33
LegacySignalMonth_GLD,2019-05,2019-04,2019-05,144,33
LegacySignalMonth_GLD,2019-06,2019-05,2019-06,144,33
LegacySignalMonth_GLD,2019-07,2019-06,2019-07,144,33
LegacySignalMonth_GLD,2019-08,2019-07,2019-08,144,33
LegacySignalMonth_GLD,2019-09,2019-08,2019-09,144,33
LegacySignalMonth_GLD,2019-10,2019-09,2019-10,144,33
LegacySignalMonth_GLD,2019-11,2019-10,2019-11,144,33
LegacySignalMonth_GLD,2019-12,2019-11,2019-12,144,33
LegacySignalMonth_GLD,2020-01,2019-12,2020-01,144,33
LegacySignalMonth_GLD,2020-02,2020-01,2020-02,144,33
LegacySignalMonth_GLD,2020-03,2020-02,2020-03,144,33
LegacySignalMonth_GLD,2020-04,2020-03,2020-04,144,33
LegacySignalMonth_GLD,2020-05,2020-04,2020-05,144,33
LegacySignalMonth_GLD,2020-06,2020-05,2020-06,144,33
LegacySignalMonth_GLD,2020-07,2020-06,2020-07,144,33
LegacySignalMonth_GLD,2020-08,2020-07,2020-08,144,33
LegacySignalMonth_GLD,2020-09,2020-08,2020-09,144,33
LegacySignalMonth_GLD,2020-10,2020-09,2020-10,144,33
LegacySignalMonth_GLD,2020-11,2020-10,2020-11,144,33
LegacySignalMonth_GLD,2020-12,2020-11,2020-12,144,33
LegacySignalMonth_GLD,2021-01,2020-12,2021-01,144,33
LegacySignalMonth_GLD,2021-02,2021-01,2021-02,144,33
LegacySignalMonth_GLD,2021-03,2021-02,2021-03,144,33
LegacySignalMonth_GLD,2021-04,2021-03,2021-04,144,33
LegacySignalMonth_GLD,2021-05,2021-04,2021-05,144,33
LegacySignalMonth_GLD,2021-06,2021-05,2021-06,144,33
LegacySignalMonth_GLD,2021-07,2021-06,2021-07,144,33
LegacySignalMonth_GLD,2021-08,2021-07,2021-08,144,33
LegacySignalMonth_GLD,2021-09,2021-08,2021-09,144,33
LegacySignalMonth_GLD,2021-10,2021-09,2021-10,144,33
LegacySignalMonth_GLD,2021-11,2021-10,2021-11,144,33
LegacySignalMonth_GLD,2021-12,2021-11,2021-12,144,33
LegacySignalMonth_GLD,2022-01,2021-12,2022-01,144,33
LegacySignalMonth_GLD,2022-02,2022-01,2022-02,144,33
LegacySignalMonth_GLD,2022-03,2022-02,2022-03,144,33
LegacySignalMonth_GLD,2022-04,2022-03,2022-04,144,33
LegacySignalMonth_GLD,2022-05,2022-04,2022-05,144,33
LegacySignalMonth_GLD,2022-06,2022-05,2022-06,144,33
LegacySignalMonth_GLD,2022-07,2022-06,2022-07,144,33
LegacySignalMonth_GLD,2022-08,2022-07,2022-08,144,33
LegacySignalMonth_GLD,2022-09,2022-08,2022-09,144,33
LegacySignalMonth_GLD,2022-10,2022-09,2022-10,144,33
LegacySignalMonth_GLD,2022-11,2022-10,2022-11,144,33
LegacySignalMonth_GLD,2022-12,2022-11,2022-12,144,33
LegacySignalMonth_GLD,2023-01,2022-12,2023-01,144,33
LegacySignalMonth_GLD,2023-02,2023-01,2023-02,144,33
LegacySignalMonth_GLD,2023-03,2023-02,2023-03,144,33
LegacySignalMonth_GLD,2023-04,2023-03,2023-04,144,33
LegacySignalMonth_GLD,2023-05,2023-04,2023-05,144,33
LegacySignalMonth_GLD,2023-06,2023-05,2023-06,144,33
LegacySignalMonth_GLD,2023-07,2023-06,2023-07,144,33
LegacySignalMonth_GLD,2023-08,2023-07,2023-08,144,33
LegacySignalMonth_GLD,2023-09,2023-08,2023-09,144,33
LegacySignalMonth_GLD,2023-10,2023-09,2023-10,144,33
LegacySignalMonth_GLD,2023-11,2023-10,2023-11,144,33
LegacySignalMonth_GLD,2023-12,2023-11,2023-12,144,33
LegacySignalMonth_GLD,2024-01,2023-12,2024-01,144,33
LegacySignalMonth_GLD,2024-02,2024-01,2024-02,144,33
LegacySignalMonth_GLD,2024-03,2024-02,2024-03,144,33
LegacySignalMonth_GLD,2024-04,2024-03,2024-04,144,33
LegacySignalMonth_GLD,2024-05,2024-04,2024-05,144,33
LegacySignalMonth_GLD,2024-06,2024-05,2024-06,144,33
LegacySignalMonth_GLD,2024-07,2024-06,2024-07,144,33
LegacySignalMonth_GLD,2024-08,2024-07,2024-08,144,33
LegacySignalMonth_GLD,2024-09,2024-08,2024-09,144,33
LegacySignalMonth_GLD,2024-10,2024-09,2024-10,144,33
LegacySignalMonth_GLD,2024-11,2024-10,2024-11,144,33
LegacySignalMonth_GLD,2024-12,2024-11,2024-12,144,33
LegacySignalMonth_GLD,2025-01,2024-12,2025-01,144,33
LegacySignalMonth_GLD,2025-02,2025-01,2025-02,144,33
LegacySignalMonth_GLD,2025-03,2025-02,2025-03,144,33
LegacySignalMonth_GLD,2025-04,2025-03,2025-04,144,33
LegacySignalMonth_GLD,2025-05,2025-04,2025-05,144,33
LegacySignalMonth_GLD,2025-06,2025-05,2025-06,144,33
LegacySignalMonth_GLD,2025-07,2025-06,2025-07,144,33
LegacySignalMonth_GLD,2025-08,2025-07,2025-08,144,33
LegacySignalMonth_GLD,2025-09,2025-08,2025-09,144,33
LegacySignalMonth_GLD,2025-10,2025-09,2025-10,144,33
LegacySignalMonth_GLD,2025-11,2025-10,2025-11,144,33
LegacySignalMonth_GLD,2025-12,2025-11,2025-12,144,33
LegacySignalMonth_GLD,2026-01,2025-12,2026-01,144,33
LegacySignalMonth_GLD,2026-02,2026-01,2026-02,144,33
LegacySignalMonth_GLD,2026-03,2026-02,2026-03,144,33
LegacySignalMonth_GLD,2026-04,2026-03,2026-04,144,33
LegacySignalMonth_GLD,2026-05,2026-04,2026-05,144,33
LegacySignalMonth_GLD,2026-06,2026-05,2026-06,144,33
RobustMultiscale_BOND,2012-04,2012-03,2012-04,60,38
RobustMultiscale_BOND,2012-05,2012-04,2012-05,61,38
RobustMultiscale_BOND,2012-06,2012-05,2012-06,62,38
RobustMultiscale_BOND,2012-07,2012-06,2012-07,63,38
RobustMultiscale_BOND,2012-08,2012-07,2012-08,64,38
RobustMultiscale_BOND,2012-09,2012-08,2012-09,65,38
RobustMultiscale_BOND,2012-10,2012-09,2012-10,66,38
RobustMultiscale_BOND,2012-11,2012-10,2012-11,67,38
RobustMultiscale_BOND,2012-12,2012-11,2012-12,68,38
RobustMultiscale_BOND,2013-01,2012-12,2013-01,69,38
RobustMultiscale_BOND,2013-02,2013-01,2013-02,70,38
RobustMultiscale_BOND,2013-03,2013-02,2013-03,71,38
RobustMultiscale_BOND,2013-04,2013-03,2013-04,72,38
RobustMultiscale_BOND,2013-05,2013-04,2013-05,73,38
RobustMultiscale_BOND,2013-06,2013-05,2013-06,74,38
RobustMultiscale_BOND,2013-07,2013-06,2013-07,75,38
RobustMultiscale_BOND,2013-08,2013-07,2013-08,76,38
RobustMultiscale_BOND,2013-09,2013-08,2013-09,77,38
RobustMultiscale_BOND,2013-10,2013-09,2013-10,78,38
RobustMultiscale_BOND,2013-11,2013-10,2013-11,79,38
RobustMultiscale_BOND,2013-12,2013-11,2013-12,80,38
RobustMultiscale_BOND,2014-01,2013-12,2014-01,81,38
RobustMultiscale_BOND,2014-02,2014-01,2014-02,82,38
RobustMultiscale_BOND,2014-03,2014-02,2014-03,83,38
RobustMultiscale_BOND,2014-04,2014-03,2014-04,84,38
RobustMultiscale_BOND,2014-05,2014-04,2014-05,85,38
RobustMultiscale_BOND,2014-06,2014-05,2014-06,86,38
RobustMultiscale_BOND,2014-07,2014-06,2014-07,87,38
RobustMultiscale_BOND,2014-08,2014-07,2014-08,88,38
RobustMultiscale_BOND,2014-09,2014-08,2014-09,89,38
RobustMultiscale_BOND,2014-10,2014-09,2014-10,90,38
RobustMultiscale_BOND,2014-11,2014-10,2014-11,91,38
RobustMultiscale_BOND,2014-12,2014-11,2014-12,92,38
RobustMultiscale_BOND,2015-01,2014-12,2015-01,93,38
RobustMultiscale_BOND,2015-02,2015-01,2015-02,94,38
RobustMultiscale_BOND,2015-03,2015-02,2015-03,95,38
RobustMultiscale_BOND,2015-04,2015-03,2015-04,96,38
RobustMultiscale_BOND,2015-05,2015-04,2015-05,97,38
RobustMultiscale_BOND,2015-06,2015-05,2015-06,98,38
RobustMultiscale_BOND,2015-07,2015-06,2015-07,99,38
RobustMultiscale_BOND,2015-08,2015-07,2015-08,100,38
RobustMultiscale_BOND,2015-09,2015-08,2015-09,101,38
RobustMultiscale_BOND,2015-10,2015-09,2015-10,102,38
RobustMultiscale_BOND,2015-11,2015-10,2015-11,103,38
RobustMultiscale_BOND,2015-12,2015-11,2015-12,104,38
RobustMultiscale_BOND,2016-01,2015-12,2016-01,105,38
RobustMultiscale_BOND,2016-02,2016-01,2016-02,106,38
RobustMultiscale_BOND,2016-03,2016-02,2016-03,107,38
RobustMultiscale_BOND,2016-04,2016-03,2016-04,108,38
RobustMultiscale_BOND,2016-05,2016-04,2016-05,109,38
RobustMultiscale_BOND,2016-06,2016-05,2016-06,110,38
RobustMultiscale_BOND,2016-07,2016-06,2016-07,111,38
RobustMultiscale_BOND,2016-08,2016-07,2016-08,112,38
RobustMultiscale_BOND,2016-09,2016-08,2016-09,113,38
RobustMultiscale_BOND,2016-10,2016-09,2016-10,114,38
RobustMultiscale_BOND,2016-11,2016-10,2016-11,115,38
RobustMultiscale_BOND,2016-12,2016-11,2016-12,116,38
RobustMultiscale_BOND,2017-01,2016-12,2017-01,117,38
RobustMultiscale_BOND,2017-02,2017-01,2017-02,118,38
RobustMultiscale_BOND,2017-03,2017-02,2017-03,119,38
RobustMultiscale_BOND,2017-04,2017-03,2017-04,120,38
RobustMultiscale_BOND,2017-05,2017-04,2017-05,121,38
RobustMultiscale_BOND,2017-06,2017-05,2017-06,122,38
RobustMultiscale_BOND,2017-07,2017-06,2017-07,123,38
RobustMultiscale_BOND,2017-08,2017-07,2017-08,124,38
RobustMultiscale_BOND,2017-09,2017-08,2017-09,125,38
RobustMultiscale_BOND,2017-10,2017-09,2017-10,126,38
RobustMultiscale_BOND,2017-11,2017-10,2017-11,127,38
RobustMultiscale_BOND,2017-12,2017-11,2017-12,128,38
RobustMultiscale_BOND,2018-01,2017-12,2018-01,129,38
RobustMultiscale_BOND,2018-02,2018-01,2018-02,130,38
RobustMultiscale_BOND,2018-03,2018-02,2018-03,131,38
RobustMultiscale_BOND,2018-04,2018-03,2018-04,132,38
RobustMultiscale_BOND,2018-05,2018-04,2018-05,133,38
RobustMultiscale_BOND,2018-06,2018-05,2018-06,134,38
RobustMultiscale_BOND,2018-07,2018-06,2018-07,135,38
RobustMultiscale_BOND,2018-08,2018-07,2018-08,136,38
RobustMultiscale_BOND,2018-09,2018-08,2018-09,137,38
RobustMultiscale_BOND,2018-10,2018-09,2018-10,138,38
RobustMultiscale_BOND,2018-11,2018-10,2018-11,139,38
RobustMultiscale_BOND,2018-12,2018-11,2018-12,140,38
RobustMultiscale_BOND,2019-01,2018-12,2019-01,141,38
