Month,ExistingReturn,RobustReturn,ReturnDelta,RelativeFactor,CumulativeRelative,ExistingAvgStress,RobustAvgStress,ExistingAvgTransfer,RobustAvgTransfer
2020-04,0.05501796531407854,0.05537218899756846,0.0003542236834899182,1.000335751328542,0.026937604743154653,0.28166983475645935,0.08383286263266565,0.07041745868911484,0.029341501921432974
2020-05,0.044833198273131813,0.04481738880857056,-1.5809464561256092e-05,0.9999848689105711,0.026922066058419514,0.0651232825145868,0.001957462827028034,0.0162808206286467,0.0006851119894598118
2020-06,0.025222279745198417,0.02523020471349713,7.924968298711477e-06,1.0000077300000745,0.026930004166066723,0.17737063554163882,0.041478155690531614,0.044342658885409704,0.014517354491686063
2020-07,0.0538369730335424,0.0538369730335424,0.0,1.0,0.026930004166066723,0.0,0.011495732836548972,0.0,0.004023506492792139
2020-08,0.005180882234580686,0.005180882234580686,0.0,1.0,0.026930004166066723,0.016124819450859827,0.009051252647194826,0.004031204862714957,0.0031679384265181896
2020-09,-0.005254097554964199,-0.005254097554964199,0.0,1.0,0.026930004166066723,0.018379822410425087,0.04386861424004191,0.004594955602606272,0.01535401498401467
2020-10,-0.02501884143372235,-0.02501884143372235,0.0,1.0,0.026930004166066723,0.0,0.022513923179373167,0.0,0.007879873112780607
2020-11,0.04454695339340886,0.04068305466921962,-0.003863898724189241,0.9963008855546066,0.023131272553248206,0.034923501122659587,0.03992279013591863,0.008730875280664897,0.013972976547571517
2020-12,0.07791230494507984,0.07785388638023827,-5.8418564841566933e-05,0.999945803972574,0.023075822902740573,0.002819310835129195,0.005035535695741877,0.0007048277087822988,0.001762437493509657
2021-01,0.019004993428495487,0.019004993428495487,0.0,1.0,0.023075822902740573,0.10439098857019313,0.05524653537742046,0.026097747142548283,0.019336287382097157
2021-02,0.008076300851331819,0.009671162916794707,0.0015948620654628876,1.001582084673666,0.024694415482153342,0.02482866116069641,0.0435739110268414,0.006207165290174102,0.01525086885939449
2021-03,-0.006378128760614721,-0.0063314702799186495,4.665848069607126e-05,1.0000469579847693,0.024742533066908656,0.0029201333808151846,0.003014793019310564,0.0007300333452037962,0.0010551775567586973
2021-04,0.012691175366225549,0.012691540408254598,3.6504202904907856e-07,1.0000003604672756,0.024742902453057658,0.0,0.022582647682667965,0.0,0.007903926688933787
2021-05,0.0260360305064542,0.0260360305064542,0.0,1.0,0.024742902453057658,0.03111848138790007,0.0576353405587275,0.007779620346975017,0.020172369195554627
2021-06,0.024927142895703414,0.024927142895703414,0.0,1.0,0.024742902453057658,0.0,0.023163207687770405,0.0,0.00810712269071964
2021-07,0.004324491894501792,0.004324491894501792,0.0,1.0,0.024742902453057658,0.017479140702208337,0.03144388841083676,0.004369785175552084,0.011005360943792864
2021-08,-0.013392645190008379,-0.013475291687855329,-8.264649784694988e-05,0.9999162316219882,0.02465706140224011,0.024644576863667753,0.03914823468471796,0.006161144215916938,0.013701882139651284
2021-09,0.026839893013790528,0.02684497438527389,5.081371483361963e-06,1.0000049485528542,0.02466213197186584,0.00039934225980737463,0.002688824236759811,9.983556495184366e-05,0.0009410884828659337
2021-10,0.023888617302520343,0.023888617302520343,0.0,1.0,0.02466213197186584,0.044835201365809416,0.03132986742139733,0.011208800341452354,0.010965453597489063
2021-11,-0.043194066771641504,-0.043194066771641504,0.0,1.0,0.02466213197186584,0.01306853319840332,0.015159596264549395,0.00326713329960083,0.005305858692592287
2021-12,0.03774264849993303,0.03713124209944563,-0.000611406400487402,0.9994108304198819,0.0240584322138091,0.044785450325583585,0.05199451769039047,0.011196362581395896,0.018198081191636663
2022-01,0.038055189325780336,0.03802989079559338,-2.5298530186956825e-05,0.9999756289160276,0.02403347479976503,0.12013315708740055,0.07106185289360024,0.030033289271850137,0.024871648512760084
2022-02,0.05503029502903867,0.05598015436159387,0.0009498593325552029,1.0009003147464397,0.02495542723797506,0.1760114722728944,0.05155118886387754,0.0440028680682236,0.018042916102357136
2022-03,0.0168713310345856,0.01757597336907568,0.0007046423344900798,1.0006929513233234,0.025665671457627104,0.21368285782268484,0.08291781768851238,0.05342071445567121,0.029021236190979332
2022-04,0.01776651660729356,0.017763602152234492,-2.914455059066512e-06,0.9999971364207689,0.02566273438271227,0.03447291196581837,0.015394556905834852,0.008618227991454593,0.005388094917042198
2022-05,0.04569754303709139,0.04569754303709139,0.0,1.0,0.02566273438271227,0.03500679711433682,0.008288396829421516,0.008751699278584204,0.00290093889029753
2022-06,-0.029372399760893453,-0.029372399760893453,0.0,1.0,0.02566273438271227,0.2731497353152029,0.14936581810596156,0.06828743382880073,0.05227803633708654
2022-07,-0.018233581853045466,-0.019604248716129535,-0.001370666863084069,0.9986038768104626,0.024230782854596233,0.10286090720873327,0.02174273668003944,0.025715226802183317,0.007609957838013805
2022-08,-0.016242859160230716,-0.016165875326032197,7.698383419851851e-05,1.000078254917807,0.02431093395032402,0.0,0.008787804995747831,0.0,0.0030757317485117404
2022-09,0.042749352711437094,0.042749352711437094,0.0,1.0,0.02431093395032402,0.10213197857339851,0.06442837918724319,0.025532994643349627,0.022549932715535115
2022-10,-0.0233721708588146,-0.023393482683883526,-2.1311825068925927e-05,0.9999781781509466,0.024288581591739522,0.243023066883714,0.10401802849942714,0.0607557667209285,0.036406309974799496
2022-11,-0.011755704460081562,-0.011756631762036118,-9.273019545563699e-07,0.9999990616672834,0.024287620468252058,0.0,0.0,0.0,0.0
2022-12,0.0115814820413922,0.0115814820413922,0.0,1.0,0.024287620468252058,0.0,0.00879579534080198,0.0,0.003078528369280693
2023-01,0.033441481909315174,0.03342872104734451,-1.2760861970662063e-05,0.9999876520710712,0.02427497263751177,0.0,0.004751229209212349,0.0,0.0016629302232243222
2023-02,0.009636150633065554,0.009638478022415242,2.3273893496877918e-06,1.0000023051763234,0.024277333771927312,0.0,0.0015383410053667113,0.0,0.000538419351878349
2023-03,0.07254415402367531,0.0725445095618591,3.5553818378275537e-07,1.0000003314904868,0.02427767331011932,0.013350800147201653,0.04890435159415905,0.0033377000368004133,0.017116523057955666
2023-04,0.03591924230192012,0.03591924230192012,0.0,1.0,0.02427767331011932,0.0,0.005868955628663033,0.0,0.0020541344700320614
2023-05,-0.003741287725289477,-0.003741287725289477,0.0,1.0,0.02427767331011932,0.0,0.011876037367202668,0.0,0.0041566130785209345
