name,stage,mode,level_threshold,momentum_window,spike_threshold,max_risk_transfer,bond_share,rebalance_band,financing_rate,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Validation_CAGR,Validation_Sharpe,Validation_MDD,Validation_Calmar,AvgTurnover,TotalCost
level_lt0.80_mw10_st0.10_rt0.75_bs0.50_rb0.10,coarse,level,0.8,10,0.1,0.75,0.5,0.1,0.04,0.11912483835149845,0.8904185727867023,-0.13996121253399985,0.8511275102204494,0.012710960592382303,0.2111070419854844,-0.11635037245981206,0.10924727032371749,0.3081161891852759,0.12437328315819418
level_lt0.80_mw10_st0.10_rt1.00_bs0.50_rb0.05,coarse,level,0.8,10,0.1,1.0,0.5,0.05,0.04,0.11395451384820054,0.8476009659349035,-0.16190612331585585,0.7038307848671757,0.004692160858035033,0.1001720017246678,-0.13883166844414996,0.03379748230802703,0.44125176160448776,0.17897414485232294
level_lt0.80_mw10_st0.10_rt1.00_bs0.50_rb0.10,coarse,level,0.8,10,0.1,1.0,0.5,0.1,0.04,0.11550332226529747,0.8609699598145116,-0.1577534466829491,0.7321762198795859,0.0073569288347792305,0.13579415596540192,-0.13871469392895897,0.053036406067745005,0.39916719182471383,0.16165650073844962
level_lt0.90_mw10_st0.10_rt0.25_bs0.50_rb0.05,coarse,level,0.9,10,0.1,0.25,0.5,0.05,0.04,0.12914614994923213,0.9554008641918935,-0.13169814370871857,0.9806224014430243,0.020744212774469917,0.3231976330609282,-0.10779191297421586,0.19244683763458204,0.15142875178236465,0.060479166022897185
level_lt0.90_mw10_st0.10_rt0.25_bs0.50_rb0.10,coarse,level,0.9,10,0.1,0.25,0.5,0.1,0.04,0.12830126132398045,0.944343242152563,-0.13001562033708947,0.9868142073339786,0.020216105712245414,0.316797972549487,-0.10572051355882583,0.1912221671246102,0.12953899579950812,0.05148419045984033
level_lt0.90_mw10_st0.10_rt0.50_bs0.50_rb0.05,coarse,level,0.9,10,0.1,0.5,0.5,0.05,0.04,0.12697778717601427,0.9401797953814202,-0.13524816036212883,0.9388503831477595,0.016927066860951356,0.26974030055789544,-0.10939418009550272,0.15473461975923927,0.21685797585896605,0.08717880743513284
level_lt0.90_mw10_st0.10_rt0.50_bs0.50_rb0.10,coarse,level,0.9,10,0.1,0.5,0.5,0.1,0.04,0.1276784758123899,0.9423830467713697,-0.13506913561495704,0.9452823935763106,0.017920400791500146,0.28718581686308725,-0.10572051355882583,0.16950731876201808,0.19795155210046989,0.07944085262458761
level_lt0.90_mw10_st0.10_rt0.75_bs0.50_rb0.05,coarse,level,0.9,10,0.1,0.75,0.5,0.05,0.04,0.12615579013676914,0.9256285044578839,-0.13922703851334917,0.9061155899302796,0.014674777474972034,0.2388000955638391,-0.1114930000973452,0.13162061709846715,0.2850436313301119,0.11515388858968609
level_lt0.90_mw10_st0.10_rt0.75_bs0.50_rb0.10,coarse,level,0.9,10,0.1,0.75,0.5,0.1,0.04,0.12572095333660638,0.9258888900410723,-0.13891483808004423,0.9050217750256787,0.014336550674763027,0.23354018090332573,-0.11312679727320507,0.12672992624497065,0.2652549551120159,0.10697442289363902
level_lt0.90_mw10_st0.10_rt1.00_bs0.50_rb0.05,coarse,level,0.9,10,0.1,1.0,0.5,0.05,0.04,0.12601627260678838,0.9205833210165352,-0.14264450255597794,0.8834288763237536,0.01104256219026123,0.18714788661203563,-0.1258607147970615,0.0877363695897192,0.35185509924840136,0.14256183404069284
