target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2007-05,2007-04,2007-04-30,0.6127988414245917,kr_plus_global,0.7519922761639449,0.028557038529337664,1.0,0.9999765309093985,1796,53,5
2007-06,2007-05,2007-05-31,0.5405080645157698,kr_plus_global,0.27005376343846554,0.037699237699237775,1.0,0.9999999750022542,1817,53,13
2007-07,2007-06,2007-06-29,0.5148349364642459,kr_plus_global,0.09889957642830627,0.13049568478604678,1.0,0.8601440212972298,1837,53,13
2007-08,2007-07,2007-07-31,0.5048656356009076,kr_plus_global,0.03243757067271721,-0.056769810085134154,0.0,0.9999596578659776,1858,53,14
2007-09,2007-08,2007-08-31,0.5366951610690356,kr_plus_global,0.24463440712690393,-0.007302333389289872,0.0,-0.9999991847836239,1880,53,13
2007-10,2007-09,2007-09-28,0.5692715409329413,kr_plus_global,0.46181027288627535,0.04239482200647249,1.0,0.0001755604417572977,1897,53,7
2007-11,2007-10,2007-10-31,0.5654218493411056,kr_plus_global,0.4361456622740375,-0.039205898164503594,0.0,-0.9450637431344755,1919,53,5
2007-12,2007-11,2007-11-30,0.5509352580389104,kr_plus_global,0.33956838692606944,-0.001694845190360006,0.0,-0.9999999589054948,1941,53,4
2008-01,2007-12,2007-12-28,0.5751337024923553,kr_plus_global,0.5008913499490353,-0.08438678658764043,0.0,-0.7741586703379835,1959,53,5
2008-02,2008-01,2008-01-31,0.6226562557142851,kr_plus_global,0.8177083714285671,0.051017952543678025,1.0,-0.9999999953550969,1981,53,5
2008-03,2008-02,2008-02-29,0.5884238444363009,kr_plus_global,0.5894922962420062,-0.06557528245330879,0.0,-0.9872035097491464,1999,53,3
2008-04,2008-03,2008-03-31,0.5904145080919049,kr_plus_global,0.6027633872793658,0.026923960487020393,1.0,0.020412052203962208,2020,53,3
2008-05,2008-04,2008-04-30,0.6968333394234499,kr_plus_global,1.0,0.032638297872340516,1.0,0.9999463354963853,2041,53,16
2008-06,2008-05,2008-05-30,0.6306978116311611,kr_plus_global,0.8713187442077408,-0.05285100648530283,0.0,-0.000526428592775884,2060,53,11
2008-07,2008-06,2008-06-30,0.5951796595662598,kr_plus_global,0.6345310637750656,-0.06744098913450725,0.0,-0.99998882425897,2080,53,2
