Period,Target,Feature,AUC,DirectionalAUC,HighMeansRisk,Observations,Events
locked,final_loss3,vkospi_return_vol_21,0.6344086021505376,0.6344086021505376,True,103,10
locked,final_loss3,vkospi_positive_fraction_21,0.8473118279569892,0.8473118279569892,True,103,10
locked,final_loss3,vkospi_intraday_range_21,0.6666666666666667,0.6666666666666667,True,103,10
locked,final_loss3,vkospi_close_location_21,0.6989247311827957,0.6989247311827957,True,103,10
locked,final_loss3,vkospi_month_mean,0.532258064516129,0.532258064516129,True,103,10
locked,final_loss3,vkospi_month_max,0.5655913978494623,0.5655913978494623,True,103,10
locked,final_loss3,vkospi_month_min,0.4661290322580645,0.5338709677419355,False,103,10
locked,final_loss3,vkospi_month_range,0.6430107526881721,0.6430107526881721,True,103,10
locked,final_loss3,vkospi_month_return,0.7827956989247311,0.7827956989247311,True,103,10
locked,final_loss3,vkospi_oap_mom12m,0.5526881720430108,0.5526881720430108,True,103,10
locked,final_loss3,vkospi_oap_mom6m,0.5838709677419354,0.5838709677419354,True,103,10
locked,final_loss3,vkospi_oap_intmom,0.5075268817204301,0.5075268817204301,True,103,10
locked,final_loss3,vkospi_oap_streversal,0.8139784946236559,0.8139784946236559,True,103,10
locked,final_loss3,vkospi_oap_mrreversal,0.267741935483871,0.732258064516129,False,103,10
locked,final_loss3,vkospi_oap_lrreversal,0.4913978494623656,0.5086021505376344,False,103,10
locked,final_loss3,vkospi_oap_high52,0.8424731182795699,0.8424731182795699,True,103,10
locked,final_loss3,vkospi_oap_realized_vol_21,0.6344086021505376,0.6344086021505376,True,103,10
locked,final_loss3,vkospi_oap_max_return_21,0.6155913978494624,0.6155913978494624,True,103,10
locked,final_loss3,vkospi_oap_return_skew_21,0.46344086021505376,0.5365591397849463,False,103,10
locked,final_loss3,vkospi_oap_beta_21,0.5129032258064516,0.5129032258064516,True,103,10
locked,final_loss3,vkospi_oap_residual_vol_21,0.46559139784946235,0.5344086021505376,False,103,10
locked,final_loss3,vkospi_level_stress,0.6301075268817204,0.6301075268817204,True,103,10
locked,final_loss3,vkospi_momentum_stress,0.7870967741935484,0.7870967741935484,True,103,10
locked,final_loss3,vkospi_range_stress,0.6903225806451613,0.6903225806451613,True,103,10
locked,final_loss3,vkospi_relative_vix_stress,0.5408602150537635,0.5408602150537635,True,103,10
