target_month,signal_date,factor_name,score,p_up,realized_10d_return,realized_up
2011-05,2011-04-29,duration_aware_hsmm,0.9963015282662253,0.9981507641331127,-0.045042238650195854,0.0
2011-06,2011-05-31,duration_aware_hsmm,-2.252790550738167e-06,0.4999988736047246,-0.030117513671188867,0.0
2011-07,2011-06-30,duration_aware_hsmm,9.091815045940403e-06,0.500004545907523,0.007929227340887524,1.0
2011-08,2011-07-29,duration_aware_hsmm,0.9631548866530866,0.9815774433265433,-0.16741428143718828,0.0
2011-09,2011-08-31,duration_aware_hsmm,-0.29999999999989,0.350000000000055,-0.018491667142093604,0.0
2011-10,2011-09-30,duration_aware_hsmm,-0.9999999999987033,6.483702463810914e-13,0.05601219101087951,1.0
2011-11,2011-10-31,duration_aware_hsmm,0.9998559333455551,0.9999279666727776,-0.011503234798902806,0.0
2011-12,2011-11-30,duration_aware_hsmm,-0.9999991117472546,4.441263726784328e-07,0.0034921892240424857,1.0
2012-01,2011-12-29,duration_aware_hsmm,-0.9998798888479304,6.0055576034778735e-05,0.03220480434620776,1.0
2012-02,2012-01-31,duration_aware_hsmm,4.258228281603599e-05,0.500021291141408,0.019923603369249587,1.0
2012-03,2012-02-29,duration_aware_hsmm,4.292391948363441e-06,0.5000021461959742,0.011820976069195854,1.0
2012-04,2012-03-30,duration_aware_hsmm,-0.13145151491179083,0.43427424254410457,-0.0053652912062636116,0.0
2012-05,2012-04-30,duration_aware_hsmm,-0.7000123627524898,0.1499938186237551,-0.04423093478374385,0.0
2012-06,2012-05-31,duration_aware_hsmm,-0.22017529321187698,0.3899123533940615,0.012854599711602077,1.0
2012-07,2012-06-29,duration_aware_hsmm,-0.6996540415734268,0.1501729792132866,-0.02520894229530235,0.0
2012-08,2012-07-31,duration_aware_hsmm,0.7143049324658128,0.8571524662329064,0.04127623517376189,1.0
2012-09,2012-08-31,duration_aware_hsmm,0.00028624987324743224,0.5001431249366237,0.05922229014500213,1.0
2012-10,2012-09-28,duration_aware_hsmm,0.8991616396529216,0.9495808198264608,-0.032116840976731176,0.0
2012-11,2012-10-31,duration_aware_hsmm,-3.18928613244703e-05,0.4999840535693378,-0.011155503270179667,0.0
2012-12,2012-11-30,duration_aware_hsmm,0.0031726903991770197,0.5015863451995886,0.04050075148880783,1.0
2013-01,2012-12-28,duration_aware_hsmm,0.9999995828964074,0.9999997914482037,-0.006200755949406278,0.0
2013-02,2013-01-31,duration_aware_hsmm,-0.00030221054188886524,0.4998488947290556,0.015552836179886675,1.0
2013-03,2013-02-28,duration_aware_hsmm,0.12766094889838858,0.5638304744491943,-0.02716205155399265,0.0
2013-04,2013-03-28,duration_aware_hsmm,0.6999672288847825,0.8499836144423912,-0.02305840066924647,0.0
2013-05,2013-04-30,duration_aware_hsmm,-1.558863655563729e-06,0.4999992205681722,0.001367565033173923,1.0
2013-06,2013-05-31,duration_aware_hsmm,0.9999903019120886,0.9999951509560443,-0.06275108911949989,0.0
2013-07,2013-06-28,duration_aware_hsmm,-0.0533084230875564,0.47334578845622177,0.0024829675948072616,1.0
2013-08,2013-07-31,duration_aware_hsmm,-0.4035506155869191,0.29822469220654046,0.0024218885016238367,1.0
2013-09,2013-08-30,duration_aware_hsmm,0.40888565917826714,0.7044428295891336,0.036290943840903145,1.0
2013-10,2013-09-30,duration_aware_hsmm,0.9999996385309379,0.9999998192654689,0.028187748614441288,1.0
