Period,Target,Feature,AUC,DirectionalAUC,HighMeansRisk,N,Events
locked,final_loss3,sector_corr_dispersion_63,0.6236559139784945,0.6236559139784945,True,103,10
locked,final_loss3,sector_eigen_ratio_63,0.46129032258064506,0.5387096774193549,False,103,10
locked,final_loss3,sector_positive_breadth_5,0.446236559139785,0.553763440860215,False,103,10
locked,final_loss3,sector_return_dispersion_5,0.5946236559139785,0.5946236559139785,True,103,10
locked,final_loss3,sector_positive_breadth_20,0.35537634408602153,0.6446236559139784,False,103,10
locked,final_loss3,sector_return_dispersion_20,0.6419354838709678,0.6419354838709678,True,103,10
locked,final_loss3,kospi_skew_21,0.443010752688172,0.556989247311828,False,103,10
locked,final_loss3,kospi_excess_kurt_21,0.3548387096774194,0.6451612903225806,False,103,10
locked,final_loss3,kospi_skew_63,0.4526881720430107,0.5473118279569893,False,103,10
locked,final_loss3,kospi_excess_kurt_63,0.41075268817204297,0.5892473118279571,False,103,10
locked,final_loss3,kospi_skew_126,0.3881720430107527,0.6118279569892473,False,103,10
locked,final_loss3,volume_ratio_5_20,0.5537634408602151,0.5537634408602151,True,103,10
locked,final_loss3,volume_ratio_20_63,0.6827956989247311,0.6827956989247311,True,103,10
locked,final_loss3,volume_z_63,0.6333333333333333,0.6333333333333333,True,103,10
locked,final_loss3,down_volume_share_20,0.6365591397849463,0.6365591397849463,True,103,10
locked,final_loss3,signed_volume_imbalance_20,0.36989247311827955,0.6301075268817204,False,103,10
locked,final_loss3,index_volume_proxy_ratio_5_20,0.5612903225806452,0.5612903225806452,True,103,10
locked,final_loss3,index_volume_proxy_ratio_20_63,0.6483870967741936,0.6483870967741936,True,103,10
locked,final_loss3,index_volume_proxy_z_63,0.5946236559139785,0.5946236559139785,True,103,10
locked,final_loss3,index_volume_proxy_momentum_20,0.5709677419354839,0.5709677419354839,True,103,10
locked,final_loss3,index_volume_proxy_down_share_20,0.632258064516129,0.632258064516129,True,103,10
locked,final_loss3,corr_kospi_semiconductor_63,0.49999999999999994,0.5,False,103,10
locked,final_loss3,corr_kospi_bank_63,0.3666666666666667,0.6333333333333333,False,103,10
locked,final_loss3,corr_cyclical_defensive_63,0.48387096774193555,0.5161290322580645,False,103,10
calibration,final_loss4,sector_mean_corr_21,0.6537037037037037,0.6537037037037037,True,129,9
calibration,final_loss4,sector_corr_dispersion_21,0.35555555555555557,0.6444444444444444,False,129,9
calibration,final_loss4,sector_eigen_ratio_21,0.650925925925926,0.650925925925926,True,129,9
calibration,final_loss4,sector_mean_corr_63,0.6305555555555555,0.6305555555555555,True,129,9
calibration,final_loss4,sector_corr_dispersion_63,0.36666666666666664,0.6333333333333333,False,129,9
calibration,final_loss4,sector_eigen_ratio_63,0.6268518518518518,0.6268518518518518,True,129,9
calibration,final_loss4,sector_positive_breadth_5,0.49583333333333324,0.5041666666666668,False,129,9
calibration,final_loss4,sector_return_dispersion_5,0.5675925925925926,0.5675925925925926,True,129,9
calibration,final_loss4,sector_positive_breadth_20,0.42361111111111105,0.576388888888889,False,129,9
calibration,final_loss4,sector_return_dispersion_20,0.5935185185185184,0.5935185185185184,True,129,9
calibration,final_loss4,kospi_skew_21,0.4712962962962962,0.5287037037037038,False,129,9
calibration,final_loss4,kospi_excess_kurt_21,0.5138888888888888,0.5138888888888888,True,129,9
calibration,final_loss4,kospi_skew_63,0.6324074074074074,0.6324074074074074,True,129,9
calibration,final_loss4,kospi_excess_kurt_63,0.3324074074074074,0.6675925925925926,False,129,9
calibration,final_loss4,kospi_skew_126,0.5648148148148149,0.5648148148148149,True,129,9
calibration,final_loss4,volume_ratio_5_20,0.47407407407407415,0.5259259259259259,False,129,9
calibration,final_loss4,volume_ratio_20_63,0.5305555555555556,0.5305555555555556,True,129,9
calibration,final_loss4,volume_z_63,0.5944444444444443,0.5944444444444443,True,129,9
calibration,final_loss4,down_volume_share_20,0.600925925925926,0.600925925925926,True,129,9
calibration,final_loss4,signed_volume_imbalance_20,0.4018518518518518,0.5981481481481482,False,129,9
calibration,final_loss4,index_volume_proxy_ratio_5_20,0.4611111111111111,0.538888888888889,False,129,9
calibration,final_loss4,index_volume_proxy_ratio_20_63,0.55,0.55,True,129,9
calibration,final_loss4,index_volume_proxy_z_63,0.5851851851851853,0.5851851851851853,True,129,9
calibration,final_loss4,index_volume_proxy_momentum_20,0.5537037037037037,0.5537037037037037,True,129,9
calibration,final_loss4,index_volume_proxy_down_share_20,0.6018518518518519,0.6018518518518519,True,129,9
calibration,final_loss4,corr_kospi_semiconductor_63,0.7027777777777777,0.7027777777777777,True,129,9
calibration,final_loss4,corr_kospi_bank_63,0.548148148148148,0.548148148148148,True,129,9
calibration,final_loss4,corr_cyclical_defensive_63,0.5148148148148148,0.5148148148148148,True,129,9
locked,final_loss4,sector_mean_corr_21,0.5446428571428572,0.5446428571428572,True,103,7
locked,final_loss4,sector_corr_dispersion_21,0.42113095238095233,0.5788690476190477,False,103,7
locked,final_loss4,sector_eigen_ratio_21,0.5342261904761905,0.5342261904761905,True,103,7
locked,final_loss4,sector_mean_corr_63,0.4553571428571429,0.5446428571428571,False,103,7
locked,final_loss4,sector_corr_dispersion_63,0.5148809523809523,0.5148809523809523,True,103,7
locked,final_loss4,sector_eigen_ratio_63,0.45238095238095233,0.5476190476190477,False,103,7
locked,final_loss4,sector_positive_breadth_5,0.37276785714285715,0.6272321428571428,False,103,7
locked,final_loss4,sector_return_dispersion_5,0.7559523809523809,0.7559523809523809,True,103,7
locked,final_loss4,sector_positive_breadth_20,0.43973214285714285,0.5602678571428572,False,103,7
locked,final_loss4,sector_return_dispersion_20,0.7336309523809523,0.7336309523809523,True,103,7
locked,final_loss4,kospi_skew_21,0.4270833333333333,0.5729166666666667,False,103,7
locked,final_loss4,kospi_excess_kurt_21,0.45535714285714285,0.5446428571428572,False,103,7
locked,final_loss4,kospi_skew_63,0.40476190476190477,0.5952380952380952,False,103,7
locked,final_loss4,kospi_excess_kurt_63,0.5252976190476191,0.5252976190476191,True,103,7
locked,final_loss4,kospi_skew_126,0.37053571428571425,0.6294642857142858,False,103,7
locked,final_loss4,volume_ratio_5_20,0.7351190476190476,0.7351190476190476,True,103,7
locked,final_loss4,volume_ratio_20_63,0.75,0.75,True,103,7
locked,final_loss4,volume_z_63,0.7797619047619047,0.7797619047619047,True,103,7
locked,final_loss4,down_volume_share_20,0.5610119047619048,0.5610119047619048,True,103,7
locked,final_loss4,signed_volume_imbalance_20,0.44494047619047616,0.5550595238095238,False,103,7
locked,final_loss4,index_volume_proxy_ratio_5_20,0.7604166666666667,0.7604166666666667,True,103,7
locked,final_loss4,index_volume_proxy_ratio_20_63,0.7351190476190477,0.7351190476190477,True,103,7
locked,final_loss4,index_volume_proxy_z_63,0.7604166666666667,0.7604166666666667,True,103,7
locked,final_loss4,index_volume_proxy_momentum_20,0.7247023809523809,0.7247023809523809,True,103,7
locked,final_loss4,index_volume_proxy_down_share_20,0.5580357142857143,0.5580357142857143,True,103,7
locked,final_loss4,corr_kospi_semiconductor_63,0.5208333333333334,0.5208333333333334,True,103,7
locked,final_loss4,corr_kospi_bank_63,0.306547619047619,0.6934523809523809,False,103,7
locked,final_loss4,corr_cyclical_defensive_63,0.4821428571428571,0.5178571428571429,False,103,7
