date,month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,stress,transfer_fraction,oil_cut,bond_share,state,signal_date,early_warning,confirmed_risk_off,panic,recovery,right_tail_relief,w_KODEX200,w_BOND,w_GLD,w_USO
2016-02-09,2016-02,-0.0016899832533126017,-0.0016899832533126017,2.6716713545386943,-0.09346685702808544,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.4950186402018969,0.8208816304689609,0.17870106842269112,3.653982929790256e-18
2016-02-10,2016-02,0.0005176013527199457,0.0005176013527199457,2.6730542152458265,-0.0929976342469978,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.49585662960196825,0.8222712551197937,0.17738785229967236,3.4121798077966655e-18
2016-02-11,2016-02,-0.005558769356938488,-0.005558769356938488,2.658195323384683,-0.09803945120441615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-05,0.0,0.0,0.0,0.0,0.0,0.48690538570220243,0.8252853629935163,0.18314572845157098,3.320513064498246e-18
2016-02-12,2016-02,0.0032999392504285477,0.0032999392504285477,2.6669672064676258,-0.09506303618710754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Calm,2016-02-11,0.0,0.0,0.0,-0.0,0.0,0.48425459326504305,0.8290217185142931,0.1849065480379614,3.512114657729945e-18
2016-02-15,2016-02,0.0020316333198564826,0.0020316333198564826,2.6723855059072497,-0.09322453609905568,0.0,0.0,0.0,0.1304074038458345,0.03260185096145862,1.0,0.0,Calm,2016-02-12,0.0,0.16579724884305438,0.0,0.03363136668691542,0.0,0.48675652370355643,0.8255666825623786,0.18429837459783582,3.500563012446575e-18
2016-02-16,2016-02,0.005235392934401854,0.005235392934401854,2.6863764941028743,-0.08847721024225974,0.0,0.0,0.0,0.17570407399141819,0.043926018497854546,1.0,0.0,Calm,2016-02-15,0.12963398823952801,0.21963009248927273,0.0,0.0,0.0,0.48744623391214464,0.8255403293624196,0.18270525266049348,3.676634134289259e-18
2016-02-17,2016-02,0.008639305022277985,0.008639305022277985,2.7095849200401068,-0.08060228682678483,0.0,0.0,0.0,0.18369283076577342,0.045923207691443355,1.0,0.0,Calm,2016-02-16,0.11347692068929194,0.22961603845721676,0.0,0.0,0.0,0.4904321683987545,0.8211444042833781,0.1816103701800623,3.6454299387869004e-18
2016-02-18,2016-02,1.4203023092541835e-05,1.4203023092541835e-05,2.709623404337297,-0.08058922859983353,0.0,0.0,0.0,0.04828434420980485,0.012071086052451212,1.0,0.0,EarlyWarning,2016-02-17,0.4828434420980484,0.011516509873408687,0.0,0.0,0.0,0.49449888946379456,0.8135375646776297,0.18100229825112407,3.8975545329176855e-18
2016-02-19,2016-02,-0.001993645985742677,-0.001993645985742677,2.7042213745143657,-0.082422208193484,0.0,0.0,0.0,0.12078068543842675,0.030195171359606688,1.0,0.0,Calm,2016-02-18,0.1457030896218132,0.15097585679803344,0.0,0.0,0.0,0.4912883087067366,0.8132392712626559,0.18458034442672036,3.70042299519512e-18
2016-02-22,2016-02,0.004956900665041787,0.004956900665041787,2.7176259312441164,-0.07787386622705061,0.0,0.0,0.0,0.03167394412678718,0.007918486031696795,1.0,0.0,Calm,2016-02-19,0.3167394412678718,0.0,0.0,0.0,0.0,0.4928910790735277,0.8145286242840897,0.1827415586521903,3.873652676430787e-18
