Strategy,max_shift,probability_scale,hard_fraction,leverage,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDD15Pass,CAGRRetention
GeneralHMM,0.15,0.15,0.4,1.2,0.04,129.0,0.11830313675029025,0.13550819253223592,0.8950707464186584,1.6613186867126506,-0.16088888081828978,0.7353095885097461,3.326711104845782,0.6124031007751938,0.1716876994225783,False,0.9748379663302382
GeneralHMM,0.2,0.15,0.4,1.2,0.04,129.0,0.11668130871044591,0.13614645151433924,0.880705142894801,1.6287318154248196,-0.18612479704653073,0.6268982454888903,3.2752119044071546,0.627906976744186,0.20679861441694217,False,0.9614738274618296
DurationAwareHSMM,0.0,0.15,0.4,1.2,0.04,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389,True,1.0
DurationAwareHSMM,0.025,0.15,0.4,1.2,0.04,129.0,0.12025457899108538,0.1369679708853911,0.8999478295278504,1.663558878965807,-0.1422537732587973,0.8453524728114624,3.389649735164934,0.5968992248062015,0.08684817296640296,True,0.9909181822711143
DurationAwareHSMM,0.05,0.15,0.4,1.2,0.04,129.0,0.11890716463272,0.13621806991560412,0.8951975993001364,1.6591754627209638,-0.14225377325879718,0.8358805668823734,3.3460782159736855,0.5968992248062015,0.10629313830058758,True,0.9798152588069158
DurationAwareHSMM,0.075,0.15,0.4,1.2,0.04,129.0,0.11741664626881776,0.135623703863888,0.8885726982360109,1.6491941924890183,-0.1422537732587975,0.8254026840835048,3.298471383363423,0.6046511627906976,0.12654301125106085,True,0.9675331339997664
DurationAwareHSMM,0.1,0.15,0.4,1.2,0.04,129.0,0.11570007754943545,0.13539878117409213,0.8783476182481956,1.626722533131851,-0.1422537732587975,0.8133357372457614,3.2444062556098174,0.6124031007751938,0.14660962170568564,True,0.9533883158196631
DurationAwareHSMM,0.125,0.15,0.4,1.2,0.04,129.0,0.11402472041419243,0.13533877576135164,0.8674578540830362,1.6022821037097492,-0.1422537732587973,0.8015584950899775,3.1924154298359997,0.6124031007751938,0.1659882185467822,True,0.9395830881016148
DurationAwareHSMM,0.15,0.15,0.4,1.2,0.04,129.0,0.11225383246616549,0.13542267891259063,0.8551343994303146,1.5747349086294835,-0.1468253214619678,0.7645400081432318,3.1382825483125476,0.6046511627906976,0.18555567221141483,True,0.9249906702395494
DurationAwareHSMM,0.2,0.15,0.4,1.2,0.04,129.0,0.10862163402175429,0.1360257766338768,0.8276479887302041,1.5133334531996454,-0.16788434579159617,0.6470027536491827,3.0298491407853705,0.6201550387596899,0.2255455125023688,False,0.8950607373390256
EngineeredTechnical,0.0,0.15,0.4,1.2,0.04,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389,True,1.0
EngineeredTechnical,0.025,0.15,0.4,1.2,0.04,129.0,0.12110087096224587,0.13781824958311678,0.9007851990478407,1.664372799832269,-0.14058190050102115,0.8614257634208482,3.417278837724501,0.5891472868217055,0.07961483691221856,True,0.9978917720401588
EngineeredTechnical,0.05,0.15,0.4,1.2,0.04,129.0,0.12036163193471339,0.13807751237188567,0.8945142409411423,1.6529637432916802,-0.1422537732587974,0.8461050218734346,3.393133489350887,0.5813953488372093,0.08844092863710143,True,0.9918003167328256
EngineeredTechnical,0.075,0.15,0.4,1.2,0.04,129.0,0.1197627402531718,0.1383761220097382,0.8889584517219238,1.6440437033053803,-0.1422537732587974,0.8418949987027167,3.3736858000624412,0.5891472868217055,0.09821225067613992,True,0.9868653474249669
EngineeredTechnical,0.1,0.15,0.4,1.2,0.04,129.0,0.11884893549585795,0.1389843494027513,0.8797349391750744,1.6232174469050487,-0.1422537732587974,0.8354712340715221,3.344206755440795,0.5891472868217055,0.10857714098135195,True,0.9793354408162942
EngineeredTechnical,0.125,0.15,0.4,1.2,0.04,129.0,0.11787343689790597,0.13969489035861263,0.8696556672910795,1.600504369801834,-0.1422537732587973,0.8286137808342207,3.3129954720216945,0.5891472868217055,0.11876003639905772,True,0.9712971664686516
