signal_month,horizon,probability,raw_probability,calibration_method,train_rows,feature_count,fit_end_month,max_label_month,best_iteration
2015-12,6,0.5000055981864332,0.49888087455220664,platt_recent_validation,111,47,2015-06,2015-12,1
2016-01,1,0.5001653659036165,0.49137495341304693,platt_recent_validation,117,47,2015-12,2016-01,1
2016-01,3,0.5000817687662368,0.4912932598918134,platt_recent_validation,115,47,2015-10,2016-01,1
2016-01,6,0.5000812546388588,0.4898955220992365,platt_recent_validation,112,47,2015-07,2016-01,1
2016-02,1,0.5000378149960009,0.49822455960105055,platt_recent_validation,118,47,2016-01,2016-02,1
2016-02,3,0.4998640601122178,0.4718217009734832,platt_recent_validation,116,47,2015-11,2016-02,4
2016-02,6,0.5000158475917291,0.4995132048430984,platt_recent_validation,113,47,2015-08,2016-02,1
2016-03,1,0.49827733399200813,0.4584062296467596,platt_recent_validation,119,47,2016-02,2016-03,5
2016-03,3,0.4998956568025128,0.4946481943259004,platt_recent_validation,117,47,2015-12,2016-03,4
2016-03,6,0.4988321728020082,0.4527469581306396,platt_recent_validation,114,47,2015-09,2016-03,8
2016-04,1,0.4998987319798945,0.49275317084173476,platt_recent_validation,120,47,2016-03,2016-04,1
2016-04,3,0.5000241984506985,0.4929901062012182,platt_recent_validation,118,47,2016-01,2016-04,1
2016-04,6,0.5029883051319464,0.5367118819669154,platt_recent_validation,115,47,2015-10,2016-04,8
2016-05,1,0.49997288182246113,0.4928130726447923,platt_recent_validation,121,47,2016-04,2016-05,1
2016-05,3,0.5000167559830062,0.5007387118439321,platt_recent_validation,119,47,2016-02,2016-05,1
2016-05,6,0.5000222305280806,0.49838947568821285,platt_recent_validation,116,47,2015-11,2016-05,1
2016-06,1,0.5000129910134914,0.504534027586777,platt_recent_validation,122,47,2016-05,2016-06,3
2016-06,3,0.500136529378264,0.5059033330719546,platt_recent_validation,120,47,2016-03,2016-06,1
2016-06,6,0.499601737705106,0.48583746511797166,platt_recent_validation,117,47,2015-12,2016-06,6
2016-07,1,0.500032748398929,0.4995125407274389,platt_recent_validation,123,47,2016-06,2016-07,1
2016-07,3,0.5000865128483198,0.5064857982648693,platt_recent_validation,121,47,2016-04,2016-07,1
2016-07,6,0.5739034211376579,0.587403571730807,platt_recent_validation,118,47,2016-01,2016-07,41
2016-08,1,0.4986893610482888,0.521601008170769,platt_recent_validation,124,47,2016-07,2016-08,5
2016-08,3,0.5002402050289955,0.4926859065577272,platt_recent_validation,122,47,2016-05,2016-08,1
