name,target_vol,half_life,invvol_tilt,return_reward,vol_penalty,cdar_penalty,turnover_penalty,tracking_penalty,max_cdar,drawdown_guard,regime_strength,use_regime,use_risk_control,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,ValidationScore
rs0.75_tv0.1_iv0.35_dg0.4,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07755346491408677,0.07516311855685619,1.034094160751693,1.8065070661313605,-0.1082509969450195,0.7164226390771814,2.232119277043477,0.6356589147286822,0.028339379033244464,1.2791742086220577
rs0.75_tv0.1_iv0.15_dg0.75,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.07746368522960045,0.07572044304137218,1.0259458093141565,1.7775334992764567,-0.10855610976028751,0.7135819936865365,2.2301208480738866,0.6356589147286822,0.03042103930419077,1.269615299243606
rs0.5_tv0.1_iv0.35_dg0.75,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07423526765754818,0.07246043353486367,1.0271540121834413,1.7662321216466246,-0.10661124233591912,0.6963174429920048,2.159328010825921,0.6511627906976745,0.024356149321627715,1.2659938873663172
rs0.5_tv0.1_iv0.15_dg0.75,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07523433141207536,0.07413251507721859,1.0182488268670329,1.746087220419108,-0.10739818642058119,0.7005177081617635,2.181014576802279,0.6511627906976745,0.027553635145123188,1.2579192976946254
rs0.75_tv0.1_iv0.15_dg0.4,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07723196539032973,0.0764242973133213,1.0143577788343114,1.7549621181786155,-0.10891701427483746,0.7090899975961995,2.2249704338006944,0.6356589147286822,0.03019691216099894,1.2564998955607813
rs0.5_tv0.1_iv0.35_dg0.4,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07421705350279906,0.07318812188578146,1.0174250069119535,1.7473698773033541,-0.107047354438633,0.6933104876061691,2.158934460024752,0.6511627906976745,0.02372472279355623,1.2553387330154013
rs0.25_tv0.1_iv0.35_dg0.75,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.07032144075725677,0.06960486341486126,1.0136676973525345,1.7316093552224077,-0.10026199356758103,0.7013768453532394,2.076241762151072,0.6511627906976745,0.02030889614917551,1.255087813996333
rs0.5_tv0.1_iv0.15_dg0.4,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07503174244507216,0.0748730558725607,1.0063813062373856,1.719703602507045,-0.10806439750609076,0.6943243489683381,2.176601100196569,0.6434108527131783,0.02646541453013327,1.2441017454702772
rs0.25_tv0.1_iv0.15_dg0.75,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.07185564962757685,0.07131087594417079,1.0113063548360186,1.719102789289009,-0.10642792384290356,0.675157863021379,2.1084593873487245,0.6434108527131783,0.023116915502270345,1.2429882237930472
rs0.25_tv0.1_iv0.35_dg0.4,0.1,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.07008157146810468,0.07020156833894152,1.0024250136898805,1.710698076935383,-0.10195054723760233,0.6874075065509462,2.0712451875184534,0.6511627906976745,0.019481394978561283,1.2391213619869994
rs0.25_tv0.1_iv0.15_dg0.4,0.1,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.07142498246841678,0.07202281648153262,0.9963955535354975,1.691505035727742,-0.10832175267442656,0.6593780169260438,2.0993701248505694,0.6434108527131783,0.02196633492189524,1.2227845924752336
rs0.25_tv0.12_iv0.35_dg0.75,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.07066888912479063,0.0723613692037798,0.9822337241521651,1.6748688676165775,-0.10346291653811213,0.6830359271648667,2.083498640212748,0.6511627906976745,0.019718414378644872,1.2173526157841397
rs0.25_tv0.12_iv0.35_dg0.4,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.07047199679179439,0.07356234683383311,0.9648670079673488,1.6386772121980355,-0.1053535812419325,0.668909361799135,2.079383487102741,0.6511627906976745,0.019363628139479654,1.1951125589691503
rs0.75_tv0.12_iv0.35_dg0.4,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07872429657767355,0.08137425720873144,0.9746279685589943,1.6509177083663396,-0.13077149295534618,0.601998912748936,2.2583302503902716,0.627906976744186,0.028175768827321496,1.1796924342556576
rs0.75_tv0.12_iv0.35_dg0.75,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.07827007165722377,0.08063757336260377,0.9775909692278275,1.6413601995818041,-0.13298109043917872,0.5885804620696955,2.24812872541818,0.6356589147286822,0.02924057589557731,1.1777460157731054
rs0.5_tv0.12_iv0.35_dg0.75,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07342342496091292,0.07667450535496066,0.9649602787448956,1.6073336735105526,-0.12168604876800182,0.6033840830915377,2.141849674082599,0.6511627906976745,0.024263804476613682,1.171291946931611
rs0.5_tv0.12_iv0.15_dg0.75,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.5,True,True,129.0,0.07660871316954387,0.08007964847059103,0.9644868847800155,1.6069705469486553,-0.12720458547842473,0.6022480469663378,2.211170954014063,0.6511627906976745,0.028948569879295408,1.1694839872423746
rs0.25_tv0.12_iv0.15_dg0.75,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.25,True,True,129.0,0.0709570459360267,0.07569075018098392,0.9459119446017671,1.578492385533885,-0.11193699974848836,0.6339016240873021,2.089534585279802,0.6434108527131783,0.022111085295574085,1.163355295973208
rs0.75_tv0.12_iv0.15_dg0.4,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.75,True,True,129.0,0.07966914519540436,0.08377178420255352,0.9596206155435985,1.615212850520703,-0.13337526828898094,0.5973307211857836,2.279685413657478,0.6356589147286822,0.029819893054229128,1.162722389347777
rs0.5_tv0.12_iv0.15_dg0.4,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07656516546150227,0.08094490766637363,0.9544959429406263,1.597964112197221,-0.1255785905296818,0.6096991942540182,2.21020966813868,0.6434108527131783,0.027313281440390195,1.1624280046414548
rs0.5_tv0.12_iv0.35_dg0.4,0.12,12.0,0.35,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.5,True,True,129.0,0.07353092677754725,0.07779688819752678,0.9534365370028796,1.5877638246015995,-0.12329894301231059,0.5963629937217358,2.144156709324979,0.6511627906976745,0.023467293508769898,1.1574701261037332
rs0.75_tv0.12_iv0.15_dg0.75,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.75,0.75,True,True,129.0,0.07908789621846979,0.08310255852561794,0.9602235364811055,1.5985269295371585,-0.13713407927666665,0.5767194896821434,2.2665266409477605,0.6356589147286822,0.03058532965423423,1.1559582919390088
rs0.25_tv0.12_iv0.15_dg0.4,0.12,12.0,0.15,1.15,0.18,0.25,0.05,0.32,0.16,0.4,0.25,True,True,129.0,0.07069345929255189,0.07657883667961572,0.9325741923060877,1.5556072822937967,-0.11452528654330818,0.6172738041202707,2.0840126876645315,0.6434108527131783,0.020832967139532324,1.144453430320276
