target_month,signal_date,factor_name,p_up,score,p_risk,switches_in_window,realized_10d_return,realized_up
2011-06,2011-05-31,jump_downside_sortino,0.1058864807871831,-0.7882270384256338,0.8941135192128169,10,-0.030117513671188867,0.0
2011-07,2011-06-30,jump_downside_sortino,0.053551744990294914,-0.8928965100194102,0.9464482550097051,12,0.007929227340887524,1.0
2011-08,2011-07-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,4,-0.16741428143718828,0.0
2011-09,2011-08-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,10,-0.018491667142093604,0.0
2011-10,2011-09-30,jump_downside_sortino,0.030000000000000027,-0.94,0.97,10,0.05601219101087951,1.0
2011-11,2011-10-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,4,-0.011503234798902806,0.0
2011-12,2011-11-30,jump_downside_sortino,0.04696428181137291,-0.9060714363772542,0.9530357181886271,10,0.0034921892240424857,1.0
2012-01,2011-12-29,jump_downside_sortino,0.04327437268715639,-0.9134512546256872,0.9567256273128436,12,0.03220480434620776,1.0
2012-02,2012-01-31,jump_downside_sortino,0.97,0.94,0.03,15,0.019923603369249587,1.0
2012-03,2012-02-29,jump_downside_sortino,0.9464833502766865,0.892966700553373,0.05351664972331352,15,0.011820976069195854,1.0
2012-04,2012-03-30,jump_downside_sortino,0.9602162436827683,0.9204324873655365,0.03978375631723175,14,-0.0053652912062636116,0.0
2012-05,2012-04-30,jump_downside_sortino,0.962162124514753,0.924324249029506,0.03783787548524698,16,-0.04423093478374385,0.0
2012-06,2012-05-31,jump_downside_sortino,0.030000000000000027,-0.94,0.97,16,0.012854599711602077,1.0
2012-07,2012-06-29,jump_downside_sortino,0.030000000000000027,-0.94,0.97,13,-0.02520894229530235,0.0
2012-08,2012-07-31,jump_downside_sortino,0.06506819461628688,-0.8698636107674262,0.9349318053837131,11,0.04127623517376189,1.0
2012-09,2012-08-31,jump_downside_sortino,0.8932740196376237,0.7865480392752474,0.10672598036237628,12,0.05922229014500213,1.0
