,signal_date,factor_name,p_up,score,p_extra_trees,p_hist_gradient_boosting,p_logistic,train_rows,feature_count,realized_10d_return,realized_up
2006-08,2006-06-30,technical_ml_ensemble,0.5380675558510056,0.2537837056733709,0.42082360083616627,0.49703439317492215,0.6963446735419283,1260.0,53.0,-0.030576291430277625,0.0
2006-09,2006-06-30,technical_ml_ensemble,0.5380675558510056,0.2537837056733709,0.42082360083616627,0.49703439317492215,0.6963446735419283,1260.0,53.0,-0.030576291430277625,0.0
2006-10,2006-09-29,technical_ml_ensemble,0.7191872639471031,1.0,0.759577542837104,0.7638853510652045,0.6340988979390005,1260.0,53.0,-0.010446503791070039,0.0
2006-11,2006-09-29,technical_ml_ensemble,0.7191872639471031,1.0,0.759577542837104,0.7638853510652045,0.6340988979390005,1260.0,53.0,-0.010446503791070039,0.0
2006-12,2006-09-29,technical_ml_ensemble,0.7191872639471031,1.0,0.759577542837104,0.7638853510652045,0.6340988979390005,1260.0,53.0,-0.010446503791070039,0.0
2007-01,2006-12-28,technical_ml_ensemble,0.7204864879267973,1.0,0.7336564772196881,0.7993496186810766,0.6284533678796274,1260.0,53.0,-0.030044770483844796,0.0
2007-02,2006-12-28,technical_ml_ensemble,0.7204864879267973,1.0,0.7336564772196881,0.7993496186810766,0.6284533678796274,1260.0,53.0,-0.030044770483844796,0.0
2007-03,2006-12-28,technical_ml_ensemble,0.7204864879267973,1.0,0.7336564772196881,0.7993496186810766,0.6284533678796274,1260.0,53.0,-0.030044770483844796,0.0
2007-04,2007-03-30,technical_ml_ensemble,0.556748014426173,0.37832009617448703,0.5103250254390852,0.5299490526630221,0.629969965176412,1260.0,53.0,0.04397654584221744,1.0
2007-05,2007-03-30,technical_ml_ensemble,0.556748014426173,0.37832009617448703,0.5103250254390852,0.5299490526630221,0.629969965176412,1260.0,53.0,0.04397654584221744,1.0
2007-06,2007-03-30,technical_ml_ensemble,0.556748014426173,0.37832009617448703,0.5103250254390852,0.5299490526630221,0.629969965176412,1260.0,53.0,0.04397654584221744,1.0
2007-07,2007-06-29,technical_ml_ensemble,0.39848438307566797,-0.6767707794955469,0.31143051269760325,0.5136709681684781,0.37035166836092254,1260.0,53.0,0.13049568478604678,1.0
2007-08,2007-06-29,technical_ml_ensemble,0.39848438307566797,-0.6767707794955469,0.31143051269760325,0.5136709681684781,0.37035166836092254,1260.0,53.0,0.13049568478604678,1.0
2007-09,2007-06-29,technical_ml_ensemble,0.39848438307566797,-0.6767707794955469,0.31143051269760325,0.5136709681684781,0.37035166836092254,1260.0,53.0,0.13049568478604678,1.0
2007-10,2007-09-28,technical_ml_ensemble,0.6408795476900505,0.9391969846003367,0.5940535735240661,0.7171483302199613,0.6114367393261241,1260.0,53.0,0.04239482200647249,1.0
2007-11,2007-09-28,technical_ml_ensemble,0.6408795476900505,0.9391969846003367,0.5940535735240661,0.7171483302199613,0.6114367393261241,1260.0,53.0,0.04239482200647249,1.0
2007-12,2007-09-28,technical_ml_ensemble,0.6408795476900505,0.9391969846003367,0.5940535735240661,0.7171483302199613,0.6114367393261241,1260.0,53.0,0.04239482200647249,1.0
2008-01,2007-12-28,technical_ml_ensemble,0.6154485350693841,0.7696569004625609,0.6371895794586069,0.6834193832059379,0.5257366425436077,1260.0,53.0,-0.08438678658764043,0.0
2008-02,2007-12-28,technical_ml_ensemble,0.6154485350693841,0.7696569004625609,0.6371895794586069,0.6834193832059379,0.5257366425436077,1260.0,53.0,-0.08438678658764043,0.0
2008-03,2007-12-28,technical_ml_ensemble,0.6154485350693841,0.7696569004625609,0.6371895794586069,0.6834193832059379,0.5257366425436077,1260.0,53.0,-0.08438678658764043,0.0
2008-04,2008-03-31,technical_ml_ensemble,0.6769682706850406,1.0,0.5956016603768559,0.7783687341606557,0.6569344175176105,1260.0,53.0,0.026923960487020393,1.0
2008-05,2008-03-31,technical_ml_ensemble,0.6769682706850406,1.0,0.5956016603768559,0.7783687341606557,0.6569344175176105,1260.0,53.0,0.026923960487020393,1.0
2008-06,2008-03-31,technical_ml_ensemble,0.6769682706850406,1.0,0.5956016603768559,0.7783687341606557,0.6569344175176105,1260.0,53.0,0.026923960487020393,1.0
2008-07,2008-06-30,technical_ml_ensemble,0.549572073685499,0.3304804912366599,0.4475908473533455,0.5141943701980012,0.6869310035051504,1260.0,53.0,-0.06744098913450725,0.0
2008-08,2008-06-30,technical_ml_ensemble,0.549572073685499,0.3304804912366599,0.4475908473533455,0.5141943701980012,0.6869310035051504,1260.0,53.0,-0.06744098913450725,0.0
2008-09,2008-06-30,technical_ml_ensemble,0.549572073685499,0.3304804912366599,0.4475908473533455,0.5141943701980012,0.6869310035051504,1260.0,53.0,-0.06744098913450725,0.0
2008-10,2008-09-30,technical_ml_ensemble,0.2988584812655236,-1.0,0.26017386118000285,0.37889433088737723,0.25750725172919076,1260.0,53.0,-0.0661236737755867,0.0
2008-11,2008-09-30,technical_ml_ensemble,0.2988584812655236,-1.0,0.26017386118000285,0.37889433088737723,0.25750725172919076,1260.0,53.0,-0.0661236737755867,0.0
2008-12,2008-09-30,technical_ml_ensemble,0.2988584812655236,-1.0,0.26017386118000285,0.37889433088737723,0.25750725172919076,1260.0,53.0,-0.0661236737755867,0.0
2009-01,2008-12-30,technical_ml_ensemble,0.4561502544716795,-0.29233163685547,0.38929488289890196,0.42459874876818415,0.5545571317479522,1260.0,53.0,-0.008882815169115155,0.0
2009-02,2008-12-30,technical_ml_ensemble,0.4561502544716795,-0.29233163685547,0.38929488289890196,0.42459874876818415,0.5545571317479522,1260.0,53.0,-0.008882815169115155,0.0
2009-03,2008-12-30,technical_ml_ensemble,0.4561502544716795,-0.29233163685547,0.38929488289890196,0.42459874876818415,0.5545571317479522,1260.0,53.0,-0.008882815169115155,0.0
2009-04,2009-03-31,technical_ml_ensemble,0.3797329176160606,-0.8017805492262627,0.4851050276982969,0.38629104704229744,0.26780267810758734,1260.0,53.0,0.09566269664352589,1.0
2009-05,2009-03-31,technical_ml_ensemble,0.3797329176160606,-0.8017805492262627,0.4851050276982969,0.38629104704229744,0.26780267810758734,1260.0,53.0,0.09566269664352589,1.0
2009-06,2009-03-31,technical_ml_ensemble,0.3797329176160606,-0.8017805492262627,0.4851050276982969,0.38629104704229744,0.26780267810758734,1260.0,53.0,0.09566269664352589,1.0
2009-07,2009-06-30,technical_ml_ensemble,0.46257798315480364,-0.24948011230130906,0.5012459075190875,0.4597440380577723,0.42674400388755124,1260.0,53.0,0.0024959988634452035,1.0
2009-08,2009-06-30,technical_ml_ensemble,0.46257798315480364,-0.24948011230130906,0.5012459075190875,0.4597440380577723,0.42674400388755124,1260.0,53.0,0.0024959988634452035,1.0
2009-09,2009-06-30,technical_ml_ensemble,0.46257798315480364,-0.24948011230130906,0.5012459075190875,0.4597440380577723,0.42674400388755124,1260.0,53.0,0.0024959988634452035,1.0
2009-10,2009-09-30,technical_ml_ensemble,0.5375027468807398,0.2500183125382657,0.5962988477960944,0.4295802984610525,0.5866290943850724,1260.0,53.0,-0.012635713975608365,0.0
2009-11,2009-09-30,technical_ml_ensemble,0.5375027468807398,0.2500183125382657,0.5962988477960944,0.4295802984610525,0.5866290943850724,1260.0,53.0,-0.012635713975608365,0.0
2009-12,2009-09-30,technical_ml_ensemble,0.5375027468807398,0.2500183125382657,0.5962988477960944,0.4295802984610525,0.5866290943850724,1260.0,53.0,-0.012635713975608365,0.0
2010-01,2009-12-30,technical_ml_ensemble,0.8195910766842548,1.0,0.8230913462459405,0.8275180489066281,0.8081638349001958,1260.0,53.0,0.00443006075366692,1.0
2010-02,2009-12-30,technical_ml_ensemble,0.8195910766842548,1.0,0.8230913462459405,0.8275180489066281,0.8081638349001958,1260.0,53.0,0.00443006075366692,1.0
2010-03,2009-12-30,technical_ml_ensemble,0.8195910766842548,1.0,0.8230913462459405,0.8275180489066281,0.8081638349001958,1260.0,53.0,0.00443006075366692,1.0
