Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
full_2007_2026,CompositePlusIndexVolume,232.0,0.1441486557814362,0.13531812581386254,1.0670314632338516,2.023246531262662,-0.1399488414503457,1.0300096398624394,13.51016928205469,0.6163793103448276,0.10479777822727822
full_2007_2026,CorrelationDomestic,232.0,0.14323035392562566,0.1359255792515663,1.0569338003906725,1.9918098862838833,-0.1399488414503457,1.0234479431288772,13.302066254937886,0.603448275862069,0.09855584765806663
full_2007_2026,BreadthDomestic,232.0,0.14194118534396605,0.1362824929401086,1.0461360771968344,1.9653751827559798,-0.1399488414503457,1.0142362299892795,13.015041974279354,0.6077586206896551,0.09638419336946033
full_2007_2026,TailShapeDomestic,232.0,0.14266532868873893,0.13864555285368635,1.035409663957464,1.9033571389610038,-0.1399488414503457,1.0194105732512053,13.17553624610359,0.6163793103448276,0.09226495748496782
full_2007_2026,CompositePlusVol15,232.0,0.14853991018296497,0.14203028107625032,1.050349961312153,1.9724946761276438,-0.13038429770887883,1.1392469246152928,14.54870790562286,0.6077586206896551,0.1182892845463008
full_2007_2026,CompositeIndexVolumePlusVol15,232.0,0.14900767438895346,0.14103976469162596,1.0595828895430566,2.0148913070209487,-0.13596404144029683,1.0959344309751502,14.663691054085923,0.6120689655172413,0.12771874455400106
subperiod_2007_2012,FinalBlend,69.0,0.21156840141539357,0.17365331023848785,1.198705941327138,2.232700646025265,-0.1399488414503457,1.5117552901676483,3.014745419866273,0.6521739130434783,0.08948681307222991
subperiod_2007_2012,VolTarget15,69.0,0.22019739525136184,0.17052393488723103,1.2598556884142569,2.3853274766277934,-0.12982263824630125,1.6961401973175156,3.1403137301815978,0.6521739130434783,0.11117842206517638
subperiod_2007_2012,CompositeDomestic,69.0,0.22068826552007725,0.17537722338153947,1.231906271066984,2.3355654744959655,-0.1399488414503457,1.5769209893629463,3.1475847020974705,0.6666666666666666,0.0968357104185719
subperiod_2007_2012,VolumeDomestic,69.0,0.2204152503444592,0.1754156275423606,1.2303774483487395,2.3323027969952745,-0.1399488414503457,1.574970168100057,3.143538974839431,0.6666666666666666,0.1000965896965527
subperiod_2007_2012,IndexVolumeRaw,69.0,0.21996224175575918,0.1754281292820284,1.228150342080879,2.327507800587972,-0.1399488414503457,1.571733209622907,3.1368354588911904,0.6666666666666666,0.10098009354195896
subperiod_2007_2012,IndexVolumeComposite,69.0,0.22064895161044862,0.1752969811592284,1.2322025715955216,2.3373311656587425,-0.1399488414503457,1.5766400730708128,3.1470018565049047,0.6666666666666666,0.0993100554675926
subperiod_2007_2012,CompositePlusIndexVolume,69.0,0.22301332443722433,0.1749392805444013,1.2456199282545612,2.368094769170496,-0.1399488414503457,1.593534623981508,3.1822136509554326,0.6666666666666666,0.09826259423050876
subperiod_2007_2012,CorrelationDomestic,69.0,0.22423510552147197,0.1748235293729399,1.252141676507143,2.382000570156139,-0.1399488414503457,1.6022648218994462,3.2005363674490215,0.6666666666666666,0.10017523882967354
subperiod_2007_2012,BreadthDomestic,69.0,0.21756115147363353,0.17616621465975554,1.2123736799313436,2.2849396618364035,-0.1399488414503457,1.5545762953016296,3.1015015349262183,0.6666666666666666,0.09388228326411836
subperiod_2007_2012,TailShapeDomestic,69.0,0.21648428169313028,0.17587698847167355,1.2089955067651046,2.2735774951762684,-0.1399488414503457,1.5468815565003415,3.085761704858389,0.6666666666666666,0.0939684303125818
subperiod_2007_2012,CompositePlusVol15,69.0,0.22874306747238338,0.1713476224913947,1.2958386284231695,2.5050791895317643,-0.11436245825150648,2.0001587144037294,3.268896824782876,0.6666666666666666,0.12006596704937311
subperiod_2007_2012,CompositeIndexVolumePlusVol15,69.0,0.2310798866001722,0.17082268160410044,1.3106129843665322,2.5443786954949843,-0.11170601150903059,2.068643249172773,3.3048051305407826,0.6666666666666666,0.12244006677607212
subperiod_2013_2017,FinalBlend,60.0,0.02588580013642594,0.06902673100094738,0.4045522193980665,0.6343427207423377,-0.08342541861375741,0.31028672755328796,1.1363054579763872,0.5166666666666667,0.06009137408623997
subperiod_2013_2017,VolTarget15,60.0,0.021427013643801063,0.07949250162349634,0.3060587781431291,0.467619549360751,-0.10675687591471861,0.2007085113741785,1.111825670857926,0.5166666666666667,0.07699090047299327
subperiod_2013_2017,CompositeDomestic,60.0,0.024977229440074966,0.06513800455557249,0.4111294893463443,0.6480180944280794,-0.08342541861375741,0.29939591380073766,1.1312825462863016,0.5333333333333333,0.0711048880748221
