set,C,cal_CAGRd,cal_Sharped,cal_MDDd,val_CAGRd,val_Sharped,val_MDDd,locked_CAGR,locked_Sharpe,locked_MDD,gate,score,prelock_gate,prelock_score
components6,0.1,0.0,0.0,0.0,-0.0015931197157175,-0.0204387003795393,-1.1102230246251563e-16,0.1986539148194108,1.448535773956759,-0.1031668658838359,False,-0.5680859791625492,False,-0.5680859791625492
meta_state8,0.1,0.0,0.0,0.0,-0.0021169184465315,-0.0266736441932499,-1.1102230246251563e-16,0.2040579483383058,1.4771016240073227,-0.1023930885289446,False,-0.7451647285181606,False,-0.7451647285181606
state6,0.1,-0.0014538005641087,-0.010113323146863,0.0,-0.0022405955482054,-0.0278292217703087,-1.1102230246251563e-16,0.2059451991601122,1.4824880309517243,-0.1010246686742321,False,-0.7806439902267304,False,-0.7806439902267304
meta5,0.03,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0025225569176476,-0.0315841540186458,-1.1102230246251563e-16,0.202863204555906,1.4672677134228669,-0.1024722667648494,False,-0.8839387721376968,False,-0.8839387721376968
components6,0.03,0.0,0.0,0.0,-0.0028397872262782,-0.0350046241726291,-1.1102230246251563e-16,0.1963456681654931,1.4414031575722872,-0.1037105470125044,False,-0.9840712060804148,False,-0.9840712060804148
state6,0.3,-0.0014538005641087,-0.010113323146863,0.0,-0.0029009269826256,-0.0362027168130003,-1.1102230246251563e-16,0.2049311464894128,1.4732230147976997,-0.0977846240686305,False,-1.0141470345225856,False,-1.0141470345225856
meta3,0.01,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0030130743312761,-0.0376595853573808,-1.1102230246251563e-16,0.2056387410271309,1.493582052052402,-0.0966950893245376,False,-1.0544991402752455,False,-1.0544991402752455
meta_state8,0.3,-0.0015727641819576,-0.0107861016425987,0.0,-0.0030202896248268,-0.0378369540496054,-1.1102230246251563e-16,0.2036697806610832,1.4756705922678657,-0.100240620278216,False,-1.0587680434748004,False,-1.0587680434748004
monthly6,0.01,-0.0001191084077305,-0.0006766148265986,0.0,-0.0030911435251579,-0.0385277899587415,-1.1102230246251563e-16,0.2001022008983028,1.4652029350229665,-0.1021417049789615,False,-1.079670151690636,False,-1.079670151690636
impulse5,0.03,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0038174729198305,-0.0456603517571755,-1.1102230246251563e-16,0.2065916271771626,1.4865089594050311,-0.0967807043251836,False,-1.2949543271265818,False,-1.2949543271265818
components6,0.01,0.0,0.0,0.0,-0.0039106098798282,-0.0476116106588349,-1.1102230246251563e-16,0.1981766515648193,1.4509327984155094,-0.100864802032786,False,-1.3432932011595378,False,-1.3432932011595378
meta_state8,0.03,-0.0001191084077305,-0.0006766148265986,0.0,-0.0040890041343613,-0.0499275550898287,-1.1102230246251563e-16,0.2066393013561409,1.493224132406057,-0.1022351594751871,False,-1.4074515152327172,False,-1.4074515152327172
meta5,0.01,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0042084663696517,-0.0520123545915304,-1.1102230246251563e-16,0.203135998782334,1.474918293630637,-0.0962658158473823,False,-1.461093728795798,False,-1.461093728795798
state6,0.03,0.0,0.0,0.0,-0.0047417094801294,-0.0571448126929823,-1.1102230246251563e-16,0.2065777768105963,1.488073481676467,-0.1021417049789615,False,-1.617067201872601,False,-1.617067201872601
impulse5,0.01,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0051319138286602,-0.062387684625661,-1.1102230246251563e-16,0.2066809893757299,1.4952792798316852,-0.0950858821379083,False,-1.760945075379262,False,-1.760945075379262
meta_state8,0.01,0.0,0.0,0.0,-0.0054524176240036,-0.0663056470036522,-1.1102230246251563e-16,0.205518232857869,1.4900879506940632,-0.1005497534363522,False,-1.8713547024734167,False,-1.8713547024734167
