target_month,bucket_signal_month,bucket_signal_date,wing_asym_near,wing_asym_next,wing_asym_equal_months,bucket_direction_near,bucket_direction_next,bucket_direction_equal_months
2009-10,2009-09,2009-09-30,0.04000000000000001,0.022999999999999993,0.0315,-0.04000000000000001,-0.022999999999999993,-0.0315
2009-11,2009-10,2009-10-30,0.05700000000000002,0.047000000000000014,0.05200000000000002,-0.05700000000000002,-0.047000000000000014,-0.05200000000000002
2009-12,2009-11,2009-11-30,-0.02300000000000002,0.01100000000000001,-0.006000000000000005,0.02300000000000002,-0.01100000000000001,0.006000000000000005
2010-01,2009-12,2009-12-30,-0.006000000000000005,-0.0010000000000000009,-0.003500000000000003,0.006000000000000005,0.0010000000000000009,0.003500000000000003
2010-02,2010-01,2010-01-29,0.055999999999999994,0.055999999999999994,0.055999999999999994,-0.055999999999999994,-0.055999999999999994,-0.055999999999999994
2010-03,2010-02,2010-02-26,0.061000000000000026,0.04200000000000001,0.05150000000000002,-0.061000000000000026,-0.04200000000000001,-0.05150000000000002
2010-04,2010-03,2010-03-31,0.034,0.022999999999999993,0.028499999999999998,-0.034,-0.022999999999999993,-0.028499999999999998
2010-05,2010-04,2010-04-30,0.033,0.026999999999999996,0.03,-0.033,-0.026999999999999996,-0.03
2010-06,2010-05,2010-05-31,0.056999999999999995,0.05100000000000002,0.054000000000000006,-0.056999999999999995,-0.05100000000000002,-0.054000000000000006
2010-07,2010-06,2010-06-30,0.03,0.025999999999999995,0.027999999999999997,-0.03,-0.025999999999999995,-0.027999999999999997
2010-08,2010-07,2010-07-30,0.0010000000000000009,0.0030000000000000027,0.0020000000000000018,-0.0010000000000000009,-0.0030000000000000027,-0.0020000000000000018
2010-09,2010-08,2010-08-31,0.027999999999999997,0.037000000000000005,0.0325,-0.027999999999999997,-0.037000000000000005,-0.0325
2010-10,2010-09,2010-09-30,0.016999999999999987,0.010000000000000009,0.013499999999999998,-0.016999999999999987,-0.010000000000000009,-0.013499999999999998
2010-11,2010-10,2010-10-29,0.03,0.017999999999999988,0.023999999999999994,-0.03,-0.017999999999999988,-0.023999999999999994
2010-12,2010-11,2010-11-30,0.04100000000000001,0.02400000000000002,0.032500000000000015,-0.04100000000000001,-0.02400000000000002,-0.032500000000000015
2011-01,2010-12,2010-12-30,0.00799999999999998,0.0030000000000000027,0.005499999999999991,-0.00799999999999998,-0.0030000000000000027,-0.005499999999999991
2011-02,2011-01,2011-01-31,0.05099999999999999,0.038000000000000006,0.0445,-0.05099999999999999,-0.038000000000000006,-0.0445
2011-03,2011-02,2011-02-28,0.04199999999999998,0.04200000000000001,0.041999999999999996,-0.04199999999999998,-0.04200000000000001,-0.041999999999999996
2011-04,2011-03,2011-03-31,0.023999999999999994,0.015000000000000013,0.019500000000000003,-0.023999999999999994,-0.015000000000000013,-0.019500000000000003
2011-05,2011-04,2011-04-29,0.035999999999999976,0.027999999999999997,0.03199999999999999,-0.035999999999999976,-0.027999999999999997,-0.03199999999999999
2011-06,2011-05,2011-05-31,0.05100000000000002,0.027999999999999997,0.03950000000000001,-0.05100000000000002,-0.027999999999999997,-0.03950000000000001
2011-07,2011-06,2011-06-30,0.037000000000000005,0.027999999999999997,0.0325,-0.037000000000000005,-0.027999999999999997,-0.0325
2011-08,2011-07,2011-07-29,0.00899999999999998,0.008000000000000007,0.008499999999999994,-0.00899999999999998,-0.008000000000000007,-0.008499999999999994
2011-09,2011-08,2011-08-31,0.056999999999999995,0.03999999999999998,0.04849999999999999,-0.056999999999999995,-0.03999999999999998,-0.04849999999999999
2011-10,2011-09,2011-09-30,0.09199999999999997,0.08000000000000002,0.086,-0.09199999999999997,-0.08000000000000002,-0.086
2011-11,2011-10,2011-10-31,0.05199999999999999,0.03799999999999998,0.044999999999999984,-0.05199999999999999,-0.03799999999999998,-0.044999999999999984
2011-12,2011-11,2011-11-30,0.02200000000000002,0.004999999999999949,0.013499999999999984,-0.02200000000000002,-0.004999999999999949,-0.013499999999999984
2012-01,2011-12,2011-12-29,0.049000000000000016,0.04300000000000004,0.04600000000000003,-0.049000000000000016,-0.04300000000000004,-0.04600000000000003
2012-02,2012-01,2012-01-31,-0.006000000000000005,-0.0020000000000000018,-0.0040000000000000036,0.006000000000000005,0.0020000000000000018,0.0040000000000000036
2012-03,2012-02,2012-02-29,-0.00899999999999998,0.006000000000000005,-0.0014999999999999875,0.00899999999999998,-0.006000000000000005,0.0014999999999999875
2012-04,2012-03,2012-03-30,0.025999999999999995,0.017999999999999988,0.021999999999999992,-0.025999999999999995,-0.017999999999999988,-0.021999999999999992
2012-05,2012-04,2012-04-30,0.05199999999999999,0.035,0.0435,-0.05199999999999999,-0.035,-0.0435
2012-06,2012-05,2012-05-31,0.07600000000000001,0.055999999999999994,0.066,-0.07600000000000001,-0.055999999999999994,-0.066
2012-07,2012-06,2012-06-29,0.036000000000000004,0.037000000000000005,0.036500000000000005,-0.036000000000000004,-0.037000000000000005,-0.036500000000000005
2012-08,2012-07,2012-07-31,0.04899999999999999,0.031,0.039999999999999994,-0.04899999999999999,-0.031,-0.039999999999999994
2012-09,2012-08,2012-08-31,0.035,0.026000000000000023,0.030500000000000013,-0.035,-0.026000000000000023,-0.030500000000000013
2012-10,2012-09,2012-09-28,-0.018000000000000016,-0.007000000000000006,-0.012500000000000011,0.018000000000000016,0.007000000000000006,0.012500000000000011
2012-11,2012-10,2012-10-31,0.008000000000000007,0.00799999999999998,0.007999999999999993,-0.008000000000000007,-0.00799999999999998,-0.007999999999999993
2012-12,2012-11,2012-11-30,0.006000000000000005,-0.003999999999999976,0.0010000000000000148,-0.006000000000000005,0.003999999999999976,-0.0010000000000000148
2013-01,2012-12,2012-12-28,0.011999999999999983,0.010000000000000009,0.010999999999999996,-0.011999999999999983,-0.010000000000000009,-0.010999999999999996
2013-02,2013-01,2013-01-31,0.02099999999999999,0.015999999999999986,0.01849999999999999,-0.02099999999999999,-0.015999999999999986,-0.01849999999999999
2013-03,2013-02,2013-02-28,-0.00899999999999998,-0.009999999999999981,-0.00949999999999998,0.00899999999999998,0.009999999999999981,0.00949999999999998
2013-04,2013-03,2013-03-29,-0.0020000000000000018,0.0,-0.0010000000000000009,0.0020000000000000018,-0.0,0.0010000000000000009
2013-05,2013-04,2013-04-30,-0.004999999999999977,0.0020000000000000018,-0.0014999999999999875,0.004999999999999977,-0.0020000000000000018,0.0014999999999999875
2013-06,2013-05,2013-05-31,0.009000000000000008,0.0020000000000000018,0.005500000000000005,-0.009000000000000008,-0.0020000000000000018,-0.005500000000000005
2013-07,2013-06,2013-06-28,0.023999999999999994,0.022999999999999993,0.023499999999999993,-0.023999999999999994,-0.022999999999999993,-0.023499999999999993
2013-08,2013-07,2013-07-31,0.035,0.019000000000000017,0.02700000000000001,-0.035,-0.019000000000000017,-0.02700000000000001
2013-09,2013-08,2013-08-30,-0.004999999999999977,0.0020000000000000018,-0.0014999999999999875,0.004999999999999977,-0.0020000000000000018,0.0014999999999999875
2013-10,2013-09,2013-09-30,-0.0050000000000000044,-0.006000000000000005,-0.005500000000000005,0.0050000000000000044,0.006000000000000005,0.005500000000000005
2013-11,2013-10,2013-10-31,0.008000000000000007,-0.0040000000000000036,0.0020000000000000018,-0.008000000000000007,0.0040000000000000036,-0.0020000000000000018
2013-12,2013-11,2013-11-29,0.012999999999999984,-0.00799999999999998,0.0025000000000000022,-0.012999999999999984,0.00799999999999998,-0.0025000000000000022
2014-01,2013-12,2013-12-30,-0.006000000000000005,-0.0040000000000000036,-0.0050000000000000044,0.006000000000000005,0.0040000000000000036,0.0050000000000000044
2014-02,2014-01,2014-01-29,0.0069999999999999785,0.0,0.0034999999999999892,-0.0069999999999999785,-0.0,-0.0034999999999999892
2014-03,2014-02,2014-02-28,0.046999999999999986,0.029999999999999985,0.038499999999999986,-0.046999999999999986,-0.029999999999999985,-0.038499999999999986
