month,policy,model_active,return,gross_return,nav,drawdown,predecision_drawdown,drawdown_multiplier,maximum_bl_tilt,applied_bl_tilt,bl_overlay_deployed,lw_overlay_veto,deployed_risk_model,desired_lw_annual_volatility,desired_lw_historical_cdar,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,desired_w_KODEX200,desired_w_BOND,desired_w_GLD,desired_w_USO,shadow_w_KODEX200,shadow_w_BOND,shadow_w_GLD,shadow_w_USO,regime_confidence,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,downside_semivariance,estimated_transaction_cost,monthly_utility,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack,projection_distance
2022-12,guarded_black_litterman_lw,True,0.008713130884182987,0.008761570406568987,2.945899160056767,-0.022108835731269982,-0.03055573053603078,0.18578341921862906,0.05,0.009289170960931454,True,False,ledoit_wolf,0.08377574444454425,-0.10891400440828156,0.013839863538857152,4.151959061657146e-05,6.919931769428655e-06,0.003171513161496006,0.6098518568394119,0.3869581571648719,1.8472834220406582e-05,0.003171513161496006,0.6098518568394119,0.3869581571648719,1.8472834220406582e-05,0.3414204749632411,0.20186881172728227,0.454722071449178,0.001988641860298657,0.2270666024763112,2022-11-30,2021-12-14,2022-11-30,252,0.11045607620774929,1.3098822885299755,1.7819433817903596,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005848646131031321,0.0001373655935624534,4.8439578851141175e-05,,0.08377574444454425,-0.10891400440828156,2.220446049250313e-16,0.04622425555545576,0.05108599559171845,,0.02673667906018889,0.0,0.0,0.027679727077714305,,0.0
2023-01,guarded_black_litterman_lw,True,0.026079649100717694,0.02609350634859755,3.022727176437147,0.0,-0.022108835731269982,0.4108672802653258,0.05,0.020543364013266292,True,False,ledoit_wolf,0.088804610439183,-0.10944867901699563,0.0044841021631355634,1.345230648940669e-05,4.0494139044550273e-07,0.00654084879940921,0.603213511993419,0.3902059094393087,3.972976786312388e-05,0.00654084879940921,0.603213511993419,0.3902059094393087,3.972976786312388e-05,0.318392294231134,0.216114386255425,0.463559372968102,0.0019339465453390155,0.20958585936794613,2022-12-31,2022-01-13,2022-12-30,252,0.10054573531405482,1.389493739793141,1.6683155758498223,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0006571882362712543,0.00013835227123892217,1.3857283101716902e-05,,0.088804610439183,-0.10944867901699563,0.0,0.041195389560817,0.05055132098300437,,1.0650886537178575e-06,0.0,0.0,0.008968204326271127,,0.0
2023-02,guarded_black_litterman_lw,True,-0.00283975645103074,-0.002803776228745352,3.0141433674381535,-0.0028397564510307394,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.0890213363816974,-0.10946236721424346,0.011665236925279585,3.499571077583875e-05,9.84511509548791e-07,0.016670939091462535,0.5942486985043547,0.3889898355076371,9.052689654573421e-05,0.016670939091462535,0.5942486985043547,0.3889898355076371,9.052689654573421e-05,0.3334187818292499,0.21318551746522418,0.4515851627746118,0.0018105379309142095,0.28431162977302343,2023-01-31,2022-02-14,2023-01-31,252,0.11593093158562918,1.3374390904168922,1.5914941948510855,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0006603998609319433,0.0001352083348971361,3.5980237188430434e-05,,0.0890213363816974,-0.10946236721424346,0.0,0.0409786636183026,0.05053763278575654,,4.33010340250624e-07,0.0,0.0,0.02333047385055917,,0.0
2023-03,guarded_black_litterman_lw,True,0.03778024528412835,0.037785084996363,3.1280184431814955,0.0,-0.0028397564510307394,0.9243291930106659,0.05,0.046216459650533295,True,False,ledoit_wolf,0.08483426375288863,-0.11285678592762775,0.0015686500630235597,4.705950189070679e-06,1.337620455780167e-07,0.015181805400469343,0.5870726423850606,0.39765854950542023,8.700270904962959e-05,0.015181805400469343,0.5870726423850606,0.39765854950542023,8.700270904962959e-05,0.3284934743004305,0.20930585329077053,0.46031816756728794,0.0018825048415110623,0.21000152071985298,2023-02-28,2022-03-14,2023-02-28,252,0.160623787162771,1.2131699434419607,1.4991208239135896,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005997376922078895,0.00014084726148559586,4.839817237978744e-06,,0.08483426375288863,-0.11285678592762775,2.220446049250313e-16,0.04516573624711137,0.04714321407237225,,2.936335179561059e-07,0.0,0.0,0.0031373001260471193,,0.0
2023-04,guarded_black_litterman_lw,True,0.016813269928333072,0.016830139292385252,3.18061066160751,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.09853170688820727,-0.11473793878800691,0.004820769810836645,1.4462309432509936e-05,2.4070546196681036e-06,0.016184182316956584,0.5814750344587644,0.4022478689510864,9.291427319249308e-05,0.016184182316956584,0.5814750344587644,0.4022478689510864,9.291427319249308e-05,0.32368364633913166,0.21192118166070845,0.46253688653631003,0.0018582854638498614,0.24258890158375804,2023-03-31,2022-04-14,2023-03-31,252,0.18521803832261718,1.4839400428265526,1.6439810189810191,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0008090414385252993,0.00014325571472633935,1.6869477085233445e-05,,0.09853170688820727,-0.11473793878800691,2.220446049250313e-16,0.031468293111792736,0.045262061211993096,,0.009931943919002095,0.0,0.0,0.00964153962167329,,0.0
2023-05,guarded_black_litterman_lw,True,-0.01591590737323916,-0.015914564879027128,3.129988356927028,-0.015915907373239113,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.09798174527804757,-0.11770552965209365,0.00039373402422004033,1.181202072660121e-06,1.6129213937095584e-07,0.016031437152031616,0.5741608733069454,0.40971931188452,8.837765650294199e-05,0.016031437152031616,0.5741608733069454,0.40971931188452,8.837765650294199e-05,0.3206287430406323,0.21436000900567623,0.4632436948236326,0.0017675531300588396,0.26836420980075487,2023-04-30,2022-05-12,2023-04-28,252,0.20507514797878082,1.410652463382157,1.5054685558041263,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0008000352006443498,0.00014793618625416898,1.3435140841645573e-06,,0.09798174527804757,-0.11770552965209365,1.1102230246251565e-16,0.03201825472195244,0.04229447034790636,,5.873595266270293e-07,0.0,0.0,0.0007874680484400807,,0.0
2023-06,guarded_black_litterman_lw,True,-0.012021028527723045,-0.011995259590580551,3.092362677596967,-0.02774561032438394,-0.015915907373239113,0.5758898427844577,0.05,0.028794492139222885,True,False,ledoit_wolf,0.09386534893990889,-0.11482807081784803,0.00840330100371069,2.5209903011132072e-05,5.590341313611818e-07,0.00960541124522909,0.5870574317306365,0.40329100392618017,4.615309795435847e-05,0.00960541124522909,0.5870574317306365,0.40329100392618017,4.615309795435847e-05,0.3335850203152184,0.21333347928180266,0.45147865574327184,0.0016028446597071014,0.2884312214392913,2023-05-31,2022-06-14,2023-05-31,252,0.26651128008197267,1.3256552819698173,1.6550061804697158,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0007342253109675712,0.00014490167229431653,2.5768959664587452e-05,,0.09386534893990889,-0.11482807081784803,0.0,0.036134651060091116,0.045171929182151974,,1.0602412927052122e-06,0.0,0.0,0.01680660200742138,,0.0
2023-07,guarded_black_litterman_lw,True,-0.004142024698052528,-0.004123409127599046,3.079554035011024,-0.03177271201921039,-0.02774561032438394,0.26066451124860646,0.05,0.013033225562430324,True,False,ledoit_wolf,0.08708156967706289,-0.11168887965844301,0.006068488086595021,1.820546425978506e-05,4.101061936975479e-07,0.004373452970304028,0.5995316258698618,0.3960726922686861,2.2228891148068754e-05,0.004373452970304028,0.5995316258698618,0.3960726922686861,2.2228891148068754e-05,0.3355618261461673,0.21657129606635536,0.4461613221641522,0.001705555623325198,0.29001962352074057,2023-06-30,2022-07-14,2023-06-30,252,0.18595695666491588,1.117298578199052,1.411091982292179,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0006319333147850966,0.00014073155136209295,1.8615600072508326e-05,,0.08708156967706289,-0.11168887965844301,1.1102230246251565e-16,0.042918430322937115,0.04831112034155699,,4.212709220369524e-07,0.0,0.0,0.012136976173190041,,0.0
2023-08,guarded_black_litterman_lw,True,0.015102285871339596,0.015108839418652934,3.1260623404039984,-0.017150266727692487,-0.03177271201921039,0.15335459213035796,0.05,0.007667729606517898,True,False,ledoit_wolf,0.0859970492921956,-0.10957397004069624,0.002139939395615114,6.419818186845342e-06,1.3372912649232265e-07,0.002633529066401561,0.6063501963447062,0.39100184089008994,1.4433698802543863e-05,0.002633529066401561,0.6063501963447062,0.39100184089008994,1.4433698802543863e-05,0.34345617301931114,0.2168242971794064,0.43783713441918387,0.0018823953820984467,0.4531484241742228,2023-07-31,2022-08-12,2023-07-31,252,0.1434847101905514,1.1262441068622315,1.2206314243759178,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0006162910405803599,0.0001369421487646451,6.553624815035523e-06,,0.0859970492921956,-0.10957397004069624,2.220446049250313e-16,0.04400295070780441,0.05042602995930376,,2.3775018054272976e-07,0.0,0.0,0.004279878791230228,,0.0
2023-09,guarded_black_litterman_lw,True,-0.020075895989973048,-0.020052764160869048,3.063303837999876,-0.03688185574664016,-0.017150266727692487,0.542997948681209,0.05,0.02714989743406045,True,False,ledoit_wolf,0.08396640499928645,-0.11355311212380387,0.007534945072173293,2.260483521651988e-05,5.26993887479581e-07,0.009002617128723163,0.5907772930868352,0.4001650710038062,5.501878063532635e-05,0.009002617128723163,0.5907772930868352,0.4001650710038062,5.501878063532635e-05,0.3315893605339749,0.2157213657862313,0.4506627915993774,0.0020264820804164773,0.44745551793387905,2023-08-31,2022-09-14,2023-08-31,252,0.16656535821045743,1.1029679770892997,1.1562423947432465,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005875297640420163,0.00014149530265019288,2.3131849228878926e-05,,0.08396640499928645,-0.11355311212380387,1.1102230246251565e-16,0.04603359500071355,0.046446887876196136,,3.006407350848458e-07,0.0,0.0,0.015069890144346586,,0.0
2023-10,guarded_black_litterman_lw,True,0.02761617248786341,0.02764727422219533,3.1479005651728147,-0.010284218948748425,-0.03688185574664016,0.017211568759893603,0.05,0.0008605784379946802,True,False,ledoit_wolf,0.0801383798479082,-0.10946858062069859,0.010118507394938466,3.03555221848154e-05,7.462121471042094e-07,0.00028502845338597356,0.6087419684214058,0.39097104549349304,1.9576317151605988e-06,0.00028502845338597356,0.6087419684214058,0.39097104549349304,1.9576317151605988e-06,0.33120566447152305,0.2205754042897794,0.445944145317232,0.0022747859214656218,0.29933018243606807,2023-09-30,2022-10-13,2023-09-29,252,0.17469747567626823,1.1726236726236725,1.3698232017437637,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.000535179993720635,0.00013788844262312995,3.1101747841209605e-05,,0.0801383798479082,-0.10946858062069859,0.0,0.04986162015209181,0.05053141937930142,,4.120099243997549e-07,0.0,0.0,0.020237014789876932,,0.0
2023-11,guarded_black_litterman_lw,True,0.011617976179260942,0.011658181694668484,3.1844727989536747,0.0,-0.010284218948748425,0.7259570809939253,0.05,0.036297854049696265,True,False,ledoit_wolf,0.08827466289142243,-0.11748701769497917,0.013056802624462028,3.9170407873386086e-05,1.0351075341561872e-06,0.011250922351570956,0.5761917413388644,0.4124808819902752,7.64543192892899e-05,0.011250922351570956,0.5761917413388644,0.4124808819902752,7.64543192892899e-05,0.3099610885031103,0.22106114636858298,0.46687146101499655,0.0021063041133101653,0.21951600273104846,2023-10-31,2022-11-14,2023-10-31,252,0.1679382981509756,1.4008498583569406,1.6954950614309805,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0006493680090495227,0.00015047079784291444,4.020552607523063e-05,,0.08827466289142243,-0.11748701769497917,1.1102230246251565e-16,0.04172533710857758,0.04251298230502083,,3.131428383819571e-07,0.0,0.0,0.026113605248924057,,0.0
2023-12,guarded_black_litterman_lw,True,0.020803874959502464,0.020819063600633726,3.250722172875044,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.07864895462605202,-0.1137857672877613,0.00495609420008731,1.486828260026193e-05,3.2035853100054386e-07,0.016490924880522544,0.5807970542767171,0.4026210668534381,9.095398932211268e-05,0.016490924880522544,0.5807970542767171,0.4026210668534381,9.095398932211268e-05,0.32981849761044935,0.22096680461222656,0.44739561799088334,0.001819079786440823,0.20720678433719777,2023-11-30,2022-12-14,2023-11-30,252,0.21231559280893703,1.2315573770491803,1.6238015340364333,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005154715053142324,0.00014193277828256537,1.5188674560682958e-05,,0.07864895462605202,-0.1137857672877613,1.1102230246251565e-16,0.05135104537394798,0.046214232712238706,,4.981869114463067e-07,0.0,0.0,0.00991218840017462,,0.0
2024-01,guarded_black_litterman_lw,True,0.0047577394123601595,0.004758399534175602,3.266188261875565,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.08116456493231387,-0.11233976722757105,0.00021599126220836026,6.479737866250808e-07,1.2148028816867945e-08,0.017017401899550873,0.5839807669536865,0.398918114922499,8.37162242635664e-05,0.017017401899550873,0.5839807669536865,0.398918114922499,8.37162242635664e-05,0.34034358997007896,0.21961879478987253,0.4383632907547786,0.0016743244852699965,0.2460723780524853,2023-12-31,2023-01-12,2023-12-29,252,0.15342403677930283,1.3695208970438328,1.5263597328244276,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005489738833876496,0.00013862648228125745,6.608177291059754e-07,,0.08116456493231387,-0.11233976722757105,0.0,0.04883543506768613,0.04766023277242895,,5.710027736465028e-07,0.0,0.0,0.0004319825244167205,,0.0
2024-02,guarded_black_litterman_lw,True,0.0014374469499132112,0.0014383670256752604,3.2708832342304404,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.07386949243854381,-0.1150396021405447,0.00029976353463022625,8.992906038906788e-07,2.0785158158517383e-08,0.016206264660689133,0.5779412061001956,0.4057600179107606,9.251132835477876e-05,0.016206264660689133,0.5779412061001956,0.4057600179107606,9.251132835477876e-05,0.3241185644699131,0.22097862591428757,0.45305258304870516,0.0018502265670941292,0.10979002771576381,2024-01-31,2023-02-14,2024-01-31,252,0.19195408990536442,1.182509505703422,1.56266318537859,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.00045472515942734015,0.0001428329300824654,9.205687429692898e-07,,0.07386949243854381,-0.1150396021405447,0.0,0.0561305075614562,0.0449603978594553,,1.1982673225156752e-06,0.0,0.0,0.0005995270692604525,,0.0
2024-03,guarded_black_litterman_lw,True,0.04901457041144555,0.04901590863867837,3.431204170822245,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.06570463451888703,-0.11546766813803803,0.00043827920632126923,1.3148376189638076e-06,2.3389613853821002e-08,0.016950491679680494,0.576233529100459,0.4067216431671552,9.433605270538998e-05,0.016950491679680494,0.576233529100459,0.4067216431671552,9.433605270538998e-05,0.3390026298945464,0.21518756949651094,0.4439230795548365,0.00188672105410629,0.14051684454230426,2024-02-29,2023-03-15,2024-02-29,252,0.18059165017081225,1.0629255989911728,1.3325064965745335,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.00035975824977171016,0.00014272995379514868,1.3385778894942678e-06,,0.06570463451888703,-0.11546766813803803,2.220446049250313e-16,0.06429536548111298,0.04453233186196197,,1.3030572051036012e-06,0.0,0.0,0.0008765584126425385,,0.0
2024-04,guarded_black_litterman_lw,True,0.017172205972363682,0.01717324295048757,3.4901255155768376,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.0742117116567733,-0.12418852963565744,0.0003404836598474607,1.0214509795423821e-06,1.5527144345818056e-08,0.01678391783922034,0.554699659546618,0.42842230026393324,9.412235022819099e-05,0.01678391783922034,0.554699659546618,0.42842230026393324,9.412235022819099e-05,0.3356710909224123,0.20327094969628903,0.45917551237673637,0.0018824470045622856,0.11947245083902273,2024-03-31,2023-04-13,2024-03-29,252,0.14461184000420332,1.3365119196988708,1.1434281683517518,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.00045894817891900514,0.00015763217104639685,1.0374150826301534e-06,,0.0742117116567733,-0.12418852963565744,1.1102230246251565e-16,0.0557882883432267,0.03581147036434257,,1.0732299744562634e-06,0.0,0.0,0.0006809673196949213,,0.0
2024-05,guarded_black_litterman_lw,True,0.008499142951811955,0.008516656966587436,3.5197885912534916,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.07967529852304497,-0.128090795351515,0.005004113410172239,1.5012340230516718e-05,2.5016745449642078e-06,0.020337027869256563,0.5419174792996969,0.4376514942853623,9.399854568413166e-05,0.020337027869256563,0.5419174792996969,0.4376514942853623,9.399854568413166e-05,0.31966577757853487,0.213350125472347,0.46510412603543555,0.0018799709136826308,0.06427294137019064,2024-04-30,2023-05-15,2024-04-30,252,0.08868569690802496,1.4402295982031446,1.198830409356725,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0005290127662280277,0.00016321614718723784,1.751475807810562e-05,,0.07967529852304497,-0.128090795351515,0.0,0.05032470147695503,0.03190920464848501,,0.009168479588377788,0.0,0.0,0.010008226820344478,,0.0
