target_month,signal_month,p_growth_high,p_inflation_high,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,regime
2008-06,2008-05,0.6600264397308134,0.6418797707625996,0.23636881989914413,0.4236576198316693,0.12175140933825625,0.2182221509309303,Overheating
2008-07,2008-06,0.4277913444580111,0.6978573323202942,0.12925401802483139,0.2985373264331797,0.1728886496548744,0.3993200058871146,Stagflation
2008-08,2008-07,0.384018759018759,0.7407690930253379,0.09954953119571709,0.2844692278230419,0.15968137577894503,0.45629986520229604,Stagflation
2008-09,2008-08,0.2701201811679738,0.7648713868172788,0.06351298359069107,0.20660719757728274,0.17161562959203006,0.5582641892399961,Stagflation
2008-10,2008-09,0.3966277173008423,0.7520596590909091,0.09834001144156536,0.29828770585927694,0.14960032946752552,0.45377195323163216,Stagflation
2008-11,2008-10,0.174616206013077,0.7300791661693918,0.047132551927387,0.12748365408569,0.22278828190322117,0.6025955120837018,Stagflation
2008-12,2008-11,0.05284408573882258,0.7171432176582097,0.014947308057877045,0.037896777680945536,0.2679094742839133,0.6792464399772641,Stagflation
2009-01,2008-12,0.05634865402420339,0.6539919787854216,0.019497086277019505,0.036851567747183886,0.3265109349375589,0.6171404110382377,Stagflation
2009-02,2009-01,0.014776349592165533,0.5833682519729032,0.006156296360043405,0.008620053232122128,0.4104754516670534,0.5747481987407811,Stagflation
2009-03,2009-02,0.039972651359531305,0.5443860068531357,0.018212099302583495,0.02176055205694781,0.43740189384428085,0.5226254547961878,Stagflation
2009-04,2009-03,0.027596488533988533,0.5586754275095083,0.012179008504501246,0.015417480029487287,0.42914556398599046,0.543257947480021,Stagflation
2009-05,2009-04,0.05235413056036973,0.49837064049346314,0.026262368980519875,0.026091761579849854,0.475366990526017,0.47227887891361325,Slowdown
2009-06,2009-05,0.04441659108544255,0.2246852106227106,0.034436839962267075,0.009979751123175468,0.7408779494150223,0.21470545949953512,Slowdown
2009-07,2009-06,0.1030053880556776,0.08234336059231648,0.09452357824405745,0.00848180981162015,0.8231330611636261,0.07386155078069633,Slowdown
2009-08,2009-07,0.08909727050838534,0.03375478927203065,0.08608981091766169,0.003007459590723658,0.8801553998103077,0.03074732968130699,Slowdown
2009-09,2009-08,0.12651946637572686,0.024128097182240727,0.12346679239556808,0.003052673980158776,0.8524051104221911,0.02107542320208195,Slowdown
2009-10,2009-09,0.3314023891343479,0.0604072372717242,0.3113832863814931,0.020019102752854828,0.6282094763467828,0.04038813451886938,Slowdown
2009-11,2009-10,0.39237765495627136,0.052488174077578054,0.37178246829877476,0.020595186657496628,0.5757293576236472,0.031892987420081426,Slowdown
2009-12,2009-11,0.5010947142501767,0.03245478858533916,0.4848317912379563,0.01626292301222042,0.4827134201767046,0.016191865573118736,Goldilocks
2010-01,2009-12,0.478437682353345,0.0976291260921242,0.43172822953564666,0.04670945281769838,0.47064264437222925,0.05091967327442582,Slowdown
2010-02,2010-01,0.6084444026955848,0.22546185539606592,0.47126339875848716,0.13718100393709762,0.30327474584544695,0.08828085145896829,Goldilocks
2010-03,2010-02,0.6494518792494542,0.2929181161488516,0.45921565825037264,0.19023622099908158,0.24786622560077573,0.10268189514977002,Goldilocks
2010-04,2010-03,0.721686149842296,0.22763038642168573,0.5574084526785155,0.1642776971637804,0.21496116089979872,0.06335268925790531,Goldilocks
2010-05,2010-04,0.774261124399802,0.20627623302930717,0.6145494562775751,0.15971166812222695,0.17917431069311776,0.046564564907080226,Goldilocks
2010-06,2010-05,0.8041657576212099,0.3719488939740656,0.5050571935021844,0.29910856411902553,0.12299391252375004,0.07284032985504006,Goldilocks
2010-07,2010-06,0.7694485386454216,0.48543558270556836,0.3959308389261334,0.3735176997192883,0.11863357836829831,0.11191788298628008,Goldilocks
2010-08,2010-07,0.7577738064151108,0.46878901373283394,0.40253777107319566,0.3552360353419152,0.12867321519397049,0.1135529783909187,Goldilocks
2010-09,2010-08,0.7414422259526057,0.4365434690458409,0.41777046453818495,0.32367176141442067,0.1456860664159741,0.11287170763142021,Goldilocks
2010-10,2010-09,0.6562489442924225,0.4151655515525819,0.3837969893794594,0.2724519549129632,0.20103745906795878,0.1427135966396187,Goldilocks
2010-11,2010-10,0.6811939246265301,0.4801285516909954,0.35413327217488905,0.32706065245164095,0.16573817613411548,0.15306789923935443,Goldilocks
2010-12,2010-11,0.6080937801366441,0.5073405449101478,0.2995831503656475,0.3085106297709966,0.19307630472420476,0.1988299151391512,Overheating
2011-01,2010-12,0.6161770107849187,0.47608387330014734,0.32282507285192796,0.29335193793299075,0.20109105384792472,0.18273193536715657,Goldilocks
2011-02,2011-01,0.7239254144516002,0.5224358974358975,0.34572079087592444,0.37820462357567575,0.13184331168817812,0.1442312738602217,Overheating
2011-03,2011-02,0.524493129734091,0.5577992004592827,0.23193128132202823,0.2925618484120628,0.2102695182186891,0.2652373520472199,Overheating
