month,signal_month,regime,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,objective_mode,solver_success,used_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_squared_loss,expected_log_growth,expected_cagr,standardized_mse_quality,standardized_log_growth,combined_score,target_volatility,sum_error,volatility_slack,cdar_slack,w_KODEX200,w_BOND,w_GLD,w_USO
2018-06,2018-05,Slowdown,-0.015508752725676679,-0.015391812629458856,2.078580737427516,-0.06254944045232003,0.03753399157007671,0.00011260197471023013,4.338121507592996e-06,combined,True,False,False,0,Optimization terminated successfully,6,-0.6732706272526227,0.0050837268058732,0.0004685327521903558,0.0610047216704784,0.07498261816103963,0.8135848436161431,0.9903269234186807,0.058193525157336265,0.059920097067060016,0.6731917100656425,0.6733495444396028,0.6732706272526227,0.07498261815707294,1.1102230246251565e-16,-3.966688089107606e-12,0.014309124788321304,0.41278612877972387,0.1980662570888312,0.38914761413144394,9.237614793073e-16
2018-07,2018-06,Slowdown,-0.01086829984948035,-0.010679273703392052,2.0559900987117996,-0.07273793422754748,0.055606231135298535,0.0001668186934058956,2.22074526824019e-05,combined,True,False,False,0,Optimization terminated successfully,6,-0.6944416510775058,0.005898989136216404,0.00044494484163359925,0.07078786963459685,0.07307077459287804,0.9687576192944354,0.98868176464203,0.06811820058479526,0.07049183376171501,0.6944584536821965,0.6944248484728152,0.6944416510775058,0.07307077457994489,0.0,-1.2933154547312142e-11,-1.3951340083195873e-12,0.34847719335363814,0.21386975802772343,0.4376530486186384,6.955199288141913e-17
2018-08,2018-07,Slowdown,-0.005414140352064307,-0.004392109557444408,2.0448586797549195,-0.07775826119478446,0.33147629090781605,0.000994428872723448,2.7601921896450972e-05,combined,True,False,False,0,Optimization terminated successfully,5,-0.7343371829384862,0.005765334789991253,0.00034437063372423334,0.06918401747989504,0.06428411627059051,1.0762225802199632,0.9888469401389823,0.06711779367754964,0.06942144184007763,0.7343347557070381,0.7343396101699341,0.7343371829384862,0.07392621066008999,0.0,0.009642094389499478,-3.0808688933348094e-15,0.02,0.4928612749719117,0.4871387250280884,0.0
2018-09,2018-08,Slowdown,-0.003158868431050607,-0.002613182142422922,2.038399240225482,-0.08067150150929359,0.17987383133154908,0.0005396214939946473,6.064794633037857e-06,combined,True,False,False,0,Optimization terminated successfully,6,-0.6661534693536705,0.0044744815719367816,0.00032818259089676034,0.05369377886324138,0.06275500849144333,0.8556094589735024,0.9913992404323608,0.051724683317860815,0.05308577051778559,0.6661217760704836,0.6661851626368573,0.6661534693536705,0.07307939430159185,0.0,0.010324385810148523,1.1732004256970185e-12,0.20001587032497553,0.3344549992792006,0.46552913039582394,0.0
2018-10,2018-09,Slowdown,-0.057733098192633676,-0.05650644016150854,1.9207161367337542,-0.13374718398394403,0.3526684956034292,0.0010580054868102877,0.00016865254431484635,combined,True,False,False,0,Optimization terminated successfully,8,-0.7614680258929553,0.006024229211280469,0.00043257398023101496,0.07229075053536563,0.07204781580847666,1.0033718541521752,0.9884204068952602,0.06969530665397954,0.07218144492755592,0.7615020991308489,0.7614339526550616,0.7614680258929553,0.07204781580840786,0.0,-6.880607195114408e-14,0.1009721679390661,0.5547487012153595,0.3191326778040813,0.12611862098055898,2.891314010576951e-16
2018-11,2018-10,Slowdown,0.0037918731002266545,0.0048863107407513704,1.9279992485858062,-0.13046246323289712,0.3126964687213473,0.000938089406164042,0.0001563482343606736,combined,True,False,False,0,Optimization terminated successfully,16,-0.7928363963066007,0.005294685281923821,0.00031561995084640205,0.06353622338308584,0.06154217586466069,1.0324013165022037,0.9897542830792334,0.06164250367800744,0.06358205008407332,0.792985820824944,0.7926869717882575,0.7928363963066007,0.07542829623360887,1.1102230246251565e-16,0.013886120368948186,-6.242933114908311e-10,0.26406875919529565,0.2809021535052449,0.45502908729945873,5.825063738654212e-16
2018-12,2018-11,Slowdown,0.011914406173170257,0.01201115213623622,1.9509702147350243,-0.12010243983703595,0.029871996511603004,8.961598953480902e-05,7.129973531155188e-06,combined,True,False,False,0,Optimization terminated successfully,8,-0.7005001069568498,0.003921965737091195,0.000291259962080529,0.04706358884509434,0.059119536068598745,0.7960750705229586,0.992462710303141,0.04531602907261116,0.046358487364401665,0.7004399077414734,0.7005603061722263,0.7005001069568498,0.07210506411208827,0.0,0.01298552804348952,-7.54091233901022e-13,0.24399672537927403,0.2973512333068954,0.4586520413138307,0.0
2019-01,2018-12,Slowdown,0.04698219088172526,0.047537727287715756,2.0426310697682655,-0.0787629247090954,0.17716353358356468,0.000531490600750694,2.4045805239796047e-05,combined,True,False,False,0,Optimization terminated successfully,7,-0.7250606607321932,0.005921697942121716,0.0004239647108111801,0.07106037530546058,0.07132724955957688,0.9962584530349318,0.9886156353330855,0.06851658704059352,0.07091838817043626,0.7249874216377525,0.7251338998266338,0.7250606607321932,0.07132724955866318,1.1102230246251565e-16,-9.13699671478696e-13,1.7708057242771247e-14,0.4115257820272038,0.16630912388713232,0.4221650940856635,2.517161161277904e-16
2019-02,2019-01,Slowdown,-0.001434272405514919,-0.0011904843535485387,2.0397013803902495,-0.0800842296251224,0.0773620697788151,0.00023208620933644531,1.1701842629935067e-05,combined,True,False,False,0,Optimization terminated successfully,6,-0.711597717070229,0.005340296798927098,0.00042415647405256876,0.06408356158712517,0.07134337873013041,0.8982411924943048,0.989772081646099,0.06153862274280976,0.06347156992454162,0.7115571664176805,0.7116382677227774,0.711597717070229,0.07134337873012922,0.0,-1.1934897514720433e-15,-2.3592239273284576e-15,0.3498886100148366,0.21278206725952525,0.4373293227256382,0.0
2019-03,2019-02,Slowdown,-0.005787213010732947,-0.005752296654501472,2.027897194023645,-0.08540797814021439,0.011165237994025893,3.349571398207768e-05,1.420642249396864e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.6994077204377915,0.005080589466034055,0.00041420500846667366,0.06096707359240866,0.0705014900665233,0.8647629083425298,0.990278838465721,0.05848184354160861,0.06022573557538739,0.6993359693368917,0.6994794715386913,0.6994077204377915,0.07050149006620629,0.0,-3.1701030689390564e-13,-1.6459056340067946e-14,0.3600275310878205,0.20497200513897829,0.4350004637732007,6.288299808522018e-16
