date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-02-22,ALL,전체,5377367,6634988,1257621,153579229360,183491211650,29911982290
2002-02-25,ALL,차익,345554,2101208,1755654,8927885720,56096034830,47168149110
2002-02-25,ALL,비차익,1815215,3741820,1926605,62211374400,107618371750,45406997350
2002-02-25,ALL,전체,2160769,5843028,3682259,71139260120,163714406580,92575146460
2002-02-26,ALL,차익,242240,4670957,4428717,6511196400,119072897610,112561701210
2002-02-26,ALL,비차익,2036737,6062528,4025791,69638492250,173260128740,103621636490
2002-02-26,ALL,전체,2278977,10733485,8454508,76149688650,292333026350,216183337700
2002-02-27,ALL,차익,316210,6005213,5689003,7600930550,143791716770,136190786220
2002-02-27,ALL,비차익,2332333,7352126,5019793,80218199960,209476598200,129258398240
2002-02-27,ALL,전체,2648543,13357339,10708796,87819130510,353268314970,265449184460
2002-02-28,ALL,차익,811139,882333,71194,21208817670,22682418040,1473600370
2002-02-28,ALL,비차익,4908550,3205737,-1702813,168551270550,104970123420,-63581147130
2002-02-28,ALL,전체,5719689,4088070,-1631619,189760088220,127652541460,-62107546760
2002-03-04,ALL,차익,200670,3339280,3138610,5430277720,89355144500,83924866780
2002-03-04,ALL,비차익,3684313,7766672,4082359,114789454500,230929496050,116140041550
2002-03-04,ALL,전체,3884983,11105952,7220969,120219732220,320284640550,200064908330
2002-03-05,ALL,차익,4849879,538386,-4311493,122121056100,15115903060,-107005153040
2002-03-05,ALL,비차익,6926965,2052668,-4874297,214532652950,81285752050,-133246900900
2002-03-05,ALL,전체,11776844,2591054,-9185790,336653709050,96401655110,-240252053940
2002-03-06,ALL,차익,1424530,1967322,542792,34567258600,51774077080,17206818480
2002-03-06,ALL,비차익,3270813,3252509,-18304,109421216800,116482242070,7061025270
2002-03-06,ALL,전체,4695343,5219831,524488,143988475400,168256319150,24267843750
2002-03-07,ALL,차익,699440,1488088,788648,18370339950,36689323210,18318983260
2002-03-07,ALL,비차익,2050070,3413660,1363590,67967795500,105421858320,37454062820
2002-03-07,ALL,전체,2749510,4901748,2152238,86338135450,142111181530,55773046080
2002-03-08,ALL,차익,1377050,2470738,1093688,34986203250,60018414310,25032211060
2002-03-08,ALL,비차익,1862926,3688126,1825200,62041787880,120451025900,58409238020
2002-03-08,ALL,전체,3239976,6158864,2918888,97027991130,180469440210,83441449080
2002-03-11,ALL,차익,2828677,769715,-2058962,73756798260,20288478830,-53468319430
2002-03-11,ALL,비차익,3963150,2870529,-1092621,116054165370,98339932760,-17714232610
2002-03-11,ALL,전체,6791827,3640244,-3151583,189810963630,118628411590,-71182552040
2002-03-12,ALL,차익,3105357,1005692,-2099665,74075633050,26123487830,-47952145220
2002-03-12,ALL,비차익,3278089,2775720,-502369,95000568900,91503428520,-3497140380
2002-03-12,ALL,전체,6383446,3781412,-2602034,169076201950,117626916350,-51449285600
2002-03-13,ALL,차익,1535192,2257212,722020,36792919230,58887235000,22094315770
2002-03-13,ALL,비차익,4218502,4799598,581096,134013956600,165313917460,31299960860
2002-03-13,ALL,전체,5753694,7056810,1303116,170806875830,224201152460,53394276630
2002-03-14,ALL,차익,8715414,3362072,-5353342,199001856850,71023817050,-127978039800
2002-03-14,ALL,비차익,10679983,16031740,5351757,321195296720,494566721950,173371425230
2002-03-14,ALL,전체,19395397,19393812,-1585,520197153570,565590539000,45393385430
2002-03-15,ALL,차익,1208990,466377,-742613,29550964350,12079011900,-17471952450
2002-03-15,ALL,비차익,5490469,5111180,-379289,172951465180,181249201030,8297735850
2002-03-15,ALL,전체,6699459,5577557,-1121902,202502429530,193328212930,-9174216600
2002-03-18,ALL,차익,1444850,1522817,77967,38154316600,36864421850,-1289894750
2002-03-18,ALL,비차익,6191941,4018020,-2173921,178928360250,128607229180,-50321131070
2002-03-18,ALL,전체,7636791,5540837,-2095954,217082676850,165471651030,-51611025820
2002-03-19,ALL,차익,3101530,5698196,2596666,89419485800,143524949640,54105463840
2002-03-19,ALL,비차익,6729187,7488866,759679,242007285650,238858281930,-3149003720
2002-03-19,ALL,전체,9830717,13187062,3356345,331426771450,382383231570,50956460120
2002-03-20,ALL,차익,1895174,3300209,1405035,51592844350,87754835900,36161991550
2002-03-20,ALL,비차익,7328802,4439264,-2889538,226298697300,153772537210,-72526160090
2002-03-20,ALL,전체,9223976,7739473,-1484503,277891541650,241527373110,-36364168540
2002-03-21,ALL,차익,168490,2166048,1997558,4410830050,56903324200,52492494150
2002-03-21,ALL,비차익,3395800,6738032,3342232,118736809340,230817006000,112080196660
