month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,net_expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_log_growth,expected_cagr,historical_downside_deviation,historical_max_drawdown,causal_sortino_objective,causal_calmar_objective,expected_sharpe,expected_annual_volatility,estimated_transaction_cost,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO,policy,objective_mode,objective_value,optimized_ratio,solver_success,primary_solver_message,used_objective_restart,objective_restart_attempts,used_fallback,solver_status,solver_message,solver_iterations,historical_cdar,sum_error,volatility_slack,cdar_slack
2008-02,2008-01,,2008-01-31,0.012679603695529031,0.012709399727270962,1.076020933224505,0.0,0.00851315192631406,2.553945577894218e-05,4.256575962988077e-06,0.017786385415597853,0.8747383826123115,0.10747523197175267,3.3800317994517564e-13,0.009491337034519088,0.009461539502246645,0.00012407798322704896,0.11353847402695974,0.11279400612759745,0.11940131938435838,0.0035153909651751284,-0.0025430231811055526,32.29753821174298,46.95250923054894,2.9424227315055544,0.03858673086340157,2.979753227244272e-05,-0.0,-0.00652620117924728,1.8953488372093024,1.947674418604651,1.0,1.0,0.0,0.0,0.0224679775556834,0.009249895491056783,Stage40_calmar,calmar,-46.95250923054894,46.95250923054894,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,32,-0.0025322214835586574,0.0,0.09141326913659843,0.15746777851644134
2008-03,2008-02,,2008-02-29,-0.005391056339773528,-0.005374085210892439,1.0702200437507159,-0.005391056339773659,0.00484889396602539,1.454668189807617e-05,2.424446983012708e-06,0.017878502074268002,0.8742866609066302,0.10783483701910167,2.0294468990701228e-16,0.011977630485219494,0.011960657851108138,0.00011351364483545554,0.14352789421329765,0.14284681234428492,0.15355307803864926,0.003451326747571918,-0.0025431029291924645,41.586295564241375,60.38020572270286,3.8888541525889586,0.03690750246258159,1.6972634111355173e-05,-0.0,-0.008167260488437784,0.3103448275862069,1.1551724137931034,1.0,1.0,0.0,0.0,0.0251318665429316,0.011762295190122342,Stage40_calmar,calmar,-60.380205722702875,60.38020572270286,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,51,-0.002543101745361468,0.0,0.09309249753741841,0.15745689825463854
2008-04,2008-03,,2008-03-31,0.007331389323856883,0.007564275115445707,1.0780662435536477,0.0,0.06875579262711536,0.00020626737788134608,2.6618413707478274e-05,0.002878629918032872,0.9478452423092191,0.049275382417221056,7.453555269887286e-07,0.011108863812299138,0.010875977267837305,9.17007308489496e-05,0.13051172721404766,0.12996152282895396,0.1387845652731273,0.0032190381593350573,-0.002530129441708162,40.543703042341974,54.85275297987517,3.934345683801618,0.033172409773596416,0.00023288654446183246,-0.0,-0.008270806760279376,0.06818181818181818,1.0340909090909092,1.0,1.0,0.0,0.0,0.020227863183771636,0.013518332420132723,Stage40_calmar,calmar,-54.85275297987517,54.85275297987517,True,Positive directional derivative for linesearch,True,1,False,0,Optimization terminated successfully,41,-0.002530129370846882,0.0,0.09682759022640358,0.15746987062915313
2008-05,2008-04,,2008-04-30,-0.004984091001546684,-0.004978186236373885,1.0726930632900806,-0.004984091001546731,0.0016871969070349968,5.06159072110499e-06,8.431744516949159e-07,0.0028609946690293674,0.9479313117129649,0.04920769361800582,2.644795326761187e-19,0.012774795784000644,0.012768890320296128,7.394963534459957e-05,0.15322668384355353,0.15278298603148593,0.16507211458299045,0.0031526984352447905,-0.0025300747337089202,48.60175719015646,65.2439678495211,5.143701542544852,0.029789186362423444,5.905463704517062e-06,0.0,-0.009184361226252737,1.404494382022472,1.702247191011236,1.0,1.0,0.0,0.0,0.01739711998045463,0.020559747262021345,Stage40_calmar,calmar,-65.2439678495211,65.2439678495211,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,30,-0.0025290068031338744,0.0,0.10021081363757656,0.15747099319686614
2008-06,2008-05,,2008-05-30,0.00164151292189793,0.0017273378362314968,1.0744539028147015,-0.003350759529431757,0.02546356490072309,7.639069470216928e-05,9.434219631397484e-06,0.00944839419120224,0.9195116143384985,0.06359249707645977,0.00744749439383958,0.01367635810999624,0.013590533195339876,9.442612063880992e-05,0.1630863983440785,0.16251984162024566,0.1764716613210432,0.00405035202103117,-0.002931944284637389,40.264746742323574,60.18929563078942,4.844857913028819,0.03366175051398425,8.582491465636444e-05,0.0,-0.010628488931089038,1.1777777777777778,1.588888888888889,1.0,1.9850187265917603,0.0,0.0,0.019625975120557502,0.02963612778212526,Stage40_calmar,calmar,-60.18929563078942,60.18929563078942,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,36,-0.0029319439939272662,0.0,0.09633824948601576,0.15706805600607274
2008-07,2008-06,2008-06-30,2008-06-30,-0.0016612572310994275,-0.0016409686796342306,1.0726689584991675,-0.005006450287033393,0.005796728990056245,1.7390186970168736e-05,2.898364495028151e-06,0.009615281729244836,0.918790877759303,0.0639591171596355,0.007634723351816678,0.01095783111436866,0.010937542561120504,9.575541453845838e-05,0.13125051073344604,0.1306759782462153,0.13959846678843257,0.003967626849644829,-0.002942048111428952,33.08035652223576,47.44941669924957,3.8719408009607275,0.03389786091277001,2.028855324815535e-05,0.0,-0.00831345294272501,1.2417582417582418,1.620879120879121,1.0,1.953125,0.0,0.0,0.021889785674200482,0.027158549206902513,Stage40_calmar,calmar,-47.44941669924957,47.44941669924957,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,39,-0.0029420477267139513,0.0,0.09610213908723,0.15705795227328606
2008-08,2008-07,2008-07-31,2008-07-31,-0.0033850916673754546,-0.0033672608660467117,1.0690378757458998,-0.008374594661258894,0.0051427963358753066,1.542838900762592e-05,2.4024123211167874e-06,0.009448824008942917,0.9195083852941822,0.06359658802158624,0.007446202675288684,0.006417520121466111,0.006399689316826591,9.470099568512059e-05,0.07679627180191909,0.07622806582780836,0.07920867671265809,0.004036631902483871,-0.002931883402169322,19.024838939280997,27.01631199046013,2.278097153516075,0.03371070969619962,1.783080463952025e-05,-0.0,-0.007608717230213463,1.7934782608695652,1.8967391304347827,1.0,1.9241935483870969,0.0,0.0,0.015776272228801593,0.014795253173567134,Stage40_calmar,calmar,-27.01631199046013,27.01631199046013,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,27,-0.0029318829064217677,0.0,0.09628929030380039,0.15706811709357824
2008-09,2008-08,2008-08-29,2008-08-29,0.014549332590945579,0.01457639353933499,1.0845916633524448,0.0,0.008739082506613649,2.6217247519840947e-05,8.437008695690962e-07,1.8041830759698756e-12,0.9284981448814464,0.06252206094461991,0.008979794172129484,0.006244604979062078,0.0062175439836204376,9.584543877721431e-05,0.07461052780344525,0.07403545517078196,0.07684498454222624,0.00431152586329239,-0.003855368062309683,17.30490090264025,19.931945095843783,2.2000054884160885,0.03391379166838429,2.7060995441640075e-05,-0.0,-0.006496732900909817,1.989247311827957,1.9946236559139785,1.0,1.9682779456193353,0.0,0.0,0.013925156880516732,0.0297861987457496,Stage40_calmar,calmar,-19.931945095843794,19.931945095843783,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,29,-0.003514549324823646,0.0,0.09608620833161571,0.15648545067517636
2008-10,2008-09,2008-09-30,2008-09-30,0.0030204318257954343,0.0030362915995903756,1.087867598530427,0.0,0.004896400072406873,1.4689200217220618e-05,1.1705735777209166e-06,1.8026129567362095e-10,0.9224737200582619,0.07391445762317421,0.003611822138302511,0.010045431639996084,0.010029570365595,0.00011923745504285403,0.12035484438714,0.11963941965688288,0.12709037166650708,0.004420849826287998,-0.003835877686193312,27.224368417010197,33.13201881382989,3.1817540357609446,0.03782657082679117,1.586127440108442e-05,-0.0,-0.007006556265532079,1.9680851063829787,1.9840425531914894,1.0,1.9957386363636362,0.0,0.0,0.023767811742896845,0.019167191185290974,Stage40_calmar,calmar,-33.13201881383012,33.13201881382989,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,16,-0.003692233603918127,2.220446049250313e-16,0.09217342917320884,0.15630776639608188
2008-11,2008-10,2008-10-31,2008-10-31,0.018970319992092515,0.019003862259410684,1.1085047949835785,0.0,0.00958350494804822,2.875051484414466e-05,4.791752474024097e-06,5.668835181337557e-13,0.9224441784313768,0.07397031651971124,0.0035855050483450507,0.004340738207823863,0.004307194439762358,0.00011371809985628113,0.05168633327714829,0.0510040246780106,0.05232712855253535,0.004350153059075289,-0.003835781824301887,11.88149763358792,13.641841728591771,1.3991694158427148,0.0369407254703447,3.354376806150552e-05,-0.0,0.003692672006870234,1.9894736842105263,1.9947368421052631,1.0,1.9853333333333332,0.0,0.0,0.011280892002041522,0.00031493103820688,Stage40_calmar,calmar,-13.641841728591771,13.641841728591771,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,28,-0.0034876264487842534,0.0,0.0930592745296553,0.15651237355121575
