month,signal_month,regime,p_growth_high,p_inflation_high,gross_return,return,turnover,trade_cost,fx_cost,nav,drawdown,w_KODEX200,w_BOND,w_GLD,w_USO
2011-12,2011-11,Stagflation,0.25875925613580253,0.5590820337263852,-0.028498019451729757,-0.028520014320637915,0.006608895237949283,1.9826685713847848e-05,2.168183194309975e-06,1.7967346682872396,-0.028520014320637888,0.19283694247395416,0.5217858559978461,0.2853772015281998,1.4950555035512028e-17
2012-01,2011-12,Stagflation,0.21838597986680486,0.5502919345733134,0.03263160164551738,0.032518722732277724,0.03446893394830442,0.00010340680184491327,9.47211139474255e-06,1.8551621847887432,0.0,0.17480952198521135,0.5735730055943726,0.25161747242041593,0.0
2012-02,2012-01,Slowdown,0.15648376405494613,0.489356884057971,0.002302617839816596,0.0022139650453801623,0.027057532220933298,8.11725966627999e-05,7.48019777363386e-06,1.8592694490193764,0.0,0.16953931951840287,0.585017099851952,0.24544358062964514,8.64481825967739e-18
2012-03,2012-02,Slowdown,0.3310868553970339,0.4413086058655679,-0.0041106673698356145,-0.004210463569852221,0.02877425732981369,8.632277198944107e-05,1.347342802716539e-05,1.8514410627377411,-0.004210463569852219,0.1783527822058593,0.5560249238482597,0.26562229394588105,0.0
2012-04,2012-03,Slowdown,0.2197844457648379,0.39355673062999635,0.0035789633902565078,0.003576740084511321,0.0006352302129104953,1.905690638731486e-06,3.176151064552546e-07,1.8580631862009453,-0.0006487832191656162,0.17832812047188903,0.5584083937513095,0.26326348577680153,0.0
2012-05,2012-04,Slowdown,0.23314699283296347,0.3204428030514987,-0.00971403672374255,-0.009759756100116678,0.01306267896403672,3.918803689211016e-05,6.5313394820183665e-06,1.8399289426850185,-0.01040220735330133,0.17689373344251805,0.5476478523853092,0.2754584141721728,0.0
2012-06,2012-05,Slowdown,0.29048253077592817,0.25624789424658617,-0.0135421109228828,-0.013549802316851099,0.0021975411338001627,6.592623401400488e-06,1.0987705669000535e-06,1.8149982692345836,-0.023811061816856327,0.16370518425064362,0.5555890395813671,0.2807057761679893,0.0
2012-07,2012-06,Slowdown,0.2151617101011333,0.21752885795899735,0.016673804658440733,0.016664319906067877,0.002709929249387309,8.129787748161926e-06,1.3549646246936443e-06,1.8452439810220682,-0.0075435370622076725,0.1664550786222876,0.5630759870195327,0.2704689343581797,1.3337380787466213e-17
2012-08,2012-07,Slowdown,0.1602832566482699,0.12960750475684765,0.02121157726269682,0.02120646973996812,0.0014942029606548504,4.4826088819645516e-06,6.249138467361581e-07,1.884375091668471,0.0,0.1630271131408124,0.5652928441487484,0.2716800427104392,4.7896988932714286e-17
2012-09,2012-08,Slowdown,0.11535840958890779,0.1007035639813444,0.015544077878851925,0.015536252006836851,0.0025397240537663153,7.619172161298946e-06,2.0669985377433366e-07,1.9136512179680387,0.0,0.15864169871763295,0.5593245079804426,0.28203379330192446,9.097133853511186e-19
