month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2010-09,0.06564527145320853,0.06564527145320853,2.3956433566088062,-0.040895106127209035,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2010-10,0.007597670007833068,0.007597670007833068,2.4138446642887774,-0.03360814364066578,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2010-11,0.027104588789744977,0.027104588789744977,2.4792709313166448,-0.007414489764287713,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0
2010-12,0.03270655556657315,0.03620655556657315,2.560359343796342,0.0,1.0,0.003,0.0005,,1.0,0.0,0.0,0.0,0.0,1.0
2011-01,0.005730890350827581,0.00923089035082758,2.575032482454356,0.0,1.0,0.003,0.0005,,1.0,0.0,1.0,0.0,0.0,0.0
2011-02,0.020856326692035913,0.024356326692035912,2.628738201151028,0.0,1.0,0.003,0.0005,,1.0,0.0,0.0,0.0,0.0,1.0
2011-03,0.059761030803243465,0.059761030803243465,2.7858343057636774,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-04,0.02477715874308295,0.02477715874308295,2.8548593645895104,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-05,-0.09570951480712797,-0.09570951480712797,2.5816221599620626,-0.09570951480712797,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-06,-0.09273385280135493,-0.09273385280135493,2.342218390591425,-0.17956785555066956,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-07,0.0261574490150418,0.0261574490150418,2.4034848487254132,-0.15810744356193485,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-08,0.1350293991331667,0.1380293991331667,2.728025963674476,-0.04442719753141722,1.0,0.003,0.0,,1.0,0.0,0.0,0.0,1.0,0.0
2011-09,-0.03317540989857359,-0.03017540989857359,2.637522584115624,-0.07612871694124113,1.0,0.003,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
2011-10,-0.04536760191182243,-0.04236760191182243,2.5178645094860252,-0.11804254152881555,1.0,0.003,0.0,,1.0,0.0,0.0,0.0,1.0,0.0
2011-11,0.05708279122244542,0.05708279122244542,2.661591243607421,-0.06769794805982632,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0
2011-12,-0.07893405167145973,-0.07893405167145973,2.451501062856208,-0.1412883264010799,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0
2012-01,0.06869118590115986,0.06869118590115986,2.619897578101755,-0.08230240319440041,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0
2012-02,-0.0015707395498391588,0.0019292604501608412,2.6157824013593025,-0.08374386710449533,1.0,0.003,0.0005,,1.0,0.0,0.0,1.0,0.0,0.0
2012-03,0.0006418485237484894,0.0006418485237484894,2.6174613374320623,-0.08315576945822079,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-04,0.0073408880336398585,0.0073408880336398585,2.636675828042532,-0.076425318617525,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-05,0.008490165558228346,0.008490165558228346,2.6590616423459923,-0.06858401666719971,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-06,0.0019643608811561464,0.0019643608811561464,2.6642849990167994,-0.06675437954545727,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-07,0.02023526116790375,0.02023526116790375,2.7181975017976323,-0.04786991068175728,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-08,0.00658842907144308,0.00658842907144308,2.7361061532404,-0.04159686912149718,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-09,0.0022499488647986787,0.0022499488647986787,2.7422622521738518,-0.03944051108515767,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-10,0.004285714285714226,0.004285714285714226,2.7540148046831683,-0.035323827561236865,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-11,0.0,0.0,2.7540148046831683,-0.035323827561236865,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2012-12,-0.0007451060082638294,-0.0007451060082638294,2.7519627717053514,-0.036042613573349924,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-01,0.00528741865509752,0.00528741865509752,2.7665135510026,-0.030945767305638583,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-02,0.007349966284558196,0.007349966284558196,2.7868473323282426,-0.02382325136742669,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-03,0.005890621862239875,0.005890621862239875,2.80326359615078,-0.018072963270521436,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-04,0.004125906701270887,0.004125906701270887,2.8148296002075672,-0.014021623929520222,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-05,-0.0077539929750147785,-0.0077539929750147785,2.793003431261694,-0.021666893331087178,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-06,-0.009617953513224697,-0.009617953513224697,2.766140454097542,-0.031076455671477543,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-07,0.0042487186404100985,0.0042487186404100985,2.7778930066068583,-0.02695977214755685,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-08,0.003357732858773721,0.003357732858773721,2.7872204292333,-0.023692563001587952,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-09,0.004551234857104625,0.004551234857104625,2.799905724005261,-0.01924915856307019,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-10,0.0021320541008726934,0.0021320541008726934,2.8058752744861835,-0.01715814470965027,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-11,-0.00378964164616713,-0.00378964164616713,2.79524201269204,-0.02088276313605475,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2013-12,0.006406833956219993,0.006406833956219993,2.813150664134808,-0.014609721575794543,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-01,0.0027851458885941316,0.0027851458885941316,2.8209856991410187,-0.01186526589318082,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-02,0.006083851342414848,0.006083851342414848,2.838148156773671,-0.005853601064598313,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-03,0.0019061390824242075,0.0019061390824242075,2.8435580618970073,-0.003958619759936277,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-04,0.0032145903037459345,0.0032145903037459345,2.85269893607092,-0.0007567547968868604,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-05,0.008370389746272577,0.008370389746272577,2.8765771379946106,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-06,0.008106355382619945,0.008106355382619945,2.8998956945607146,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-07,0.005210678674815172,0.005210678674815172,2.9150061192155503,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-08,0.004863688723921733,0.004863688723921733,2.9291838016077416,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-09,0.012673544771366618,0.012673544771366618,2.966306943660979,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-10,0.006917803911703713,0.006917803911703713,2.9868272734391508,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-11,0.004371994253950406,0.004371994253950406,2.999885665116169,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2014-12,0.0006840370623717451,0.0006840370623717451,3.0019376980939865,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-01,0.014168530947054503,0.014168530947054503,3.044470745270561,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
2015-02,-0.002022058823529349,-0.002022058823529349,3.0383146463371093,-0.00202205882352946,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0
